timestamp,open,high,low,close,volume
2019-01-01,3896,3896,3896,3896,0
2019-01-02,3817,3896,3817,3881,10700
2019-01-03,3722,3904,3706,3714,150100
2019-01-04,3706,3809,3706,3706,166900
2019-01-07,3650,3722,3650,3706,118900
2019-01-08,3459,3658,3459,3658,506700
2019-01-09,3650,3674,3459,3523,797200
2019-01-10,3578,3745,3570,3674,263200
2019-01-11,3539,3722,3539,3586,345100
2019-01-14,3539,3578,3539,3578,42100
2019-01-15,3507,3547,3507,3539,60800
2019-01-16,3523,3523,3515,3515,758400
2019-01-17,3658,3729,3570,3570,375300
2019-01-18,3515,3658,3515,3658,295900
2019-01-21,3578,3650,3531,3539,103000
2019-01-22,3578,3578,3515,3578,253700
2019-01-23,3562,3578,3523,3578,134600
2019-01-24,3507,3547,3507,3531,281600
2019-01-25,3459,3515,3459,3515,517100
2019-01-28,3467,3594,3467,3594,291300
2019-01-29,3475,3570,3467,3467,274900
2019-01-30,3459,3539,3459,3499,485800
2019-01-31,3467,3483,3459,3475,615500
2019-02-01,3459,3523,3459,3467,340400
2019-02-04,3459,3483,3427,3483,2594100
2019-02-05,3459,3459,3459,3459,0
2019-02-06,3594,3594,3499,3499,507400
2019-02-07,3515,3578,3515,3578,198700
2019-02-08,3515,3539,3459,3467,291000
2019-02-11,3483,3515,3467,3515,468600
2019-02-12,3459,3483,3435,3483,323900
2019-02-13,3483,3499,3459,3467,194700
2019-02-14,3483,3578,3427,3515,640200
2019-02-15,3284,3467,3284,3459,1354500
2019-02-18,3348,3435,3300,3332,120900
2019-02-19,3380,3427,3356,3427,48400
2019-02-20,3459,3539,3380,3435,724100
2019-02-21,3435,3523,3395,3459,311100
2019-02-22,3380,3451,3372,3435,82900
2019-02-25,3419,3443,3364,3380,207200
2019-02-26,3395,3459,3395,3419,210900
2019-02-27,3419,3459,3395,3419,625600
2019-02-28,3419,3451,3364,3419,676000
2019-03-01,3419,3419,3364,3364,3500
2019-03-04,3372,3451,3372,3419,438200
2019-03-05,3443,3443,3332,3372,172200
2019-03-06,3340,3427,3308,3372,53600
2019-03-07,3340,3340,3340,3340,0
2019-03-08,3411,3411,3364,3380,4800
2019-03-11,3332,3411,3332,3403,115200
2019-03-12,3316,3499,3300,3340,489100
2019-03-13,3380,3395,3380,3388,3900
2019-03-14,3388,3388,3372,3380,85900
2019-03-15,3395,3419,3276,3332,41000
2019-03-18,3427,3499,3388,3411,23600
2019-03-19,3443,3499,3411,3443,748200
2019-03-20,3443,3491,3411,3491,318200
2019-03-21,3459,3499,3419,3443,714300
2019-03-22,3475,3578,3435,3459,1206300
2019-03-25,3340,3499,3292,3499,321500
2019-03-26,3380,3467,3340,3467,150100
2019-03-27,3507,3578,3459,3499,137500
2019-03-28,3562,3578,3507,3578,87600
2019-03-29,3507,3578,3499,3578,249600
2019-04-01,3491,3618,3491,3618,179000
2019-04-02,3539,3578,3531,3570,360000
2019-04-03,3539,3539,3539,3539,0
2019-04-04,3427,3570,3356,3539,855600
2019-04-05,3411,3499,3364,3419,565300
2019-04-08,3340,3419,3340,3419,844200
2019-04-09,3380,3380,3340,3380,482800
2019-04-10,3372,3388,3364,3380,28200
2019-04-11,3380,3388,3348,3372,32200
2019-04-12,3348,3364,3324,3364,1831100
2019-04-15,3419,3459,3300,3364,330100
2019-04-16,3364,3388,3308,3348,390900
2019-04-17,3364,3364,3364,3364,0
2019-04-18,3364,3419,3308,3340,1000600
2019-04-19,3364,3364,3364,3364,0
2019-04-22,3332,3380,3308,3380,334900
2019-04-23,3340,3340,3332,3332,576700
2019-04-24,3340,3340,3300,3340,2175600
2019-04-25,3443,3443,3324,3395,466700
2019-04-26,3475,3547,3419,3443,1585200
2019-04-29,3475,3499,3388,3499,348400
2019-04-30,3459,3499,3411,3499,424400
2019-05-01,3459,3459,3459,3459,0
2019-05-02,3435,3499,3364,3459,1092900
2019-05-03,3403,3459,3228,3459,2914800
2019-05-06,3419,3459,3372,3403,519200
2019-05-07,3403,3419,3340,3419,885000
2019-05-08,3447,3515,3212,3515,1660900
2019-05-09,3380,3447,3271,3447,2862700
2019-05-10,3422,3447,3321,3372,790200
2019-05-13,3405,3414,3338,3397,1009400
2019-05-14,3405,3405,3321,3389,1150800
2019-05-15,3405,3439,3372,3405,1000500
2019-05-16,3405,3447,3372,3380,779600
2019-05-17,3389,3532,3305,3447,1339700
2019-05-20,3506,3616,3447,3447,339500
2019-05-21,3557,3574,3506,3506,916700
2019-05-22,3481,3557,3447,3557,967800
2019-05-23,3574,3574,3456,3515,735800
2019-05-24,3599,3632,3548,3574,657800
2019-05-27,3599,3700,3548,3700,716100
2019-05-28,3750,3750,3557,3632,2380100
2019-05-29,3658,3767,3616,3767,996700
2019-05-30,3658,3658,3658,3658,0
2019-05-31,3742,3742,3649,3649,765400
2019-06-03,3742,3742,3742,3742,0
2019-06-04,3742,3742,3742,3742,0
2019-06-05,3742,3742,3742,3742,0
2019-06-06,3742,3742,3742,3742,0
2019-06-07,3742,3742,3742,3742,0
2019-06-10,3616,3666,3607,3649,281400
2019-06-11,3532,3767,3473,3616,675400
2019-06-12,3506,3532,3481,3532,1265900
2019-06-13,3532,3574,3481,3481,530700
2019-06-14,3506,3574,3447,3532,345500
2019-06-17,3447,3574,3363,3574,238700
2019-06-18,3431,3498,3397,3397,376100
2019-06-20,3363,3490,3363,3456,97900
2019-06-21,3515,3515,3447,3447,211900
2019-06-24,3532,3532,3447,3532,623100
2019-06-25,3574,3574,3532,3532,892400
2019-06-26,3574,3574,3532,3574,504000
2019-06-27,3574,3599,3557,3599,1134300
2019-06-28,3574,3582,3532,3574,445100
2019-07-01,3574,3574,3557,3574,143100
2019-07-02,3540,3574,3506,3574,818300
2019-07-03,3490,3540,3405,3532,965200
2019-07-04,3490,3532,3439,3532,1180600
2019-07-05,3498,3532,3439,3447,605600
2019-07-08,3498,3532,3405,3506,411600
2019-07-09,3658,3700,3498,3498,210500
2019-07-10,3658,3767,3616,3649,326700
2019-07-11,3658,3700,3574,3666,2140900
2019-07-12,3700,3700,3624,3700,272500
2019-07-15,3548,3708,3548,3708,160200
2019-07-16,3616,3641,3574,3616,1557300
2019-07-17,3666,3700,3574,3607,1040800
2019-07-18,3691,3717,3658,3700,1044600
2019-07-19,3700,3717,3607,3717,767600
2019-07-22,3691,3742,3658,3742,219100
2019-07-23,3742,3767,3691,3691,253400
2019-07-24,3767,3935,3700,3733,140200
2019-07-25,3851,4036,3742,3784,319500
2019-07-26,3826,4019,3717,3868,506600
2019-07-29,3868,3944,3784,3868,70900
2019-07-30,3792,3851,3792,3792,4500
2019-07-31,3801,3809,3725,3792,283700
2019-08-01,3775,3809,3708,3809,917200
2019-08-02,3742,3784,3708,3784,595500
2019-08-05,3658,3742,3616,3742,1199000
2019-08-06,3532,3616,3447,3582,790500
2019-08-07,3490,3532,3321,3532,2274000
2019-08-08,3490,3532,3405,3532,1351200
2019-08-09,3422,3616,3422,3490,980500
2019-08-12,3490,3523,3439,3447,211200
2019-08-13,3532,3532,3447,3523,473800
2019-08-14,3490,3532,3431,3532,1046000
2019-08-15,3439,3490,3372,3490,637600
2019-08-16,3405,3490,3372,3490,1667700
2019-08-19,3490,3490,3372,3405,504700
2019-08-20,3490,3532,3447,3490,398000
2019-08-21,3490,3506,3447,3490,381000
2019-08-22,3439,3532,3414,3490,1333200
2019-08-23,3389,3447,3372,3447,577800
2019-08-26,3355,3405,3237,3405,1192700
2019-08-27,3380,3439,3313,3405,1016600
2019-08-28,3380,3405,3330,3405,815000
2019-08-29,3380,3405,3338,3405,697000
2019-08-30,3405,3405,3321,3405,1303000
2019-09-02,3439,3515,3380,3405,288500
