timestamp,open,high,low,close,volume
2023-10-11,90,90,90,90,18156700
2023-10-12,81,81,81,81,3847700
2023-10-13,73,75,73,73,6450300
2023-10-16,79,80,66,66,111540700
2023-10-17,86,86,76,79,44850700
2023-10-18,89,92,86,87,56882400
2023-10-19,87,91,81,89,45489200
2023-10-20,86,88,82,84,20353900
2023-10-23,87,89,82,85,23971700
2023-10-24,87,88,85,88,5743800
2023-10-25,88,88,85,87,7126500
2023-10-26,90,93,87,87,14047200
2023-10-27,92,93,88,90,20561200
2023-10-30,92,93,90,92,8425200
2023-10-31,90,93,83,90,21528300
2023-11-01,81,92,81,90,31127000
2023-11-02,73,77,73,73,2407800
2023-11-03,66,66,66,66,2435200
2023-11-06,60,60,60,60,2100500
2023-11-07,66,66,54,54,55703100
2023-11-08,68,71,62,68,45935500
2023-11-09,70,74,64,68,48977200
2023-11-10,70,73,66,70,33852800
2023-11-13,71,73,69,70,54309600
2023-11-14,71,73,68,70,41676100
2023-11-15,70,71,69,71,36744300
2023-11-16,70,72,69,69,42390600
2023-11-17,70,71,68,70,29663900
2023-11-20,65,70,63,69,19082800
2023-11-21,65,65,60,65,28821800
2023-11-22,66,67,63,65,41180900
2023-11-23,70,70,64,66,39206800
2023-11-24,69,71,66,70,47984500
2023-11-27,71,73,68,69,54587200
2023-11-28,73,74,70,71,46036600
2023-11-29,73,76,69,73,56751000
2023-11-30,72,74,70,73,50945400
2023-12-01,70,73,70,71,29559100
2023-12-04,70,71,68,70,19483300
2023-12-05,69,70,67,69,15117400
2023-12-06,69,70,66,69,18677300
2023-12-07,68,71,63,69,21676900
2023-12-08,64,67,62,67,43314600
2023-12-11,69,70,62,64,13296700
2023-12-12,68,71,66,70,1306300
2023-12-13,67,70,66,68,191000
2023-12-14,68,69,66,69,175400
2023-12-15,68,69,66,67,512900
2023-12-18,69,70,63,69,14787300
2023-12-19,68,69,66,69,567300
2023-12-20,65,68,63,68,1759200
2023-12-21,66,66,62,64,374600
2023-12-22,66,69,64,66,282100
2023-12-27,66,66,64,65,158000
2023-12-28,65,66,63,66,391200
2023-12-29,62,65,62,64,660700
2024-01-02,63,66,60,65,796000
2024-01-03,67,69,59,63,36388700
2024-01-04,65,67,63,67,11538500
2024-01-05,65,65,62,63,5804800
2024-01-08,65,65,63,65,156600
2024-01-09,64,65,63,65,204700
2024-01-10,63,65,60,63,492800
2024-01-11,64,64,61,64,212100
2024-01-12,63,65,62,63,66400
2024-01-15,63,63,63,63,0
2024-01-16,62,65,61,64,132900
2024-01-17,63,64,62,62,373200
2024-01-18,62,62,60,62,430200
2024-01-19,63,65,61,62,898000
2024-01-22,62,65,61,62,276900
2024-01-23,65,65,61,61,325200
2024-01-24,65,66,61,64,878900
2024-01-25,62,64,62,63,340200
2024-01-26,62,64,59,62,439500
2024-01-29,63,64,59,61,234900
2024-01-30,64,64,61,62,256500
2024-01-31,63,64,61,63,346900
2024-02-01,62,63,61,62,396200
2024-02-02,61,68,56,68,705000
2024-02-05,60,63,55,61,527400
2024-02-06,54,61,54,60,537600
2024-02-07,52,57,49,49,2004100
2024-02-12,51,55,50,52,156300
2024-02-13,52,55,48,50,1020500
2024-02-15,47,51,47,50,1482000
2024-02-16,43,49,43,48,3397000
2024-02-19,44,45,42,43,189500
2024-02-20,48,48,40,45,1841500
2024-02-21,52,52,46,46,4311900
2024-02-22,57,57,53,53,2342200
2024-02-23,57,57,52,57,1325100
2024-02-26,57,60,55,60,463800
2024-02-27,58,58,54,58,649300
2024-02-28,61,61,58,58,517900
2024-02-29,60,63,57,61,263100
2024-03-01,62,64,59,59,1352900
2024-03-04,60,62,57,62,394200
2024-03-05,59,61,59,59,272100
2024-03-06,60,61,58,58,252200
2024-03-07,60,61,58,60,499000
2024-03-08,60,60,58,59,47300
2024-03-13,59,60,58,59,153100
2024-03-14,59,60,57,58,422800
2024-03-15,59,60,58,58,29400
2024-03-18,58,59,56,57,309300
2024-03-19,58,59,56,57,236700
2024-03-20,56,58,56,58,84500
2024-03-21,56,57,54,56,2311600
2024-03-22,54,56,51,56,2618200
2024-03-25,54,54,54,54,0
2024-03-26,54,54,54,54,0
2024-03-27,55,59,53,55,1232400
2024-03-28,52,58,50,55,867000
2024-04-01,48,52,47,52,582300
2024-04-02,50,52,49,49,634600
2024-04-03,50,50,48,48,51600
2024-04-04,53,55,48,50,418900
2024-04-05,53,55,50,52,293400
2024-04-16,50,53,49,53,135800
2024-04-17,52,55,49,50,776300
2024-04-18,49,51,48,50,82100
2024-04-19,50,50,48,50,29100
2024-04-22,49,50,47,49,74500
2024-04-23,48,48,45,46,261200
2024-04-24,47,48,44,48,65100
2024-04-25,45,50,44,47,34000
2024-04-26,44,49,42,46,236800
2024-04-29,43,47,41,44,108000
2024-04-30,45,47,39,42,2638400
2024-05-02,49,49,43,44,3390300
2024-05-03,53,53,49,51,1525500
2024-05-06,58,58,50,56,1976500
2024-05-07,62,63,57,58,1255900
2024-05-08,61,63,56,61,738600
2024-05-13,62,64,58,62,346500
2024-05-14,59,62,57,60,95100
2024-05-15,55,57,54,57,325800
2024-05-16,55,55,50,54,155300
2024-05-17,52,54,50,54,315500
2024-05-20,50,52,47,52,280200
2024-05-21,50,51,48,48,60700
2024-05-22,54,54,48,48,83700
2024-05-27,52,54,50,51,435600
2024-05-28,49,51,48,51,175800
2024-05-29,48,50,46,50,148900
2024-05-30,50,51,48,48,216500
2024-05-31,46,49,46,49,35100
2024-06-03,50,50,46,46,118700
2024-06-04,50,55,47,50,111200
2024-06-05,49,51,46,50,235200
2024-06-06,51,51,46,49,3179400
2024-06-07,52,56,48,56,195300
2024-06-10,50,52,49,52,15100
2024-06-11,48,54,48,54,38100
2024-06-12,48,50,46,49,88600
2024-06-13,47,49,47,48,13500
2024-06-14,49,51,45,51,123100
2024-06-19,50,50,46,49,79300
2024-06-20,46,52,46,50,16400
2024-06-21,49,50,45,49,4500
2024-06-24,45,48,45,48,332800
2024-06-25,46,49,45,46,65100
2024-06-26,42,48,42,46,174100
2024-06-27,42,45,42,45,65000
2024-06-28,42,43,40,43,52300
2024-07-01,41,44,40,42,159200
2024-07-02,41,43,41,41,235000
2024-07-03,38,43,38,41,156200
2024-07-04,39,41,38,39,325600
2024-07-05,41,42,39,39,245100
2024-07-08,40,41,37,41,148500
2024-07-09,42,44,36,39,797300
2024-07-10,44,46,40,45,237100
2024-07-11,43,47,40,46,114200
2024-07-12,45,47,42,43,659200
2024-07-15,49,49,44,44,411000
2024-07-16,51,53,47,49,372600
2024-07-17,50,53,48,51,319300
2024-07-18,47,50,45,48,314900
2024-07-19,48,49,45,48,299200
2024-07-22,48,49,46,48,201100
2024-07-23,46,48,45,47,277000
2024-07-24,47,50,45,47,531500
2024-07-25,49,49,44,49,382300
2024-07-26,47,50,46,49,61700
2024-07-29,46,50,45,50,20600
2024-07-30,46,47,45,46,271900
2024-07-31,44,46,43,45,77600
2024-08-01,45,46,43,43,179100
2024-08-02,47,49,45,45,2132600
2024-08-05,49,49,45,47,360100
2024-08-06,49,49,46,48,132100
2024-08-07,46,49,46,48,272000
2024-08-08,48,48,44,46,196200
2024-08-09,47,48,45,47,193500
2024-08-12,45,47,45,45,32200
2024-08-13,46,47,44,46,109900
2024-08-14,46,49,45,46,33600
2024-08-15,47,48,46,46,53300
2024-08-16,44,47,43,46,371300
2024-08-19,44,48,43,44,234900
2024-08-20,43,47,42,45,800900
2024-08-21,43,45,42,43,231700
