timestamp,open,high,low,close,volume
2019-01-01,351,351,351,351,0
2019-01-02,342,344,342,344,2000
2019-01-03,342,342,342,342,0
2019-01-04,342,342,342,342,0
2019-01-07,372,381,342,342,578000
2019-01-08,353,372,346,372,142000
2019-01-09,353,353,353,353,135000
2019-01-10,353,353,353,353,0
2019-01-11,344,345,344,344,16000
2019-01-14,344,344,344,344,164000
2019-01-15,345,345,345,345,11000
2019-01-16,345,345,345,345,0
2019-01-17,345,345,344,344,3000
2019-01-18,345,345,345,345,0
2019-01-21,345,345,345,345,55000
2019-01-22,345,349,345,349,94000
2019-01-23,353,353,353,353,10000
2019-01-24,371,371,353,353,145000
2019-01-25,371,371,358,371,63000
2019-01-28,400,400,371,371,588000
2019-01-29,400,400,391,391,48000
2019-01-30,400,400,400,400,0
2019-01-31,400,400,400,400,27000
2019-02-01,400,400,400,400,0
2019-02-04,400,400,400,400,0
2019-02-05,400,400,400,400,0
2019-02-06,447,447,447,447,56000
2019-02-07,451,451,447,447,541000
2019-02-08,451,451,451,451,4000
2019-02-11,484,484,451,451,28000
2019-02-12,497,502,497,502,3000
2019-02-13,511,521,511,511,11000
2019-02-14,497,502,437,446,215000
2019-02-15,452,465,446,446,164000
2019-02-18,452,456,448,452,801000
2019-02-19,465,465,452,452,352000
2019-02-20,488,488,465,465,8000
2019-02-21,525,530,511,511,39000
2019-02-22,525,525,525,525,0
2019-02-25,525,525,525,525,0
2019-02-26,521,525,521,521,57000
2019-02-27,525,525,525,525,77000
2019-02-28,525,530,525,530,13000
2019-03-01,535,535,530,535,165000
2019-03-04,535,535,535,535,2000
2019-03-05,539,558,535,535,28000
2019-03-06,576,576,576,576,4000
2019-03-07,576,576,576,576,0
2019-03-08,576,576,576,576,0
2019-03-11,586,586,576,576,56000
2019-03-12,586,586,586,586,0
2019-03-13,567,583,567,583,5000
2019-03-14,600,604,586,586,21000
2019-03-15,642,651,614,614,43000
2019-03-18,642,651,614,651,31000
2019-03-19,674,679,642,642,69000
2019-03-20,679,679,674,674,110000
2019-03-21,693,697,679,679,78000
2019-03-22,683,693,683,693,30000
2019-03-25,693,697,679,693,142000
2019-03-26,693,693,693,693,0
2019-03-27,683,697,679,693,161000
2019-03-28,767,767,693,693,1302000
2019-03-29,753,762,739,744,1318000
2019-04-01,818,818,744,746,2154000
2019-04-02,809,818,800,800,88000
2019-04-03,809,809,809,809,0
2019-04-04,800,809,790,800,9000
2019-04-05,786,800,786,800,15000
2019-04-08,742,804,742,804,27000
2019-04-09,716,725,716,725,28000
2019-04-10,681,690,590,690,95000
2019-04-11,614,660,604,660,333000
2019-04-12,558,609,558,586,47259000
2019-04-15,583,586,576,586,7295000
2019-04-16,600,600,579,583,8295000
2019-04-17,600,600,600,600,0
2019-04-18,593,614,586,600,10914000
2019-04-19,593,593,593,593,0
2019-04-22,595,595,590,593,13345000
2019-04-23,595,597,590,595,4668000
2019-04-24,572,600,572,600,15153000
2019-04-25,563,563,535,558,5117000
2019-04-26,563,563,558,560,1017000
2019-04-29,553,576,544,576,59000
2019-04-30,572,572,542,542,1008000
2019-05-01,572,572,572,572,0
2019-05-02,544,572,542,572,23322000
2019-05-03,565,572,544,544,115000
2019-05-06,549,551,549,549,311000
2019-05-07,551,570,549,549,639000
2019-05-08,560,572,551,551,3859000
2019-05-09,558,572,549,560,16957000
2019-05-10,544,549,544,549,6227000
2019-05-13,535,553,535,544,10488000
2019-05-14,532,558,532,558,7000
2019-05-15,530,532,530,530,5953000
2019-05-16,507,521,474,521,13607000
2019-05-17,488,500,479,497,19313000
2019-05-20,484,488,465,488,4123000
2019-05-21,484,502,481,484,9789000
2019-05-22,484,484,465,465,91000
2019-05-23,479,502,442,502,6656000
2019-05-24,493,493,465,479,2156000
2019-05-27,511,521,493,502,1859000
2019-05-28,521,530,511,530,6003000
2019-05-29,521,521,511,514,5031000
2019-05-30,521,521,521,521,0
