timestamp,open,high,low,close,volume
2019-01-01,316,316,316,316,0
2019-01-02,318,319,316,316,842000
2019-01-03,318,318,316,318,1024500
2019-01-04,318,318,316,316,1402500
2019-01-07,316,317,316,317,1053000
2019-01-08,316,316,316,316,553500
2019-01-09,316,316,316,316,1104000
2019-01-10,316,316,314,316,1053500
2019-01-11,316,316,314,315,816500
2019-01-14,317,317,315,316,1037500
2019-01-15,317,318,317,317,1056000
2019-01-16,317,318,317,317,1640000
2019-01-17,317,319,316,317,1699500
2019-01-18,317,318,316,317,1100000
2019-01-21,312,317,312,317,1578500
2019-01-22,317,317,311,312,1638000
2019-01-23,319,319,316,316,1517000
2019-01-24,318,319,317,317,809500
2019-01-25,319,319,317,317,1107500
2019-01-28,325,325,319,319,2451000
2019-01-29,333,333,325,325,2547000
2019-01-30,347,347,333,333,5254000
2019-01-31,343,349,341,347,2299500
2019-02-01,341,344,336,343,1495000
2019-02-04,339,341,335,341,910500
2019-02-05,339,339,339,339,0
2019-02-06,339,341,338,339,568500
2019-02-07,336,341,336,339,742500
2019-02-08,336,336,333,336,768500
2019-02-11,341,341,336,336,1339000
2019-02-12,402,418,339,341,13077900
2019-02-13,389,410,371,406,9756000
2019-02-14,406,454,387,389,8619400
2019-02-15,395,406,384,402,3685400
2019-02-18,397,398,389,395,3954100
2019-02-19,406,418,397,398,3378300
2019-02-20,397,414,397,406,2834400
2019-02-21,395,402,394,398,2855500
2019-02-22,392,397,389,394,2022600
2019-02-25,398,402,390,395,5015900
2019-02-26,392,402,390,398,2484400
2019-02-27,397,398,390,392,3091600
2019-02-28,394,402,392,397,2439600
2019-03-01,394,398,392,397,2760800
2019-03-04,392,397,390,394,2619600
2019-03-05,395,397,390,392,2616300
2019-03-06,398,402,394,395,2258800
2019-03-07,398,398,398,398,0
2019-03-08,392,398,390,398,2727100
2019-03-11,397,398,392,392,2504000
2019-03-12,395,398,394,394,2926500
2019-03-13,397,398,394,394,2858400
2019-03-14,397,398,395,398,2231600
2019-03-15,395,398,395,395,2810800
2019-03-18,395,398,376,398,1696000
2019-03-19,392,398,392,397,2611500
2019-03-20,397,410,392,394,6177800
2019-03-21,394,395,392,392,2653200
2019-03-22,395,398,394,394,3102600
2019-03-25,392,395,390,394,2862700
2019-03-26,394,395,392,392,2440100
2019-03-27,398,402,395,397,3459200
2019-03-28,389,395,387,395,2173000
