timestamp,open,high,low,close,volume
2021-06-30,4200,4200,3500,3500,1418300
2021-07-01,3910,5250,3910,4500,12578100
2021-07-02,3640,3670,3640,3650,377600
2021-07-05,3390,3580,3390,3400,6681400
2021-07-06,3450,3740,3390,3410,2626700
2021-07-07,3430,3520,3420,3470,1008000
2021-07-08,3420,3470,3410,3430,668900
2021-07-09,3390,3450,3310,3430,1491600
2021-07-12,3390,3410,3380,3400,910400
2021-07-13,3360,3400,3350,3390,1139500
2021-07-14,3350,3370,3350,3370,514600
2021-07-15,3360,3400,3360,3360,250300
2021-07-16,3350,3390,3350,3360,601500
2021-07-19,3360,3380,3350,3360,297900
2021-07-21,3360,3370,3350,3360,277600
2021-07-22,3350,3390,3350,3360,207900
2021-07-23,3350,3380,3350,3360,490000
2021-07-26,3350,3370,3350,3360,267400
2021-07-27,3350,3360,3350,3360,427800
2021-07-28,3350,3370,3350,3360,262900
2021-07-29,3350,3360,3350,3360,183200
2021-07-30,3350,3370,3350,3360,492400
2021-08-02,3350,3360,3340,3350,439400
2021-08-03,3350,3360,3350,3350,78000
2021-08-04,3350,3380,3350,3350,274100
2021-08-05,3360,3500,3350,3350,345600
2021-08-06,3400,3490,3360,3360,350700
2021-08-09,3430,3500,3420,3470,225000
2021-08-10,3410,3460,3410,3430,164800
2021-08-12,3410,3440,3410,3440,178900
2021-08-13,3410,3440,3410,3430,154700
2021-08-16,3410,3460,3410,3410,86300
2021-08-18,3430,3450,3410,3410,117900
2021-08-19,3420,3430,3410,3430,219500
2021-08-20,3430,3430,3410,3420,77500
2021-08-23,3430,3430,3410,3420,215400
2021-08-24,3420,3430,3420,3420,57500
2021-08-25,3420,3430,3420,3420,73500
2021-08-26,3420,3430,3420,3420,33500
2021-08-27,3420,3440,3420,3420,174300
2021-08-30,3430,3440,3420,3420,46900
2021-08-31,3420,3440,3420,3420,57900
2021-09-01,3420,3440,3420,3430,110200
2021-09-02,3420,3430,3420,3420,102000
2021-09-03,3420,3450,3420,3450,43800
2021-09-06,3430,3440,3430,3430,59400
2021-09-07,3430,3440,3430,3440,44600
2021-09-08,3430,3440,3430,3430,53400
2021-09-09,3430,3440,3430,3440,202700
2021-09-10,3430,3450,3430,3430,40700
2021-09-13,3430,3440,3430,3440,20800
2021-09-14,3430,3450,3430,3450,37500
2021-09-15,3430,3430,3420,3430,376800
2021-09-16,3430,3440,3430,3430,123300
2021-09-17,3430,3450,3430,3450,5500
2021-09-20,3430,3440,3430,3430,96100
2021-09-21,3430,3440,3430,3430,182600
2021-09-22,3430,3440,3430,3440,4900
2021-09-23,3440,3450,3440,3440,35300
2021-09-24,3440,3450,3440,3440,8400
2021-09-27,3450,3450,3440,3440,18900
2021-09-28,3440,3440,3440,3440,25500
2021-09-29,3450,3450,3440,3440,36700
2021-09-30,3440,3450,3440,3450,5400
2021-10-01,3440,3440,3440,3440,29900
2021-10-04,3440,3450,3440,3440,44300
2021-10-05,3440,3450,3440,3440,31500
2021-10-06,3440,3440,3440,3440,155600
2021-10-07,3490,3580,3440,3440,16200
2021-10-08,3470,3500,3470,3490,6500
2021-10-11,3540,3540,3460,3460,31100
2021-10-12,3510,3540,3510,3520,22700
2021-10-13,3500,3510,3480,3480,10600
2021-10-14,3490,3550,3480,3480,7000
2021-10-15,3490,3490,3480,3480,4600
2021-10-18,3480,3490,3480,3490,5000
2021-10-19,3500,3510,3480,3510,4800
2021-10-21,3490,3500,3480,3500,31700
2021-10-22,3490,3490,3480,3480,9400
2021-10-25,3480,3510,3480,3480,3200
2021-10-26,3490,3510,3480,3480,22000
2021-10-27,3500,3510,3480,3480,25900
2021-10-28,3500,3520,3480,3490,10100
2021-10-29,3500,3500,3480,3490,25400
2021-11-01,3480,3490,3480,3490,13300
2021-11-02,3490,3490,3470,3480,315400
