timestamp,open,high,low,close,volume
2024-02-12,113,113,93,113,264156600
2024-02-13,105,123,103,123,74604600
2024-02-15,103,108,97,105,22414900
2024-02-16,101,106,98,100,45459300
2024-02-19,108,109,97,100,92890500
2024-02-20,106,110,104,110,14873600
2024-02-21,103,108,103,107,83637700
2024-02-22,105,110,101,101,155092500
2024-02-23,115,115,106,106,113263300
2024-02-26,126,126,117,118,77736400
2024-02-27,125,135,118,135,102965000
2024-02-28,137,137,120,125,145789700
2024-02-29,150,150,137,137,113399400
2024-03-01,149,155,139,151,89287800
2024-03-04,159,160,146,149,89360300
2024-03-05,168,171,156,160,132572700
2024-03-06,170,174,162,168,107130200
2024-03-07,167,175,167,170,51924400
2024-03-08,164,170,152,167,44390900
2024-03-13,174,177,160,164,91980500
2024-03-14,180,184,171,177,135248500
2024-03-15,175,181,173,180,51389200
2024-03-18,179,180,164,176,88372900
2024-03-19,184,186,175,178,74257900
2024-03-20,190,192,181,186,79550100
2024-03-21,188,195,186,190,93549500
2024-03-22,180,188,177,187,41707900
2024-03-25,180,180,180,180,0
2024-03-26,180,180,180,180,0
2024-03-27,165,180,159,180,62354000
2024-03-28,165,169,160,164,47458400
2024-04-01,166,166,149,165,77328900
2024-04-02,168,169,163,166,65107400
2024-04-03,169,172,167,168,42553200
2024-04-04,171,171,167,169,106941700
2024-04-05,175,175,169,171,35493100
2024-04-16,176,177,172,175,81750800
2024-04-17,176,178,173,175,79473500
2024-04-18,177,178,174,175,46841600
2024-04-19,178,178,175,177,59854500
2024-04-22,177,180,175,180,64820400
2024-04-23,170,174,160,174,69687100
2024-04-24,166,170,162,165,41078800
2024-04-25,162,166,152,166,9244200
2024-04-26,162,163,157,160,69882100
2024-04-29,164,164,159,162,141047200
2024-04-30,169,174,163,164,71410000
2024-05-02,163,169,163,169,6531100
2024-05-03,151,162,147,161,61050700
2024-05-06,150,151,141,149,135395100
2024-05-07,152,152,145,148,66704000
2024-05-08,152,157,149,156,91040200
2024-05-13,151,152,140,152,7476700
2024-05-14,140,150,140,149,57010000
2024-05-15,141,141,126,138,150986600
2024-05-16,142,142,134,142,2091500
2024-05-17,140,141,131,140,59833200
2024-05-20,140,140,133,138,1184200
2024-05-21,145,150,136,137,139067900
2024-05-22,150,151,141,146,75140800
2024-05-27,155,159,150,151,84143600
2024-05-28,149,157,140,157,72945900
2024-05-29,136,149,136,148,59584200
2024-05-30,135,145,123,136,75076000
2024-05-31,135,135,127,133,69441100
2024-06-03,146,147,132,135,69111400
2024-06-04,146,149,142,146,70766900
2024-06-05,147,147,136,146,67206000
2024-06-06,145,148,140,146,60025900
2024-06-07,145,147,141,144,66309000
2024-06-10,140,145,137,145,73939400
2024-06-11,140,146,132,141,66057300
2024-06-12,144,144,135,140,72752800
2024-06-13,148,151,142,144,85503900
2024-06-14,139,148,136,148,73875200
2024-06-19,135,141,130,137,74274600
2024-06-20,137,138,130,135,75222400
2024-06-21,150,150,135,136,85241400
2024-06-24,152,153,142,150,80415100
2024-06-25,167,167,152,152,82100100
2024-06-26,162,170,160,168,57765800
2024-06-27,166,171,157,164,70854700
2024-06-28,162,170,162,166,62509000
2024-07-01,164,167,160,162,58084800
2024-07-02,158,167,152,167,62580800
2024-07-03,154,159,149,158,66613600
