timestamp,open,high,low,close,volume
2023-04-18,71,85,71,77,93380700
2023-04-26,64,64,64,64,102371600
2023-04-27,58,58,58,58,75101100
2023-04-28,53,53,53,53,67718700
2023-05-02,54,58,48,48,341016400
2023-05-03,52,55,51,54,30631900
2023-05-04,50,53,48,52,22299200
2023-05-05,50,51,45,49,63156800
2023-05-08,50,51,46,50,22380700
2023-05-09,50,50,48,48,9923800
2023-05-10,50,50,48,49,10065900
2023-05-11,50,50,48,50,10621700
2023-05-12,50,50,48,50,8223300
2023-05-15,47,50,47,49,12392900
2023-05-16,43,48,43,47,15930300
2023-05-17,43,44,39,42,23897800
2023-05-19,39,43,39,43,9553000
2023-05-22,42,42,36,39,85423700
2023-05-23,46,46,43,44,3588600
2023-05-24,50,50,49,50,7993800
2023-05-25,47,55,45,51,37908100
2023-05-26,49,51,44,46,40277100
2023-05-29,46,49,46,49,4176200
2023-05-30,45,48,43,44,3379600
2023-05-31,44,45,42,45,3914900
2023-06-05,43,45,42,44,1968300
2023-06-06,43,45,42,43,958600
2023-06-07,44,46,42,44,3066000
2023-06-08,43,45,43,44,983700
2023-06-09,43,45,43,43,2081000
2023-06-12,43,44,42,44,2907500
2023-06-13,47,47,43,43,7936100
2023-06-14,51,51,47,48,7376800
2023-06-15,56,56,52,52,16890900
2023-06-16,51,61,51,58,27826300
2023-06-19,50,53,46,51,9979800
2023-06-20,49,52,49,50,1018900
2023-06-21,49,50,47,49,1247500
2023-06-22,49,51,48,49,6516900
2023-06-23,47,50,46,49,2480600
2023-06-26,46,51,43,47,6338100
2023-06-27,46,48,45,47,779500
2023-07-03,47,50,46,46,3652400
2023-07-04,47,47,46,46,791300
2023-07-05,47,48,45,47,1644000
2023-07-06,48,51,46,47,5745700
2023-07-07,50,52,48,48,5013700
2023-07-10,52,53,48,50,4532500
2023-07-11,51,53,50,51,418100
2023-07-12,56,56,48,50,20817400
2023-07-13,57,60,56,58,6293400
2023-07-14,55,58,54,58,2320500
2023-07-17,53,56,52,55,962800
2023-07-18,49,55,48,53,1949200
2023-07-20,53,53,49,49,10580300
2023-07-21,52,58,52,53,15251300
2023-07-24,55,57,52,52,8053000
2023-07-25,55,60,54,55,5510700
2023-07-26,60,60,56,56,4732400
2023-07-27,66,66,61,62,5747200
2023-07-28,62,70,61,68,7567100
2023-07-31,58,62,56,62,1924100
2023-08-01,59,61,58,58,1142400
2023-08-02,58,62,58,58,578300
