timestamp,open,high,low,close,volume
2024-02-12,155,155,150,150,27832900
2024-02-13,208,208,155,208,495816700
2024-02-15,244,248,200,220,445545800
2024-02-16,246,266,236,244,251166800
2024-02-19,250,266,226,246,254792500
2024-02-20,256,264,248,252,105431300
2024-02-21,242,272,240,258,211794900
2024-02-22,242,256,238,242,96652700
2024-02-23,238,248,234,242,58683200
2024-02-26,252,264,228,238,171915700
2024-02-27,248,258,242,252,150462200
2024-02-28,254,268,248,248,186284300
2024-02-29,240,260,232,254,163675500
2024-03-01,236,248,236,240,60973600
2024-03-04,242,252,236,238,67265500
2024-03-05,236,244,230,242,60279000
2024-03-06,236,244,232,238,51900600
2024-03-07,234,246,226,238,79663300
2024-03-08,238,242,232,234,83328200
2024-03-13,236,240,224,240,56363900
2024-03-14,228,238,224,236,64635700
2024-03-15,226,230,220,228,29368600
2024-03-18,236,246,226,226,79625100
2024-03-19,228,242,222,238,82005600
2024-03-20,222,230,214,228,83293700
2024-03-21,276,276,214,224,167316500
2024-03-22,280,290,266,282,116213000
2024-03-25,280,280,280,280,0
2024-03-26,280,280,280,280,0
2024-03-27,270,284,254,274,98987900
2024-03-28,258,274,256,270,45184500
2024-04-01,258,268,252,258,45429100
2024-04-02,258,266,254,260,48780300
2024-04-03,266,266,252,258,40286200
2024-04-04,270,276,266,268,44701700
2024-04-05,270,278,266,270,44188800
2024-04-16,278,282,268,270,71764700
2024-04-17,288,290,278,280,58533500
2024-04-18,300,300,288,290,68418600
2024-04-19,312,314,296,298,77445000
2024-04-22,316,318,310,314,56907300
2024-04-23,324,324,316,318,57613600
2024-04-24,332,332,324,324,50591500
2024-04-25,342,342,330,332,56706400
2024-04-26,346,348,340,342,30856900
2024-04-29,354,356,346,348,49505000
2024-04-30,360,362,352,356,54842600
2024-05-02,368,368,360,360,41205000
2024-05-03,376,376,366,368,44199900
2024-05-06,380,380,374,374,32120600
2024-05-07,378,382,364,380,65670000
2024-05-08,380,384,376,378,44444600
2024-05-13,396,418,380,382,48103100
2024-05-14,402,406,396,398,27876900
2024-05-15,412,416,402,402,64176100
2024-05-16,420,422,412,414,45341000
2024-05-17,430,430,420,422,61610300
2024-05-20,442,446,430,430,50260900
2024-05-21,452,456,442,452,51013400
2024-05-22,462,462,452,454,35771000
2024-05-27,468,472,430,462,54512700
2024-05-28,464,468,450,468,47093900
2024-05-29,462,474,462,464,62028700
2024-05-30,348,464,348,462,87732700
2024-05-31,378,384,294,342,56606800
2024-06-03,402,414,364,378,34967200
2024-06-04,384,406,350,402,40971600
2024-06-05,408,410,368,382,25377500
2024-06-06,418,420,402,408,45220100
2024-06-07,414,420,406,418,21271700
2024-06-10,424,426,408,414,31756800
2024-06-11,438,440,424,426,36522800
2024-06-12,414,440,402,438,31222500
2024-06-13,414,420,386,414,48146100
2024-06-14,392,414,386,414,13360500
2024-06-19,364,402,358,392,33668300
2024-06-20,338,368,332,356,13630400
2024-06-21,310,346,308,338,21212200
2024-06-24,272,312,270,310,12644700
2024-06-25,282,298,270,272,26733400
2024-06-26,260,288,250,282,22614900
2024-06-27,258,264,244,254,15499700
2024-06-28,258,264,236,258,96326700
2024-07-01,238,266,236,260,66881200
2024-07-02,254,260,236,238,65471300
2024-07-03,250,262,246,254,30086000
2024-07-04,254,258,246,250,14911200
2024-07-05,280,280,250,254,44829500
2024-07-08,286,288,268,286,21793200
2024-07-09,318,332,286,286,39970400
2024-07-10,278,326,274,318,64814200
2024-07-11,278,290,264,278,40706200
2024-07-12,284,288,272,278,39664000
2024-07-15,286,292,272,284,44500900
2024-07-16,284,288,276,286,29796400
2024-07-17,278,286,276,284,16003200
2024-07-18,282,290,278,278,45527300
2024-07-19,272,284,270,284,10306100
2024-07-22,274,276,268,274,20812400
2024-07-23,288,292,274,274,32692800
2024-07-24,282,290,272,288,29943600
2024-07-25,278,282,274,282,13799900
