timestamp,open,high,low,close,volume
2019-01-01,12226,12226,12226,12226,0
2019-01-02,12226,12226,12150,12226,1400
2019-01-03,12226,12226,12226,12226,11400
2019-01-04,12226,12246,12226,12246,11300
2019-01-07,12226,12226,12226,12226,0
2019-01-08,12226,12226,12226,12226,1200
2019-01-09,12226,12226,12226,12226,0
2019-01-10,12226,12226,11844,12226,13500
2019-01-11,12303,12303,12207,12226,23600
2019-01-14,12265,12265,12226,12226,1100
2019-01-15,12226,12226,12207,12226,68500
2019-01-16,12226,12226,12207,12226,14300
2019-01-17,12226,12226,12226,12226,17500
2019-01-18,12226,12226,12226,12226,200
2019-01-21,12226,12226,12226,12226,2500
2019-01-22,12150,12150,12035,12035,2100
2019-01-23,12207,12226,12093,12226,1700
2019-01-24,12131,12226,12131,12226,2900
2019-01-25,12093,12112,12093,12112,8900
2019-01-28,12093,12093,12093,12093,0
2019-01-29,12226,12226,12150,12150,4300
2019-01-30,12379,12417,12150,12226,5800
2019-01-31,12379,12379,12360,12360,1500
2019-02-01,12379,12379,12226,12379,50700
2019-02-04,12647,12742,12379,12379,107600
2019-02-05,12647,12647,12647,12647,0
2019-02-06,12761,12761,12589,12609,146900
2019-02-07,12800,12800,12628,12666,462100
2019-02-08,12857,12857,12761,12761,2800
2019-02-11,12876,12914,12838,12838,7400
2019-02-12,12952,12952,12876,12876,600
2019-02-13,13086,13086,12952,12952,30600
2019-02-14,13334,13354,12991,13010,24500
2019-02-15,13602,13659,13296,13296,5000
2019-02-18,13659,13755,13182,13602,2900
2019-02-19,13678,13755,13487,13602,18800
2019-02-20,13678,13678,13678,13678,600
2019-02-21,13678,13678,13296,13373,53900
2019-02-22,13487,13487,13449,13487,71400
2019-02-25,13506,13506,13373,13373,6100
2019-02-26,13506,13506,13449,13506,30200
2019-02-27,13506,13506,13506,13506,7800
2019-02-28,13506,13545,13506,13506,8800
2019-03-01,13755,13812,13506,13506,62200
2019-03-04,13850,13850,13755,13755,13300
2019-03-05,13908,13908,13850,13850,3700
2019-03-06,13908,13927,13888,13908,2600
2019-03-07,13908,13908,13908,13908,0
2019-03-08,13946,13946,13908,13927,8500
2019-03-11,13946,13965,13946,13965,5700
2019-03-12,13946,13965,13946,13946,32300
