timestamp,open,high,low,close,volume
2019-01-01,809,809,809,809,0
2019-01-02,851,851,809,809,636000
2019-01-03,890,890,828,836,322400
2019-01-04,917,928,874,928,574500
2019-01-07,925,925,886,921,562800
2019-01-08,928,928,905,925,291200
2019-01-09,940,940,894,928,418100
2019-01-10,948,948,928,940,287600
2019-01-11,944,948,898,948,216300
2019-01-14,909,944,812,928,3027500
2019-01-15,905,925,874,909,363200
2019-01-16,905,909,890,905,151000
2019-01-17,894,905,886,905,184400
2019-01-18,901,901,878,890,414200
2019-01-21,909,909,894,901,235600
2019-01-22,905,909,894,909,113800
2019-01-23,905,905,882,905,257300
2019-01-24,909,909,890,890,131700
2019-01-25,913,913,894,913,221800
2019-01-28,909,917,905,913,277800
2019-01-29,913,913,901,913,450700
2019-01-30,917,917,905,913,427700
2019-01-31,921,921,909,921,947500
2019-02-01,928,928,905,913,163000
2019-02-04,932,932,921,928,91300
2019-02-05,932,932,932,932,0
2019-02-06,936,936,905,932,129600
2019-02-07,936,940,917,940,83500
2019-02-08,936,936,905,909,259700
2019-02-11,940,940,913,936,443000
2019-02-12,940,940,921,940,130800
2019-02-13,944,944,928,928,259500
2019-02-14,928,944,928,944,265000
2019-02-15,967,967,913,925,823100
2019-02-18,998,1002,963,975,195400
2019-02-19,1006,1006,990,998,368500
2019-02-20,1002,1006,998,1006,158700
2019-02-21,1017,1029,1002,1002,170800
2019-02-22,1060,1075,1017,1017,129100
2019-02-25,1075,1079,1060,1068,210700
2019-02-26,1079,1083,1064,1075,185800
2019-02-27,1079,1079,1072,1079,62900
2019-02-28,1056,1079,1052,1079,292600
2019-03-01,1056,1056,1025,1056,321200
2019-03-04,1056,1056,1033,1052,97200
2019-03-05,1060,1060,1029,1056,69900
2019-03-06,1048,1060,967,1060,375600
2019-03-07,1048,1048,1048,1048,0
2019-03-08,1064,1064,1033,1048,42900
2019-03-11,1064,1072,1045,1045,35500
2019-03-12,1064,1072,1052,1072,14900
2019-03-13,1075,1075,1056,1075,89500
2019-03-14,1064,1068,1060,1068,21400
2019-03-15,1122,1134,1072,1079,117300
2019-03-18,1122,1145,1106,1122,150800
2019-03-19,1114,1122,1106,1122,37600
2019-03-20,1099,1122,1083,1122,67300
2019-03-21,1134,1207,1103,1103,686200
2019-03-22,1137,1188,1130,1176,636200
2019-03-25,1091,1145,1083,1141,352300
2019-03-26,1075,1134,1075,1122,753800
2019-03-27,1087,1134,1087,1106,262700
2019-03-28,1083,1122,1068,1122,354000
2019-03-29,1060,1099,1045,1083,106000
2019-04-01,1029,1056,967,1056,351800
2019-04-02,1006,1045,1006,1025,246500
2019-04-03,1006,1006,1006,1006,0
2019-04-04,998,1010,983,1006,420200
2019-04-05,1006,1045,990,1010,133900
2019-04-08,998,1041,990,1010,220500
2019-04-09,998,1025,990,1025,108100
2019-04-10,1014,1017,1002,1017,38700
2019-04-11,959,1025,959,1021,1110900
2019-04-12,975,983,959,967,55800
2019-04-15,952,1010,944,990,1028400
2019-04-16,959,963,940,952,290400
2019-04-17,959,959,959,959,0
2019-04-18,986,990,963,979,157500
2019-04-19,986,986,986,986,0
2019-04-22,1002,1002,983,986,147700
2019-04-23,979,1002,963,1002,2184700
2019-04-24,990,1017,975,983,1794800
2019-04-25,986,1017,971,994,5636600
2019-04-26,975,1002,956,998,1496000
2019-04-29,967,986,967,983,607900
2019-04-30,932,986,928,983,2416000
2019-05-01,932,932,932,932,0
2019-05-02,967,979,921,944,2547100
2019-05-03,971,975,936,971,1573500
2019-05-06,963,994,956,975,2161700
2019-05-07,983,1013,949,1013,1966000
2019-05-08,983,983,945,983,516400
2019-05-09,988,988,953,988,350700
2019-05-10,1000,1031,958,1031,434100
2019-05-13,996,1000,953,992,499700
2019-05-14,983,992,966,970,195000
2019-05-15,988,988,962,988,148300
2019-05-16,1048,1048,962,979,725000
2019-05-17,1039,1052,996,1048,476000
2019-05-20,1052,1052,1005,1013,702600
2019-05-21,1065,1073,1031,1052,332400
2019-05-22,1065,1065,1052,1065,744900
2019-05-23,1082,1082,1056,1065,961100
2019-05-24,1108,1108,1065,1082,1353200
2019-05-27,1116,1116,1095,1116,270800
2019-05-28,1116,1129,1104,1116,250900
2019-05-29,1116,1121,1086,1095,546300
2019-05-30,1116,1116,1116,1116,0
2019-05-31,1125,1125,1104,1104,197500
2019-06-03,1125,1125,1125,1125,0
2019-06-04,1125,1125,1125,1125,0
2019-06-05,1125,1125,1125,1125,0
2019-06-06,1125,1125,1125,1125,0
2019-06-07,1125,1125,1125,1125,0
2019-06-10,1134,1134,1099,1125,629700
2019-06-11,1146,1146,1129,1138,167000
2019-06-12,1142,1146,1134,1146,110600
2019-06-13,1146,1146,1116,1134,482900
2019-06-14,1142,1146,1129,1129,147500
2019-06-17,1202,1202,1121,1142,1106300
2019-06-18,1198,1198,1155,1198,506600
2019-06-20,1202,1202,1172,1202,236200
2019-06-21,1198,1202,1185,1202,41000
