timestamp,open,high,low,close,volume
2023-04-12,1240,1340,1145,1221,657355200
2023-04-13,1278,1288,1240,1254,209767600
2023-04-14,1307,1311,1278,1302,190823800
2023-04-17,1330,1335,1297,1307,110227800
2023-04-18,1373,1397,1316,1335,219624500
2023-04-26,1278,1397,1278,1373,261585500
2023-04-27,1297,1326,1202,1278,94179000
2023-04-28,1335,1345,1302,1302,89338700
2023-05-02,1335,1364,1326,1335,135857600
2023-05-03,1268,1349,1245,1335,114751300
2023-05-04,1297,1302,1259,1273,74280900
2023-05-05,1207,1307,1207,1302,82025800
2023-05-08,1283,1288,1188,1188,176198300
2023-05-09,1197,1283,1197,1283,99623200
2023-05-10,1140,1216,1116,1159,97365700
2023-05-11,1069,1140,1064,1131,93310000
2023-05-12,998,1140,998,1140,49929700
2023-05-15,988,1007,941,950,79327100
2023-05-16,960,1007,931,979,65273700
2023-05-17,1021,1055,931,955,89541800
2023-05-19,950,1050,950,1040,62671700
2023-05-22,884,969,884,955,84447000
2023-05-23,898,931,836,884,103821600
2023-05-24,836,903,836,893,61697300
2023-05-25,817,860,812,836,68383100
2023-05-26,841,869,822,822,31549800
2023-05-29,784,860,784,841,56635000
2023-05-30,736,789,732,765,104001400
2023-05-31,770,779,713,713,51611900
2023-06-05,850,869,770,770,132104700
2023-06-06,831,869,774,855,105564900
2023-06-07,850,860,827,831,57291800
2023-06-08,903,941,850,850,130586800
2023-06-09,855,907,846,907,113426800
2023-06-12,860,879,846,855,38496300
2023-06-13,860,874,855,869,16971900
2023-06-14,931,941,874,874,89666700
2023-06-15,926,950,903,945,58096700
2023-06-16,979,993,926,931,60126000
2023-06-19,945,1026,941,979,90334800
2023-06-20,907,960,907,950,50559600
2023-06-21,955,960,907,907,31554100
2023-06-22,955,969,936,955,15581000
2023-06-23,945,964,945,955,18493000
2023-06-26,941,950,917,945,20998800
2023-06-27,888,941,888,941,56315300
2023-07-03,907,945,888,888,33288400
2023-07-04,898,922,888,907,34603500
2023-07-05,879,907,879,898,47533600
2023-07-06,874,907,865,888,53245000
2023-07-07,917,926,865,874,48628000
2023-07-10,888,922,884,917,40414000
2023-07-11,881,915,881,900,46929600
2023-07-12,871,895,847,886,58536000
2023-07-13,891,915,886,915,58548200
2023-07-14,905,920,891,895,21243600
2023-07-17,881,920,876,910,35982600
2023-07-18,852,891,847,886,49910200
2023-07-20,881,891,852,852,28183500
2023-07-21,871,891,866,891,13409000
2023-07-24,876,881,856,871,18348500
2023-07-25,886,910,871,876,35097900
2023-07-26,925,939,895,900,99069500
2023-07-27,920,934,900,934,33645200
2023-07-28,925,929,886,925,33142000
2023-07-31,915,939,915,934,18525900
2023-08-01,876,925,866,915,78950000
2023-08-02,900,910,871,876,32516600
2023-08-03,954,964,895,900,128767200
2023-08-04,929,964,929,959,52148100
2023-08-07,949,949,925,929,33339300
2023-08-08,959,993,939,949,78669400
2023-08-09,925,964,915,959,59034300
2023-08-10,910,929,900,925,22360900
2023-08-11,895,920,886,910,27611200
2023-08-14,905,915,886,900,16040200
2023-08-15,905,915,891,905,18151100
2023-08-16,891,905,886,905,17528400
2023-08-18,881,900,881,895,16149800
2023-08-21,886,891,876,881,12751500
2023-08-22,905,910,871,886,30610100
2023-08-23,949,983,905,905,173522300
2023-08-24,934,968,934,939,76087200
2023-08-25,915,934,905,929,50948600
2023-08-28,920,925,895,920,30063500
2023-08-29,891,925,891,925,35688200
2023-08-30,910,920,891,891,27836400
2023-08-31,910,934,905,915,35209500
2023-09-01,900,915,895,910,18334400
2023-09-04,968,988,905,910,187785100
2023-09-05,983,1007,949,968,145908300
2023-09-06,1037,1041,973,983,146286000
