timestamp,open,high,low,close,volume
2019-01-01,92,92,92,92,0
2019-01-02,91,92,87,91,55800
2019-01-03,91,97,87,91,76800
2019-01-04,91,91,91,91,0
2019-01-07,91,96,90,93,62400
2019-01-08,93,94,90,90,1100
2019-01-09,93,93,87,93,5900
2019-01-10,89,93,87,87,436100
2019-01-11,91,93,91,93,11200
2019-01-14,91,93,89,91,10900
2019-01-15,96,96,91,93,15100
2019-01-16,91,96,91,95,42600
2019-01-17,91,94,91,93,6800
2019-01-18,93,98,91,98,6000
2019-01-21,87,93,87,93,135500
2019-01-22,92,93,88,89,36800
2019-01-23,91,96,91,96,89700
2019-01-24,91,91,91,91,2500
2019-01-25,93,93,92,92,6100
2019-01-28,96,96,93,93,28800
2019-01-29,96,96,96,96,16100
2019-01-30,97,101,97,101,200
2019-01-31,94,97,92,97,21000
2019-02-01,91,96,89,96,43300
2019-02-04,98,98,92,92,21100
2019-02-05,98,98,98,98,0
2019-02-06,97,97,93,93,26000
2019-02-07,94,104,94,96,15400
2019-02-08,95,97,95,95,76300
2019-02-11,96,99,95,99,62600
2019-02-12,97,99,96,98,40700
2019-02-13,99,104,99,104,58900
2019-02-14,98,100,98,98,11200
2019-02-15,98,98,98,98,6600
2019-02-18,98,102,98,102,25100
2019-02-19,98,98,97,97,18900
2019-02-20,97,100,97,100,47700
2019-02-21,97,98,97,97,18100
2019-02-22,98,98,98,98,4600
2019-02-25,100,102,98,98,26600
2019-02-26,100,105,100,100,79100
2019-02-27,98,100,98,100,35200
2019-02-28,98,98,98,98,0
2019-03-01,97,97,97,97,1800
2019-03-04,98,100,98,100,130600
2019-03-05,98,99,98,99,15900
2019-03-06,98,99,98,99,110100
2019-03-07,98,98,98,98,0
2019-03-08,98,98,97,97,196400
2019-03-11,103,107,100,100,32300
2019-03-12,99,104,99,103,23900
2019-03-13,99,99,99,99,12300
2019-03-14,100,105,100,100,1900
2019-03-15,101,101,101,101,15400
2019-03-18,103,104,101,101,63600
2019-03-19,104,104,103,104,9200
2019-03-20,107,107,102,104,120500
2019-03-21,107,107,107,107,0
2019-03-22,107,107,106,106,91400
2019-03-25,97,103,97,103,34500
2019-03-26,99,107,99,105,30400
2019-03-27,108,108,106,106,20500
2019-03-28,107,108,107,108,4600
2019-03-29,104,107,104,107,57200
2019-04-01,111,111,107,107,92100
2019-04-02,109,110,106,106,7500
2019-04-03,109,109,109,109,0
2019-04-04,107,110,107,109,7000
2019-04-05,107,107,107,107,0
2019-04-08,107,110,107,107,15300
2019-04-09,109,109,109,109,7100
2019-04-10,109,109,108,109,1500
2019-04-11,109,109,109,109,5700
2019-04-12,114,114,109,109,520900
2019-04-15,111,112,107,111,580900
2019-04-16,119,124,111,111,379000
2019-04-17,119,119,119,119,0
2019-04-18,113,114,109,114,7200
2019-04-19,113,113,113,113,0
2019-04-22,113,125,111,113,20500
2019-04-23,115,117,112,117,15500
2019-04-24,114,117,108,117,43100
2019-04-25,109,114,108,113,105900
2019-04-26,109,109,109,109,1100
2019-04-29,112,114,108,114,276700
2019-04-30,111,113,111,112,201700
2019-05-01,111,111,111,111,0
2019-05-02,112,114,101,109,231400
2019-05-03,112,114,111,111,92800
2019-05-06,112,114,109,114,47300
2019-05-07,111,113,105,112,42500
2019-05-08,110,110,110,110,200
2019-05-09,110,110,110,110,700
2019-05-10,110,110,110,110,800
2019-05-13,109,110,109,110,800
2019-05-14,111,111,104,104,600
2019-05-15,109,111,109,111,300
2019-05-16,111,113,105,111,31500
2019-05-17,111,113,92,113,23300
2019-05-20,108,111,108,111,1700
2019-05-21,109,109,109,109,14500
2019-05-22,111,111,109,111,400
2019-05-23,111,111,111,111,10600
2019-05-24,111,111,110,111,24100
2019-05-27,111,111,111,111,22600
2019-05-28,111,111,111,111,22400
2019-05-29,110,111,106,111,12700
2019-05-30,110,110,110,110,0
2019-05-31,112,112,111,111,93900
2019-06-03,112,112,112,112,0
2019-06-04,112,112,112,112,0
2019-06-05,112,112,112,112,0
2019-06-06,112,112,112,112,0
2019-06-07,112,112,112,112,0
2019-06-10,113,116,112,112,162500
2019-06-11,112,113,112,112,95300
2019-06-12,111,111,108,108,129200
2019-06-13,111,111,109,109,197000
2019-06-14,114,115,108,113,13400
2019-06-17,113,114,106,114,7300
2019-06-18,113,113,113,113,200
2019-06-20,112,112,111,111,3900
2019-06-21,108,112,108,112,11200
2019-06-24,112,112,108,110,85800
2019-06-25,112,112,112,112,500
2019-06-26,107,112,105,112,52900
