timestamp,open,high,low,close,volume
2024-08-08,270,270,244,260,495349600
2024-08-09,272,312,234,286,490604800
2024-08-12,292,300,272,282,164559200
2024-08-13,276,296,274,294,62989500
2024-08-14,262,276,262,276,34462700
2024-08-15,286,294,262,264,105068400
2024-08-16,274,294,274,288,30887900
2024-08-19,280,284,274,274,14395500
2024-08-20,278,284,274,280,9877100
2024-08-21,278,290,276,280,18667300
2024-08-22,280,292,276,280,22577300
2024-08-23,278,284,276,278,12523600
2024-08-26,284,288,278,278,13630100
2024-08-27,282,286,266,266,13374500
2024-08-28,282,284,278,284,10997200
2024-08-29,302,310,282,282,83863200
2024-08-30,306,322,294,304,57217800
2024-09-02,308,320,296,308,18138000
2024-09-03,308,326,308,310,33686800
2024-09-04,302,312,302,310,11141500
2024-09-05,306,310,298,306,10406900
2024-09-06,302,310,300,306,8558800
2024-09-09,308,310,302,306,8267000
2024-09-10,306,314,302,314,7954900
2024-09-11,300,314,294,294,10905900
2024-09-12,302,308,298,302,8583900
2024-09-13,306,312,302,304,8553300
2024-09-17,318,318,304,304,33739300
2024-09-18,354,354,322,322,105631800
2024-09-19,344,358,336,356,17244400
2024-09-20,362,378,332,348,105363300
2024-09-23,362,370,354,362,23684800
2024-09-24,356,376,354,364,26962800
2024-09-25,352,360,346,360,18399100
2024-09-26,348,356,348,352,7888200
2024-09-27,360,360,344,352,20311300
2024-09-30,358,366,356,362,9118300
2024-10-01,356,362,352,362,6643000
2024-10-02,388,398,354,356,98577800
2024-10-03,380,394,378,394,20938000
2024-10-04,376,386,370,382,13828400
2024-10-07,386,400,374,374,59027500
2024-10-08,380,392,374,392,9357700
2024-10-09,384,386,376,380,8060000
2024-10-10,394,402,384,384,31336000
2024-10-11,390,398,384,394,5958700
2024-10-14,396,398,388,392,6155700
2024-10-15,396,408,388,394,22963400
2024-10-16,398,400,380,380,8888300
2024-10-17,406,410,396,396,28904700
2024-10-18,430,430,400,406,44797500
2024-10-21,440,452,422,428,29507000
2024-10-22,440,450,432,440,22803400
2024-10-23,438,446,432,442,9021400
2024-10-24,434,440,424,438,14673500
2024-10-25,434,440,430,434,5153500
2024-10-28,432,436,426,434,4997000
2024-10-29,432,444,432,434,6037300
2024-10-30,420,434,420,432,11684600
2024-10-31,424,428,414,424,6577700
2024-11-01,430,436,422,424,7130800
2024-11-04,422,432,416,430,9031700
2024-11-05,424,430,420,424,3506100
2024-11-06,422,426,420,424,3194900
2024-11-07,438,440,422,424,17497800
2024-11-08,436,442,430,436,6463000
2024-11-11,434,438,432,436,5347900
2024-11-12,442,450,432,434,19702100
2024-11-13,438,446,436,442,5186700
2024-11-14,434,442,424,438,11452900
2024-11-15,442,456,434,436,28510900
2024-11-18,442,444,436,442,4826500
2024-11-19,448,448,442,444,5335700
2024-11-20,450,456,448,448,7164900
2024-11-21,442,450,440,450,4755200
2024-11-22,436,444,436,444,5629000
2024-11-25,438,440,432,436,4244200
2024-11-26,444,444,434,434,8002800
2024-11-28,444,448,442,448,4123700
2024-11-29,440,444,438,444,7876700
2024-12-02,440,442,432,440,16214800
2024-12-03,450,450,438,438,26230100
2024-12-04,448,456,446,450,7443000
2024-12-05,446,448,444,448,4694700
2024-12-06,474,492,444,446,82431100
2024-12-09,468,472,456,472,12303800
2024-12-10,468,468,458,468,5543600
2024-12-11,468,468,460,468,4805100
2024-12-12,430,505,352,466,142404600
2024-12-13,412,428,386,428,10097400
2024-12-16,412,420,402,408,5753200
2024-12-17,408,412,402,410,3929800
2024-12-18,404,408,386,406,13683100
2024-12-19,386,402,378,402,4474400
2024-12-20,402,402,380,384,11707500
2024-12-23,412,412,392,400,14483400
2024-12-24,402,420,398,412,6243300
2024-12-27,408,414,398,402,6593800
2024-12-30,402,410,392,408,4824300
