timestamp,open,high,low,close,volume
2022-01-26,528,528,528,528,10032850
2022-01-27,660,660,660,660,2270450
2022-01-28,824,824,824,824,1847800
2022-01-31,1030,1030,1030,1030,1986650
2022-02-02,1280,1280,1280,1280,22694800
2022-02-03,1200,1600,1200,1580,17177550
2022-02-04,1120,1120,1120,1120,1998550
2022-02-07,1050,1050,1050,1050,1085500
2022-02-08,980,980,980,980,865250
2022-02-09,912,912,912,912,965650
2022-02-10,856,948,852,852,185393650
2022-02-11,1070,1070,896,900,120700200
2022-02-14,1330,1330,1060,1070,11120150
2022-02-15,1310,1660,1240,1650,209204200
2022-02-16,1470,1520,1310,1310,103284600
2022-02-17,1390,1570,1370,1490,102760500
2022-02-18,1300,1390,1300,1300,16481800
2022-02-21,1210,1240,1210,1210,19016700
2022-02-22,1230,1510,1130,1510,65218900
2022-02-23,1160,1510,1150,1510,31056650
2022-02-24,1080,1260,1080,1260,17253600
2022-02-25,1020,1130,1010,1010,27996250
2022-03-01,964,1110,960,1020,31159300
2022-03-02,964,988,916,964,18125750
2022-03-04,908,1060,908,964,53033100
2022-03-07,848,968,848,908,23714350
2022-03-08,796,860,796,856,11754400
2022-03-09,808,952,744,744,66396900
2022-03-10,860,860,752,752,13146300
2022-03-11,800,920,800,900,51267600
2022-03-14,800,800,800,800,0
2022-03-15,716,768,712,760,12142950
2022-03-16,684,712,676,676,10213500
2022-03-17,712,732,648,648,17542750
2022-03-18,740,760,692,716,34565550
2022-03-21,704,752,700,740,11051200
2022-03-22,692,712,684,708,4498700
2022-03-23,684,708,680,692,5393500
2022-03-24,716,752,684,752,7355550
2022-03-25,684,724,680,724,8121400
2022-03-28,692,704,680,680,4225050
2022-03-29,780,784,684,684,45237900
2022-03-30,748,780,748,772,15317400
2022-03-31,748,764,736,748,5575800
2022-04-01,756,784,748,748,14228250
2022-04-04,740,784,736,780,5520050
2022-04-05,720,752,704,740,5871250
2022-04-06,704,732,700,720,6274250
2022-04-07,788,792,704,720,28953150
2022-04-08,800,828,768,784,25878350
2022-04-11,760,804,760,784,13832650
2022-04-12,764,788,760,768,9440500
2022-04-13,744,776,744,768,5899850
2022-04-14,760,768,736,748,6945000
2022-04-18,744,776,740,760,8122150
2022-04-19,748,760,740,744,3861500
2022-04-20,720,752,696,752,7920000
2022-04-21,700,728,696,720,3413000
2022-04-22,692,736,680,736,5498900
2022-04-25,672,700,668,692,3647900
2022-04-26,652,676,644,672,4220250
2022-04-27,624,652,616,652,5508150
2022-04-28,652,688,620,624,7526250
