timestamp,open,high,low,close,volume
2021-09-06,325,325,287,325,175431500
2021-09-07,407,407,333,339,207772100
2021-09-08,508,508,416,416,170055600
2021-09-09,634,634,518,542,75743800
2021-09-10,591,741,591,678,74566300
2021-09-13,552,552,552,552,1003900
2021-09-14,518,518,518,518,1512100
2021-09-15,482,482,482,482,2974100
2021-09-16,449,489,449,482,43825400
2021-09-17,418,513,418,418,375639600
2021-09-20,389,440,389,416,34926500
2021-09-21,412,453,378,397,233735100
2021-09-22,397,436,395,414,65644300
2021-09-23,374,401,370,397,27551800
2021-09-24,349,378,349,374,20400000
2021-09-27,327,349,325,349,33484800
2021-09-28,329,345,308,327,30811300
2021-09-29,310,329,308,329,6757100
2021-09-30,294,310,292,308,7631100
2021-10-01,368,368,292,294,114042600
2021-10-04,343,397,343,387,40865400
2021-10-05,319,335,319,319,20099500
2021-10-06,304,335,300,310,38059300
2021-10-07,300,318,298,306,8517200
2021-10-08,308,327,300,302,22092300
2021-10-11,310,314,302,312,6643400
2021-10-12,300,310,300,310,4404000
2021-10-13,294,306,294,300,5711900
2021-10-14,287,298,285,294,7685900
2021-10-15,290,306,287,287,12903700
2021-10-18,289,296,287,290,3840800
2021-10-19,287,290,281,289,4195400
2021-10-21,283,289,279,287,3921800
2021-10-22,281,287,273,279,3255100
2021-10-25,277,281,273,281,2335800
2021-10-26,269,279,267,277,3145400
2021-10-27,269,298,259,269,23342100
2021-10-28,261,275,259,269,3529000
2021-10-29,267,277,261,263,4373800
2021-11-01,265,271,263,265,2111800
2021-11-02,263,271,263,267,2036700
2021-11-03,261,271,259,265,2842700
2021-11-04,261,265,259,261,2147200
2021-11-05,265,283,259,261,12896900
2021-11-08,263,267,263,267,2240700
2021-11-09,265,269,261,263,1820000
2021-11-10,263,267,263,265,1273400
2021-11-11,263,267,263,265,1366600
2021-11-12,261,267,261,265,1436000
2021-11-15,261,263,259,263,2463800
2021-11-16,256,261,256,261,3213900
2021-11-17,248,258,246,256,2519800
2021-11-18,246,248,242,248,1980500
2021-11-19,256,259,246,246,4217300
2021-11-22,258,265,252,258,3592300
2021-11-23,261,261,252,258,2462100
2021-11-24,281,281,261,263,14748400
2021-11-25,261,287,261,283,11420000
2021-11-26,248,267,248,261,4456600
2021-11-29,246,259,234,248,2839100
2021-11-30,246,254,244,248,1464100
2021-12-01,236,250,232,246,2637400
2021-12-02,236,242,234,236,813100
2021-12-03,232,240,232,236,944500
2021-12-06,230,238,228,232,1053200
2021-12-07,221,234,219,230,1804500
2021-12-08,217,227,217,221,1231000
2021-12-09,219,221,215,219,1594600
2021-12-10,273,273,223,223,85847400
2021-12-13,290,310,256,281,115386000
2021-12-14,289,298,273,290,23118600
