timestamp,open,high,low,close,volume
2019-01-01,815,815,815,815,0
2019-01-02,835,915,810,815,21778200
2019-01-03,815,855,815,845,231500
2019-01-04,810,815,805,815,182400
2019-01-07,805,810,800,800,29100
2019-01-08,805,810,795,800,234000
2019-01-09,800,810,800,800,46000
2019-01-10,800,800,790,800,255200
2019-01-11,800,815,795,795,343200
2019-01-14,770,800,755,800,1897700
2019-01-15,770,785,770,770,186800
2019-01-16,780,785,775,785,4700
2019-01-17,920,925,800,800,3070600
2019-01-18,1090,1100,915,930,5495200
2019-01-21,920,1120,920,1100,2501400
2019-01-22,760,920,730,920,6194900
2019-01-23,785,825,750,760,811500
2019-01-24,795,805,785,785,66800
2019-01-25,780,800,735,800,4416000
2019-01-28,730,770,725,770,1156900
2019-01-29,700,720,695,720,282800
2019-01-30,685,700,675,700,527200
2019-01-31,670,700,670,695,361000
2019-02-01,685,695,680,680,84300
2019-02-04,675,700,675,700,46100
2019-02-05,675,675,675,675,0
2019-02-06,660,690,660,675,258300
2019-02-07,650,670,645,660,213600
2019-02-08,650,670,640,640,50700
2019-02-11,640,660,640,660,59800
2019-02-12,625,650,625,625,128600
2019-02-13,625,640,625,625,9600
2019-02-14,625,635,625,635,9200
2019-02-15,620,625,615,625,29700
2019-02-18,610,625,610,615,12700
2019-02-19,640,665,595,630,1283200
2019-02-20,665,720,640,640,449100
2019-02-21,670,685,665,665,54000
2019-02-22,675,685,660,660,134900
2019-02-25,665,690,650,675,500200
2019-02-26,655,685,655,665,185200
2019-02-27,650,660,650,660,2356000
2019-02-28,650,655,650,655,40900
2019-03-01,650,675,650,650,290800
2019-03-04,655,660,645,660,5400
2019-03-05,690,735,655,665,2123300
2019-03-06,660,695,660,695,649700
2019-03-07,660,660,660,660,0
2019-03-08,650,655,645,655,137700
2019-03-11,675,695,650,650,725300
2019-03-12,665,665,665,665,7800
2019-03-13,665,665,655,660,1123200
2019-03-14,655,660,650,660,16300
2019-03-15,650,650,645,650,13800
2019-03-18,700,715,645,645,2369200
2019-03-19,700,740,695,700,806900
2019-03-20,710,725,700,705,163100
2019-03-21,705,720,705,715,86800
2019-03-22,690,705,690,705,2444200
2019-03-25,690,690,690,690,0
2019-03-26,690,690,690,690,0
2019-03-27,670,690,670,690,43500
2019-03-28,680,680,675,675,2100
2019-03-29,670,670,665,665,2560300
2019-04-01,660,665,660,665,83800
2019-04-02,685,685,665,665,7900
2019-04-03,685,685,685,685,0
2019-04-04,680,680,675,675,11500
2019-04-05,680,680,680,680,0
2019-04-08,710,720,675,675,742000
2019-04-09,725,760,705,705,1535900
2019-04-10,710,725,695,720,177000
2019-04-11,710,710,680,695,49100
2019-04-12,730,750,680,710,63600
2019-04-15,720,720,700,715,53100
2019-04-16,700,720,660,695,993000
2019-04-17,700,700,700,700,0
2019-04-18,715,715,695,710,12400
2019-04-19,715,715,715,715,0
2019-04-22,720,720,695,715,14200
2019-04-23,720,720,680,710,1802400
2019-04-24,715,715,685,695,24914700
2019-04-25,625,715,540,700,3165300
2019-04-26,600,625,580,625,15491400
2019-04-29,590,620,560,600,136900
2019-04-30,575,605,560,590,85300
2019-05-01,575,575,575,575,0
2019-05-02,600,600,565,570,41200
2019-05-03,550,575,545,575,246200
2019-05-06,550,550,472,545,11074800
2019-05-07,560,560,525,530,43700
2019-05-08,560,565,530,530,30000
2019-05-09,575,590,565,565,97800
2019-05-10,550,580,550,550,1211800
2019-05-13,560,560,550,550,17300
2019-05-14,600,600,560,560,34000
2019-05-15,550,610,545,600,212800
2019-05-16,545,570,545,550,10500
2019-05-17,555,565,515,525,60800
2019-05-20,525,555,525,555,18000
2019-05-21,600,600,555,560,1689000
2019-05-22,560,600,560,600,8800
2019-05-23,570,580,560,560,23500
2019-05-24,580,580,580,580,7200
