timestamp,open,high,low,close,volume
2019-07-05,170,170,170,170,162200
2019-07-08,228,228,228,228,43700
2019-07-09,284,284,284,284,2275100
2019-07-10,354,354,284,300,56702300
2019-07-11,368,438,300,360,5822000
2019-07-12,350,370,348,370,12540400
2019-07-15,364,372,350,360,12562200
2019-07-16,358,364,352,364,12099900
2019-07-17,362,384,356,360,14877700
2019-07-18,416,452,360,362,2030700
2019-07-19,520,520,416,418,3059200
2019-07-22,650,650,525,535,3221600
2019-07-23,600,810,560,675,83162400
2019-07-24,700,745,525,605,195718100
2019-07-25,710,825,650,705,260037300
2019-07-26,705,720,690,720,8754300
2019-07-29,530,710,530,705,83697400
2019-07-30,660,660,398,500,65318500
2019-07-31,825,825,660,715,114432900
2019-08-01,620,930,620,900,133412000
2019-08-02,466,605,466,550,43449500
2019-08-05,496,560,362,450,50839300
2019-08-06,484,520,484,500,9721500
2019-08-07,364,515,364,484,46200700
2019-08-08,274,384,274,350,266808900
2019-08-09,342,342,234,274,100964500
2019-08-12,426,426,312,356,43219100
2019-08-13,320,500,320,440,103497200
2019-08-14,240,320,240,300,109140300
2019-08-15,202,256,191,242,89056600
2019-08-16,200,236,192,202,63387200
2019-08-19,204,212,196,204,29367100
2019-08-20,193,206,193,206,10971900
2019-08-21,181,200,179,193,15378800
2019-08-22,160,186,157,184,17686600
2019-08-23,150,164,150,162,9583300
2019-08-26,148,172,145,152,17686100
2019-08-27,146,154,143,149,5918400
2019-08-28,140,148,140,147,4638300
2019-08-29,189,189,134,141,85955500
2019-08-30,159,222,154,200,132292600
2019-09-02,152,175,149,160,22291300
2019-09-03,144,155,144,154,6763500
2019-09-04,150,167,141,144,34772700
2019-09-05,153,157,140,140,5295200
2019-09-06,156,163,151,156,9294900
2019-09-09,153,159,150,150,3259600
2019-09-10,154,158,152,154,3368000
2019-09-11,160,167,154,154,16155900
2019-09-12,161,169,160,160,15154500
2019-09-13,158,165,151,151,4526900
2019-09-16,169,180,150,150,32692100
2019-09-17,162,172,161,161,7054800
2019-09-18,158,166,157,162,2954000
2019-09-19,155,160,152,158,3592600
2019-09-20,153,158,152,156,3861700
2019-09-23,149,158,149,155,4668500
2019-09-24,144,151,143,149,1535200
2019-09-25,143,147,141,145,2486200
2019-09-26,139,143,139,143,1849600
2019-09-27,141,148,140,140,2828700
2019-09-30,142,152,139,141,21713100
2019-10-01,138,144,138,140,2376200
2019-10-02,139,145,137,140,2944700
2019-10-03,126,140,124,138,3404200
2019-10-04,157,170,119,124,47597400
2019-10-07,144,161,142,157,11436500
