timestamp,open,high,low,close,volume
2019-01-01,13,13,13,13,0
2019-01-02,12,13,12,13,8546503
2019-01-03,12,13,12,12,2107067
2019-01-04,12,13,12,13,3200716
2019-01-07,12,13,12,12,8031348
2019-01-08,12,12,12,12,4891155
2019-01-09,12,12,11,12,6349353
2019-01-10,12,12,12,12,1767853
2019-01-11,12,12,12,12,4428079
2019-01-14,12,12,12,12,21573164
2019-01-15,12,12,12,12,1938164
2019-01-16,12,13,11,11,7935636
2019-01-17,12,13,12,12,6298682
2019-01-18,12,13,12,12,1850897
2019-01-21,12,13,12,12,5268373
2019-01-22,12,13,12,12,2316789
2019-01-23,12,12,12,12,1684809
2019-01-24,12,12,12,12,1166839
2019-01-25,12,12,12,12,1310407
2019-01-28,12,12,12,12,1421602
2019-01-29,12,12,12,12,3827065
2019-01-30,12,12,12,12,2167591
2019-01-31,12,12,11,12,8433901
2019-02-01,11,12,11,11,4021304
2019-02-04,11,11,11,11,1553909
2019-02-05,11,11,11,11,0
2019-02-06,11,11,11,11,3483629
2019-02-07,11,11,11,11,1073943
2019-02-08,11,11,11,11,8826601
2019-02-11,11,11,10,11,13365875
2019-02-12,11,11,10,11,12228593
2019-02-13,11,11,10,11,2820683
2019-02-14,10,11,10,11,1282256
2019-02-15,10,11,9,11,1831192
2019-02-18,8,11,7,11,72836701
2019-02-19,8,9,8,8,62057860
2019-02-20,8,8,7,7,36936320
2019-02-21,7,8,7,7,59287847
2019-02-22,7,7,7,7,63459756
2019-02-25,8,9,7,7,171488852
2019-02-26,8,8,8,8,30890992
2019-02-27,8,8,8,8,5099469
2019-02-28,8,8,8,8,1734073
2019-03-01,7,8,7,8,6293052
2019-03-04,9,10,7,8,375324080
2019-03-05,8,9,8,9,96846294
2019-03-06,9,11,8,9,467231363
2019-03-07,9,9,9,9,0
2019-03-08,10,11,9,10,269314786
2019-03-11,9,10,9,9,40491733
2019-03-12,9,10,9,9,32133838
2019-03-13,9,9,8,9,15668589
2019-03-14,9,9,8,9,12049837
2019-03-15,8,9,8,9,10863292
2019-03-18,9,10,8,8,50359904
2019-03-19,8,9,8,9,14249802
2019-03-20,9,9,8,9,17886851
2019-03-21,9,9,8,9,5721596
2019-03-22,9,9,8,9,4718030
2019-03-25,8,9,8,9,7341660
2019-03-26,9,9,8,9,26947102
2019-03-27,9,9,8,9,15505316
2019-03-28,9,9,8,9,2470209
2019-03-29,8,9,8,9,3465331
2019-04-01,8,9,8,9,1164024
2019-04-02,8,9,8,8,2933286
2019-04-03,8,8,8,8,0
2019-04-04,8,9,8,9,3707425
2019-04-05,9,9,8,9,15715037
2019-04-08,8,9,8,9,267430
2019-04-09,8,9,8,9,2840389
2019-04-10,8,9,8,9,1204843
2019-04-11,8,9,8,8,1508868
2019-04-12,8,9,8,9,554565
2019-04-15,8,8,8,8,1230178
2019-04-16,8,8,8,8,699540
2019-04-17,8,8,8,8,0
2019-04-18,8,9,8,9,1059867
2019-04-19,8,8,8,8,0
2019-04-22,8,9,8,9,793845
2019-04-23,8,8,8,8,12265189
2019-04-24,8,9,8,9,5894722
2019-04-25,8,8,8,8,5891907
2019-04-26,8,8,8,8,8266405
2019-04-29,8,8,8,8,3061370
2019-04-30,8,8,8,8,5167031
