timestamp,open,high,low,close,volume
2024-07-05,131,141,114,138,431682700
2024-07-08,110,135,102,131,190684400
2024-07-09,116,125,110,110,73581800
2024-07-10,122,124,116,117,58275100
2024-07-11,129,129,119,123,73099300
2024-07-12,128,136,125,132,60021900
2024-07-15,133,133,126,129,36816500
2024-07-16,132,135,129,135,27139700
2024-07-17,130,133,130,132,13556900
2024-07-18,167,169,130,131,291268400
2024-07-19,158,174,150,168,182581800
2024-07-22,166,173,155,158,117848400
2024-07-23,160,174,159,167,71860700
2024-07-24,165,167,160,160,26977100
2024-07-25,167,182,160,166,144003500
2024-07-26,167,170,164,168,25885800
2024-07-29,164,169,161,166,31995500
2024-07-30,163,167,162,164,19282600
2024-07-31,165,167,163,164,25327100
2024-08-01,172,174,164,166,41245500
2024-08-02,172,179,170,173,38509400
2024-08-05,164,175,161,170,27500900
2024-08-06,164,167,163,164,14093400
2024-08-07,170,172,163,165,41739900
2024-08-08,163,172,163,171,16695400
2024-08-09,162,168,159,164,24488200
2024-08-12,162,164,159,162,18172500
2024-08-13,162,164,161,162,15575000
2024-08-14,160,163,159,162,17700000
2024-08-15,160,163,159,162,9252800
2024-08-16,160,163,159,160,16787200
2024-08-19,164,167,159,159,22355900
2024-08-20,164,166,163,164,10718300
2024-08-21,161,165,161,165,8808400
2024-08-22,163,165,160,161,13966800
2024-08-23,164,165,162,163,6011100
2024-08-26,166,171,164,165,23842400
2024-08-27,165,168,164,166,19508300
2024-08-28,167,169,165,167,55098300
2024-08-29,164,169,161,168,34612500
2024-08-30,162,164,161,163,26359400
2024-09-02,162,163,161,162,19390400
2024-09-03,161,162,159,162,12990800
2024-09-04,163,164,160,160,60434300
2024-09-05,163,165,162,163,21130200
2024-09-06,162,165,161,165,14339000
2024-09-09,157,163,157,162,17960400
2024-09-10,140,159,140,157,33952300
2024-09-11,132,147,131,141,13821400
2024-09-12,131,134,117,117,17306100
2024-09-13,130,132,129,130,10232300
2024-09-17,125,132,123,130,18371600
2024-09-18,124,126,114,114,10245300
2024-09-19,125,127,124,124,14462100
2024-09-20,119,128,119,128,12013500
2024-09-23,123,124,120,120,20403500
2024-09-24,154,159,123,124,190853700
2024-09-25,148,155,143,153,40570600
2024-09-26,138,152,133,148,57984200
2024-09-27,132,139,128,130,25514400
2024-09-30,127,133,122,122,17945600
2024-10-01,135,145,127,127,71500800
2024-10-02,134,141,132,135,17820800
2024-10-03,132,140,130,134,17141000
2024-10-04,130,133,127,132,9917400
2024-10-07,122,132,117,132,15177500
2024-10-08,124,128,94,94,11577400
2024-10-09,121,124,118,124,16942400
2024-10-10,120,122,113,113,7442400
2024-10-11,117,122,115,120,16942000
2024-10-14,118,119,116,117,14761400
2024-10-15,118,122,116,118,14411800
2024-10-16,118,119,116,118,10475500
2024-10-17,117,118,115,118,11106100
2024-10-18,118,118,113,117,10213000
2024-10-21,118,121,116,118,7836900
2024-10-22,118,118,114,118,12975200
2024-10-23,118,118,114,117,15647000
2024-10-24,117,118,114,118,7454000
2024-10-25,114,117,113,117,8599900
2024-10-28,113,114,112,114,8286900
2024-10-29,109,114,103,103,5388900
2024-10-30,106,115,103,109,4481900
2024-10-31,105,109,104,106,1111800
2024-11-01,110,113,102,105,3904500
2024-11-04,102,113,91,111,11747300
2024-11-05,88,100,79,100,27437900
2024-11-06,72,85,68,68,24691300
2024-11-07,75,77,62,64,22561500
2024-11-08,76,76,65,67,9316200
2024-11-11,85,90,60,60,22049900
2024-11-12,79,86,79,86,12304900
2024-11-13,77,81,72,72,5979000
2024-11-14,82,95,74,74,34197000
2024-11-15,76,83,76,81,9500900
2024-11-18,82,84,70,70,10618700
2024-11-19,86,87,79,79,8134800
2024-11-20,85,88,83,85,2982600
2024-11-21,84,87,84,84,4246800
2024-11-22,84,85,82,85,1795900
2024-11-25,85,86,82,82,2833900
2024-11-26,85,86,83,85,2957800
2024-11-28,83,86,77,77,701000
2024-11-29,83,85,81,84,4005100
2024-12-02,81,86,81,83,1853000
2024-12-03,82,83,80,82,1231800
2024-12-04,84,84,81,82,5989900
2024-12-05,83,85,82,84,1231400
2024-12-06,90,91,81,85,15965800
2024-12-09,93,114,91,91,113995100
2024-12-10,85,93,82,93,25133200
2024-12-11,86,93,85,87,12953400
2024-12-12,86,88,84,87,3281900
2024-12-13,84,87,83,87,2857400
2024-12-16,85,85,81,83,8361200
2024-12-17,83,86,82,86,2488400
2024-12-18,83,87,82,83,4123500
2024-12-19,82,84,81,83,5719000
2024-12-20,82,83,81,82,4375500
2024-12-23,83,84,81,83,2084800
2024-12-24,84,87,81,83,5146700
2024-12-27,88,91,83,83,11303500
2024-12-30,93,93,87,88,11958500
