timestamp,open,high,low,close,volume
2023-02-24,829,877,772,877,584706700
2023-02-27,787,829,787,829,90183300
2023-02-28,758,796,758,772,65393800
2023-03-01,791,796,758,758,43259400
2023-03-02,824,829,777,796,55298000
2023-03-03,829,829,810,824,34181600
2023-03-06,815,834,801,824,30521300
2023-03-07,815,829,810,815,14088300
2023-03-08,815,820,806,815,8540300
2023-03-09,810,820,806,815,11006800
2023-03-10,815,815,787,810,10084800
2023-03-13,796,815,787,815,4519100
2023-03-14,782,796,768,796,8412400
2023-03-15,768,791,763,782,10350600
2023-03-16,749,772,734,768,32026000
2023-03-17,763,777,744,749,11337700
2023-03-20,758,777,753,758,11086800
2023-03-21,758,758,749,758,2938400
2023-03-24,753,763,744,758,5173700
2023-03-27,701,758,701,758,19315600
2023-03-28,659,701,654,663,27500000
2023-03-29,673,682,640,659,12946300
2023-03-30,668,682,659,673,5913300
2023-03-31,659,682,654,678,14933900
2023-04-03,621,663,621,659,19558900
2023-04-04,625,630,588,588,10990000
2023-04-05,630,640,616,621,7587200
2023-04-06,616,635,616,630,8404500
2023-04-10,583,621,578,616,18448600
2023-04-11,659,678,564,564,37952700
2023-04-12,649,673,625,663,29865300
2023-04-13,682,692,635,649,23065000
2023-04-14,682,697,668,687,19684800
2023-04-17,711,720,678,692,22994600
2023-04-18,711,720,697,715,12663400
2023-04-26,725,734,682,711,8322100
2023-04-27,720,725,701,725,12986300
2023-04-28,715,730,706,720,9437800
2023-05-02,725,725,701,715,9443900
2023-05-03,720,725,711,725,9151700
2023-05-04,730,734,715,720,7527200
2023-05-05,711,734,701,734,4341400
2023-05-08,730,744,706,711,8256300
2023-05-09,730,734,711,730,9160000
2023-05-10,739,744,720,730,15681500
2023-05-11,739,744,730,739,3764000
2023-05-12,744,749,725,744,54525100
2023-05-15,796,810,739,749,44699900
2023-05-16,796,806,787,791,17007600
2023-05-17,796,815,787,796,12053700
2023-05-19,806,810,791,796,8371300
2023-05-22,772,810,753,806,14387000
2023-05-23,772,777,758,772,5468900
2023-05-24,787,824,763,772,17176100
2023-05-25,782,801,768,787,5667500
2023-05-26,796,801,768,782,3715000
2023-05-29,815,820,777,796,7214500
2023-05-30,839,839,806,815,23644400
2023-05-31,862,872,834,839,38856100
2023-06-05,862,872,853,858,28913700
2023-06-06,877,886,862,867,54003400
2023-06-07,862,881,862,877,20918600
2023-06-08,815,862,810,862,11927200
2023-06-09,815,820,806,820,6627500
2023-06-12,810,815,787,815,11086600
2023-06-13,810,810,787,810,25573900
2023-06-14,811,821,806,821,4401000
2023-06-15,806,816,792,816,6929800
2023-06-16,806,811,797,806,6558500
2023-06-19,806,811,792,801,5044000
2023-06-20,811,840,797,801,11887300
2023-06-21,830,845,811,811,16932900
2023-06-22,835,845,825,845,12149700
2023-06-23,845,854,830,835,11201900
2023-06-26,840,849,821,845,13192400
2023-06-27,840,845,811,845,12794900
2023-07-03,821,845,821,840,3719800
2023-07-04,797,825,792,821,9208700
2023-07-05,801,816,782,816,4850700
2023-07-06,792,806,792,806,1804800
2023-07-07,782,801,782,797,4018900
2023-07-10,768,787,763,782,6049300
2023-07-11,763,792,753,792,5259600
2023-07-12,758,768,753,763,3637400
2023-07-13,744,773,744,758,6462600
2023-07-14,758,768,744,749,4612700
2023-07-17,758,773,749,763,9673000
2023-07-18,739,768,734,758,8224600
2023-07-20,715,739,710,739,12196300
2023-07-21,734,739,715,715,5010200
2023-07-24,744,749,729,734,4571300
2023-07-25,734,753,725,744,5243900
2023-07-26,758,782,734,739,21278100
2023-07-27,758,773,758,768,9117400
2023-07-28,773,782,744,768,11597200
2023-07-31,816,821,763,773,20100100
2023-08-01,801,825,792,821,11366100
2023-08-02,840,845,801,801,13936300
2023-08-03,840,845,825,845,6278400
2023-08-04,835,873,835,840,13730200
2023-08-07,825,840,811,835,2947400
2023-08-08,849,864,821,825,18335800
2023-08-09,873,873,849,849,23226300
2023-08-10,873,878,859,878,13167200
2023-08-11,907,1003,864,878,101171900
2023-08-14,888,917,845,907,73517400
2023-08-15,960,965,883,888,113436900
2023-08-16,931,974,926,965,61258700
2023-08-18,931,945,912,931,17338300
2023-08-21,1027,1099,945,945,209332700
2023-08-22,1008,1032,955,1032,190430300
2023-08-23,1003,1046,984,1046,103392400
2023-08-24,1017,1041,1003,1003,74121900
2023-08-25,1022,1075,931,993,192123500
2023-08-28,1118,1147,1022,1037,150689800
2023-08-29,1243,1248,1118,1128,135401600
2023-08-30,1344,1358,1243,1257,197393600
2023-08-31,1325,1368,1286,1358,115311700
2023-09-01,1353,1377,1320,1349,163062800
2023-09-04,1320,1397,1320,1363,116017900
2023-09-05,1238,1325,1209,1320,140938700
2023-09-06,1233,1296,1229,1238,98192200
2023-09-07,1161,1262,1161,1262,84413200
2023-09-08,1214,1214,1104,1152,208467900
2023-09-11,1123,1219,1118,1214,152085500
2023-09-12,1133,1171,1109,1123,116342300
2023-09-13,1157,1171,1109,1137,99544100
2023-09-14,1181,1209,1142,1181,205357700
2023-09-15,1358,1411,1190,1200,406453000
2023-09-18,1473,1579,1358,1363,477964800
2023-09-19,1483,1507,1425,1497,185637700
2023-09-20,1445,1507,1425,1507,119919000
2023-09-21,1507,1531,1435,1445,188794700
2023-09-22,1512,1550,1493,1507,94903000
2023-09-25,1541,1574,1512,1526,181603300
2023-09-26,1425,1560,1401,1550,228640200
2023-09-27,1430,1478,1397,1425,123873100
2023-09-29,1387,1454,1363,1435,108147800
2023-10-02,1440,1445,1373,1387,97399100
2023-10-03,1507,1517,1421,1445,133494800
2023-10-04,1512,1526,1449,1512,111050600
2023-10-05,1517,1555,1473,1521,132508000
2023-10-06,1536,1555,1497,1521,79291500
2023-10-09,1459,1613,1459,1560,276063500
2023-10-10,1416,1488,1406,1464,123490800
2023-10-11,1358,1435,1344,1421,190691200
2023-10-12,1267,1397,1257,1358,189317300
2023-10-13,1257,1310,1257,1267,114566400
2023-10-16,1243,1296,1195,1262,108048400
2023-10-17,1344,1344,1243,1248,161534600
2023-10-18,1397,1421,1334,1358,161680500
2023-10-19,1325,1397,1325,1397,86302900
2023-10-20,1296,1339,1262,1325,64647500
2023-10-23,1272,1320,1243,1296,48153300
2023-10-24,1301,1315,1267,1277,37347100
2023-10-25,1277,1315,1277,1310,28811200
2023-10-26,1262,1301,1257,1281,29253200
2023-10-27,1301,1310,1257,1262,34979900
