timestamp,open,high,low,close,volume
2020-09-15,123,123,123,123,2400
2020-09-16,135,135,135,135,83600
2020-09-17,148,148,148,148,761000
2020-09-18,162,162,151,152,17125200
2020-09-21,170,178,166,174,6823900
2020-09-22,167,170,167,170,5401600
2020-09-23,183,183,168,168,22211300
2020-09-24,180,183,178,183,4496700
2020-09-25,189,190,181,181,15441000
2020-09-28,193,195,187,190,14581500
2020-09-29,212,212,192,193,19865100
2020-09-30,232,232,200,214,31483000
2020-10-01,236,246,214,234,18630500
2020-10-02,234,244,222,236,11579800
2020-10-05,240,244,228,234,6645100
2020-10-06,264,264,240,240,11311000
2020-10-07,266,266,256,264,11082600
2020-10-08,258,266,254,266,8965000
2020-10-09,250,264,250,256,10612000
2020-10-12,240,250,238,250,8250700
2020-10-13,246,246,234,240,8111600
2020-10-14,266,266,244,246,9709300
2020-10-15,280,280,256,266,19903900
2020-10-16,284,288,274,280,11608000
2020-10-19,286,290,278,284,7127700
2020-10-20,280,290,278,284,7862100
2020-10-21,286,286,276,280,8300100
2020-10-22,278,288,258,286,10426800
2020-10-23,280,286,276,278,5002900
2020-10-26,284,284,280,280,7559900
2020-10-27,264,276,264,276,7776500
2020-11-02,244,266,240,264,9116600
2020-11-03,242,252,240,244,7105300
2020-11-04,224,250,218,242,12385600
2020-11-05,214,228,202,224,11834300
2020-11-06,193,214,193,214,6852200
2020-11-09,174,191,174,191,7001400
2020-11-10,172,181,168,170,8922100
2020-11-11,155,172,155,172,3708400
2020-11-12,140,155,140,155,6101800
2020-11-13,141,143,134,140,4937600
2020-11-16,133,142,132,141,5688600
2020-11-17,125,133,124,133,6391900
2020-11-18,120,125,118,125,8402600
2020-11-19,114,125,114,120,16016400
2020-11-20,115,116,110,114,9002500
2020-11-23,110,115,110,115,9310400
2020-11-24,121,121,110,110,23646600
2020-11-25,133,133,121,121,20030900
2020-11-26,138,145,132,135,19466400
2020-11-27,135,143,134,138,16225100
2020-11-30,127,135,126,135,16559300
2020-12-01,130,132,125,127,20215000
2020-12-02,130,132,123,130,22050700
2020-12-03,125,130,123,130,19196900
2020-12-04,126,126,123,126,13228100
2020-12-07,127,129,125,126,17330200
2020-12-08,125,127,121,127,14602500
2020-12-10,120,125,117,124,17959700
2020-12-11,117,121,116,120,18002100
2020-12-14,117,117,110,117,1315300
2020-12-15,116,117,114,117,453700
2020-12-16,115,116,114,116,195800
2020-12-17,111,115,110,115,619500
2020-12-18,108,115,108,111,509900
2020-12-21,110,110,105,110,224100
2020-12-22,108,110,101,110,985100
2020-12-23,107,109,105,108,1929500
2020-12-28,109,110,97,110,1266800
2020-12-29,107,109,103,109,491200
2020-12-30,100,107,100,107,766400
2021-01-04,103,103,95,100,42500
2021-01-05,112,112,100,103,203900
2021-01-06,107,112,105,112,77500
2021-01-07,107,107,97,107,117500
2021-01-08,103,105,98,100,250700
2021-01-11,106,106,101,103,49100
2021-01-12,104,108,98,107,222200
2021-01-13,100,100,98,98,139200
2021-01-14,98,100,93,100,301000
2021-01-15,96,98,96,98,22700
2021-01-18,90,95,87,95,196200
2021-01-19,99,99,90,91,692200
2021-01-20,100,100,90,99,315800
2021-01-21,100,104,94,104,65600
2021-01-22,99,100,98,100,198500
2021-01-25,98,98,94,98,3108600
2021-01-26,94,99,90,98,4534700
2021-01-27,93,97,89,92,4896500
2021-01-28,93,96,90,93,4513300
2021-01-29,100,100,91,92,6150200
2021-02-01,110,110,95,99,14416900
2021-02-02,121,121,110,110,15591100
2021-02-03,133,133,121,121,29284600
2021-02-04,133,136,127,134,19929700
2021-02-05,133,136,127,133,11623400
2021-02-08,146,146,134,134,26500300
2021-02-09,156,157,145,146,18781100
2021-02-10,168,171,156,156,30940400
2021-02-11,182,182,167,168,26296500
2021-02-15,182,182,182,182,0
2021-02-16,164,183,164,180,28129400
2021-02-17,148,148,148,148,133300
2021-02-18,134,134,134,134,1170500
