timestamp,open,high,low,close,volume
2020-08-31,253,253,253,253,20200
2020-09-01,316,316,316,316,37100
2020-09-02,394,394,365,365,112100
2020-09-03,462,490,405,405,4596900
2020-09-04,438,470,434,466,801700
2020-09-07,413,438,409,438,1052000
2020-09-08,392,413,386,413,373400
2020-09-09,391,430,386,405,129700
2020-09-10,371,405,368,405,618800
2020-09-11,400,422,360,360,34700
2020-09-14,418,430,389,405,40700
2020-09-15,413,458,405,458,76700
2020-09-16,434,454,405,454,46100
2020-09-17,458,462,442,446,214500
2020-09-18,462,466,446,466,115900
2020-09-21,482,503,462,503,104900
2020-09-22,482,523,454,523,89700
2020-09-23,458,523,458,523,71400
2020-09-24,466,486,442,486,85900
2020-09-25,442,486,438,486,122200
2020-09-28,438,482,438,482,191000
2020-09-29,442,470,442,470,75300
2020-09-30,450,482,438,482,11300
2020-10-01,466,466,438,462,54900
2020-10-02,442,474,438,474,28300
2020-10-05,466,482,438,482,75400
2020-10-06,458,474,438,474,39100
2020-10-07,462,478,442,478,172700
2020-10-08,474,486,474,486,2500
2020-10-09,495,495,470,495,303500
2020-10-12,495,535,462,535,3100
2020-10-13,495,503,462,503,10600
2020-10-14,486,519,462,519,6500
2020-10-15,486,495,462,495,21800
2020-10-16,490,519,470,519,3700
2020-10-19,495,531,458,531,46700
2020-10-20,495,515,486,515,5600
2020-10-21,495,535,466,535,3200
2020-10-22,495,519,466,519,16600
2020-10-23,495,511,466,511,2500
2020-10-26,470,515,470,515,700
2020-10-27,495,511,466,511,12200
2020-11-02,482,535,466,535,63300
2020-11-03,478,495,466,495,64100
2020-11-04,490,519,470,519,3400
2020-11-05,490,495,466,495,14900
2020-11-06,490,511,490,511,4300
2020-11-09,499,507,466,507,4800
2020-11-10,474,515,474,515,20800
2020-11-11,507,515,466,515,14700
2020-11-12,499,515,474,515,10000
2020-11-13,486,511,474,511,1200
2020-11-16,486,527,486,527,10700
2020-11-17,486,527,466,527,1203800
2020-11-18,482,527,478,527,71800
2020-11-19,495,523,454,523,11400
2020-11-20,490,511,490,511,1600
2020-11-23,486,531,486,531,24500
2020-11-24,499,527,486,527,20500
2020-11-25,486,495,486,495,27000
2020-11-26,478,507,454,507,9600
2020-11-27,482,519,446,519,4700
2020-11-30,495,507,482,507,2200
2020-12-01,462,535,462,535,600
2020-12-02,503,503,462,503,4400
2020-12-03,470,543,470,543,3300
2020-12-04,486,511,462,511,19300
2020-12-07,486,527,486,527,600
