timestamp,open,high,low,close,volume
2019-01-01,1050,1050,1050,1050,0
2019-01-02,1055,1055,1050,1050,197900
2019-01-03,1040,1055,1040,1055,53400
2019-01-04,1035,1050,1035,1040,40900
2019-01-07,1050,1090,1045,1055,121900
2019-01-08,1050,1060,1040,1050,245400
2019-01-09,1050,1080,1050,1070,3968700
2019-01-10,1055,1070,1040,1055,657800
2019-01-11,1075,1085,1055,1055,136300
2019-01-14,1080,1090,1070,1075,351800
2019-01-15,1130,1170,1095,1095,2509300
2019-01-16,1140,1185,1130,1140,1713000
2019-01-17,1120,1150,1120,1130,638400
2019-01-18,1110,1145,1110,1140,53600
2019-01-21,1125,1160,1110,1110,410400
2019-01-22,1115,1150,1110,1110,101800
2019-01-23,1150,1150,1110,1115,880900
2019-01-24,1170,1215,1140,1165,3026800
2019-01-25,1160,1220,1140,1170,4879900
2019-01-28,1155,1180,1150,1180,580200
2019-01-29,1135,1155,1130,1150,596900
2019-01-30,1130,1140,1120,1135,89600
2019-01-31,1140,1175,1130,1130,865500
2019-02-01,1135,1145,1110,1140,353600
2019-02-04,1135,1140,1130,1140,510600
2019-02-05,1135,1135,1135,1135,0
2019-02-06,1140,1150,1135,1150,422200
2019-02-07,1150,1155,1125,1140,441400
2019-02-08,1145,1170,1140,1170,232000
2019-02-11,1140,1145,1130,1140,645100
2019-02-12,1145,1150,1105,1150,340400
2019-02-13,1210,1215,1135,1150,2958100
2019-02-14,1175,1245,1170,1220,3236300
2019-02-15,1185,1210,1155,1165,1421400
2019-02-18,1220,1280,1190,1200,6561300
2019-02-19,1200,1280,1200,1220,736900
2019-02-20,1235,1315,1200,1200,7357300
2019-02-21,1225,1250,1210,1235,1833300
2019-02-22,1400,1425,1225,1225,4116500
2019-02-25,1380,1470,1370,1400,2870400
2019-02-26,1475,1475,1380,1380,5791200
2019-02-27,1440,1500,1435,1480,3523000
2019-02-28,1360,1470,1335,1440,1604300
2019-03-01,1370,1450,1355,1355,490100
2019-03-04,1345,1400,1315,1375,488900
2019-03-05,1315,1350,1265,1330,1498700
2019-03-06,1300,1325,1290,1310,1891400
2019-03-07,1300,1300,1300,1300,0
2019-03-08,1265,1300,1255,1300,1196800
2019-03-11,1200,1255,1185,1255,1330900
2019-03-12,1185,1215,1185,1205,449600
2019-03-13,1235,1265,1180,1190,1603100
2019-03-14,1210,1225,1190,1205,630800
2019-03-15,1205,1220,1195,1195,1919100
2019-03-18,1220,1235,1210,1215,138100
2019-03-19,1200,1240,1200,1225,632300
2019-03-20,1185,1210,1185,1190,398000
2019-03-21,1195,1205,1185,1200,331800
2019-03-22,1215,1220,1185,1200,304400
2019-03-25,1195,1310,1190,1230,4206100
2019-03-26,1180,1220,1175,1195,1483700
2019-03-27,1150,1200,1140,1180,1372500
2019-03-28,1155,1180,1130,1150,31411300
2019-03-29,1170,1190,1160,1160,721400
2019-04-01,1200,1200,1175,1180,386300
2019-04-02,1225,1250,1165,1200,479800
2019-04-03,1225,1225,1225,1225,0
2019-04-04,1195,1230,1190,1220,492400
2019-04-05,1230,1275,1195,1210,988000
2019-04-08,1215,1250,1210,1235,506100
2019-04-09,1215,1230,1210,1215,211700
2019-04-10,1210,1230,1210,1215,123000
2019-04-11,1175,1210,1170,1210,482900
2019-04-12,1180,1200,1165,1195,295600
2019-04-15,1190,1210,1180,1180,366500
2019-04-16,1195,1210,1190,1190,484200
2019-04-17,1195,1195,1195,1195,0
2019-04-18,1210,1225,1195,1220,1026100
2019-04-19,1210,1210,1210,1210,0
2019-04-22,1255,1255,1220,1220,1476600
2019-04-23,1350,1370,1235,1260,2124000
2019-04-24,1290,1350,1285,1350,1972000
