timestamp,open,high,low,close,volume
2019-01-10,2450,2450,2350,2450,2013200
2019-01-11,1840,2650,1840,2550,2072500
2019-01-14,1575,1800,1550,1800,259800
2019-01-15,1445,1615,1410,1555,139200
2019-01-16,1440,1485,1400,1440,52000
2019-01-17,1420,1475,1415,1465,37900
2019-01-18,1400,1470,1400,1420,95900
2019-01-21,1400,1435,1400,1400,30700
2019-01-22,1355,1425,1355,1405,16400
2019-01-23,1310,1385,1300,1355,23600
2019-01-24,1390,1495,1255,1300,28200
2019-01-25,1375,1405,1375,1400,7000
2019-01-28,1370,1420,1320,1350,9300
2019-01-29,1380,1395,1320,1370,33200
2019-01-30,1335,1400,1335,1380,25800
2019-01-31,1375,1390,1335,1335,7800
2019-02-01,1335,1395,1335,1360,10800
2019-02-04,1335,1370,1280,1370,21800
2019-02-05,1335,1335,1335,1335,0
2019-02-06,1295,1335,1275,1295,4300
2019-02-07,1330,1335,1290,1290,12400
2019-02-08,1325,1330,1290,1295,16800
2019-02-11,1325,1325,1295,1325,8200
2019-02-12,1310,1315,1285,1300,18500
2019-02-13,1195,1295,1195,1280,43200
2019-02-14,1215,1235,1130,1200,2900
2019-02-15,1205,1215,1165,1165,3000
2019-02-18,1205,1205,1170,1200,9000
2019-02-19,1155,1195,1130,1195,8300
2019-02-20,1165,1170,1120,1130,43500
2019-02-21,1160,1165,1050,1165,21800
2019-02-22,1055,1155,1045,1150,32200
2019-02-25,1055,1100,1050,1050,7400
2019-02-26,1210,1225,1050,1055,29800
2019-02-27,1175,1190,1070,1115,21700
2019-02-28,1175,1175,1175,1175,0
2019-03-01,1165,1170,1165,1170,400
2019-03-04,1150,1160,1140,1160,2300
2019-03-05,1145,1160,1025,1140,13700
2019-03-06,1145,1145,1145,1145,0
2019-03-07,1145,1145,1145,1145,0
2019-03-08,1130,1150,1070,1100,3600
2019-03-11,1120,1130,1030,1030,3400
2019-03-12,1135,1165,1060,1125,12000
2019-03-13,1150,1165,1085,1085,5200
2019-03-14,1170,1175,1090,1150,23100
2019-03-15,1170,1175,1100,1100,13300
2019-03-18,1170,1170,1170,1170,0
2019-03-19,1185,1185,1100,1150,2400
2019-03-20,1190,1190,1090,1185,1300
2019-03-21,1180,1195,1095,1195,1600
2019-03-22,1180,1190,1050,1175,13300
2019-03-25,1150,1190,1090,1175,18800
2019-03-26,1180,1180,1110,1160,3200
2019-03-27,1190,1190,1150,1170,4500
2019-03-28,1185,1185,1125,1150,3300
2019-03-29,1190,1190,1190,1190,900
2019-04-01,1190,1190,1190,1190,0
2019-04-02,1180,1185,1100,1145,5300
2019-04-03,1180,1180,1180,1180,0
2019-04-04,1100,1180,975,1105,11800
2019-04-05,1150,1150,1050,1050,4200
