timestamp,open,high,low,close,volume
2019-06-26,432,432,432,432,2900
2019-06-27,540,540,540,540,1100
2019-06-28,675,675,675,675,33400
2019-07-01,840,840,675,765,3094300
2019-07-02,1050,1050,870,870,1568800
2019-07-03,1310,1310,1110,1110,684500
2019-07-04,1635,1635,1450,1450,328700
2019-07-05,1335,2040,1230,1720,2649100
2019-07-08,1070,1335,1060,1335,334200
2019-07-09,1255,1280,860,1070,715600
2019-07-10,1300,1335,1090,1275,288800
2019-07-11,1190,1320,1190,1320,89700
2019-07-12,1215,1220,1100,1190,46500
2019-07-15,1190,1240,1120,1170,33400
2019-07-16,1120,1190,1120,1190,29100
2019-07-17,1010,1100,980,1100,67000
2019-07-18,1260,1260,1010,1010,375300
2019-07-19,1575,1575,1290,1290,530200
2019-07-22,1655,1960,1450,1620,913400
2019-07-23,1970,2060,1660,1665,1138200
2019-07-24,1970,1970,1970,1970,0
2019-07-25,1800,2100,1750,1960,297500
2019-07-26,1860,2030,1800,1800,147200
2019-07-29,1700,1865,1700,1860,73000
2019-07-30,2120,2120,1750,1750,602400
2019-07-31,2100,2500,2000,2200,262900
2019-08-01,2100,2250,2050,2100,60700
2019-08-02,2060,2130,2040,2110,46300
2019-08-05,2320,2500,1990,2060,139300
2019-08-06,2160,2360,2160,2330,122300
2019-08-07,2090,2200,2090,2160,34900
2019-08-08,2220,2220,2090,2100,122500
2019-08-09,2210,2280,2120,2280,16800
2019-08-12,2160,2220,2130,2220,41800
2019-08-13,2200,2230,2110,2110,7700
2019-08-14,2160,2200,2110,2200,9700
2019-08-15,2200,2200,2100,2160,1300
2019-08-16,2060,2200,2000,2200,27300
2019-08-19,1980,2060,1980,2000,14300
2019-08-20,1975,2000,1960,1960,6400
2019-08-21,1970,1990,1970,1990,500
2019-08-22,1850,2000,1850,2000,68900
2019-08-23,1850,1850,1850,1850,200
2019-08-26,1700,1700,1700,1700,300
2019-08-27,1800,1800,1705,1705,4900
2019-08-28,1750,1850,1750,1850,4300
2019-08-29,1830,1830,1750,1750,5400
2019-08-30,2000,2050,1830,1830,36200
2019-09-02,2500,2500,2000,2000,332500
2019-09-03,2740,3090,2610,2610,460500
2019-09-04,2420,2950,2330,2790,118100
2019-09-05,2180,2520,2180,2420,51700
2019-09-06,2340,2600,2180,2180,82800
2019-09-09,2380,2640,2300,2350,50600
2019-09-10,2370,2450,2280,2380,19300
2019-09-11,2290,2400,2270,2370,11000
2019-09-12,2290,2450,2290,2310,34100
2019-09-13,2350,2390,2000,2290,40200
2019-09-16,2320,2350,2200,2350,4200
2019-09-17,2190,2290,2180,2290,17900
2019-09-18,2180,2200,2160,2200,21900
2019-09-19,2180,2180,2180,2180,4000
2019-09-20,2210,2220,2210,2220,4600
2019-09-23,2200,2200,2200,2200,600
2019-09-24,2200,2200,2190,2190,1500
2019-09-25,1900,2000,1650,2000,3000
2019-09-26,1910,1920,1895,1895,12300
2019-09-27,1920,1920,1890,1890,5100
2019-09-30,1890,1920,1890,1915,11900
