timestamp,open,high,low,close,volume
2019-01-01,605,605,605,605,0
2019-01-02,600,610,595,610,15500
2019-01-03,605,605,600,600,1200
2019-01-04,585,590,585,590,19800
2019-01-07,590,600,585,600,25700
2019-01-08,595,595,590,595,21700
2019-01-09,595,600,585,600,18800
2019-01-10,565,600,560,590,4000
2019-01-11,585,585,570,570,300
2019-01-14,560,585,560,585,7100
2019-01-15,570,570,560,560,50200
2019-01-16,515,560,472,560,2679400
2019-01-17,500,515,498,515,138100
2019-01-18,498,500,492,500,38900
2019-01-21,498,505,498,505,35600
2019-01-22,500,500,496,500,23000
2019-01-23,505,505,500,500,16200
2019-01-24,500,505,496,505,42000
2019-01-25,505,505,500,505,14600
2019-01-28,500,505,494,505,45400
2019-01-29,490,500,490,500,17600
2019-01-30,490,490,490,490,0
2019-01-31,490,490,490,490,0
2019-02-01,500,500,500,500,5100
2019-02-04,500,505,492,500,5700
2019-02-05,500,500,500,500,0
2019-02-06,500,500,492,498,3400
2019-02-07,500,500,496,496,10300
2019-02-08,500,500,496,496,16000
2019-02-11,500,500,494,498,7300
2019-02-12,500,500,490,500,22500
2019-02-13,486,500,480,500,698400
2019-02-14,486,500,486,498,6400
2019-02-15,486,486,484,486,2600
2019-02-18,476,480,476,476,21500
2019-02-19,490,490,476,476,7000
2019-02-20,498,500,472,472,20100
2019-02-21,490,498,490,498,22400
2019-02-22,480,494,480,494,5800
2019-02-25,490,505,480,480,63400
2019-02-26,498,498,488,488,3100
2019-02-27,496,498,490,498,21400
2019-02-28,496,496,496,496,1700
2019-03-01,496,496,496,496,500
2019-03-04,498,498,496,496,500
2019-03-05,480,496,480,496,1600
2019-03-06,494,494,494,494,1000
2019-03-07,494,494,494,494,0
2019-03-08,478,494,476,480,6700
2019-03-11,478,478,478,478,0
2019-03-12,486,490,480,480,2400
2019-03-13,490,490,474,474,5800
2019-03-14,488,488,488,488,100
2019-03-15,476,480,474,480,17200
2019-03-18,470,478,470,474,4205800
2019-03-19,472,474,470,472,6034600
2019-03-20,472,472,472,472,0
2019-03-21,480,484,478,478,6312100
2019-03-22,492,494,482,492,138600
2019-03-25,494,500,480,498,4141000
2019-03-26,486,492,474,492,13600
