timestamp,open,high,low,close,volume
2019-01-01,192,192,192,192,0
2019-01-02,192,192,192,192,0
2019-01-03,200,200,192,192,11900
2019-01-04,208,270,200,210,97000
2019-01-07,260,260,200,206,220700
2019-01-08,224,310,214,278,382000
2019-01-09,212,222,210,210,26800
2019-01-10,200,212,200,212,19200
2019-01-11,200,200,200,200,0
2019-01-14,208,208,202,208,4600
2019-01-15,204,204,204,204,3400
2019-01-16,204,204,204,204,0
2019-01-17,270,270,220,220,525800
2019-01-18,276,336,248,280,562300
2019-01-21,290,302,260,276,95900
2019-01-22,272,290,272,280,125900
2019-01-23,276,280,252,276,9600
2019-01-24,276,276,250,256,9400
2019-01-25,262,276,260,260,5100
2019-01-28,262,262,262,262,0
2019-01-29,272,272,258,258,500
2019-01-30,278,278,252,260,300
2019-01-31,274,274,260,260,1100
2019-02-01,274,274,250,274,500
2019-02-04,274,274,274,274,0
2019-02-05,274,274,274,274,0
2019-02-06,254,254,240,250,46700
2019-02-07,254,254,254,254,0
2019-02-08,254,254,254,254,0
2019-02-11,262,262,240,260,9100
2019-02-12,262,262,262,262,0
2019-02-13,262,262,262,262,0
2019-02-14,262,262,262,262,0
2019-02-15,220,240,197,240,19800
2019-02-18,246,252,240,240,4800
2019-02-19,222,250,222,250,4400
2019-02-20,260,270,240,240,12900
2019-02-21,242,260,242,260,5100
2019-02-22,240,244,240,244,2100
2019-02-25,258,258,250,250,800
2019-02-26,258,258,258,258,0
2019-02-27,242,242,242,242,2300
2019-02-28,242,242,242,242,0
2019-03-01,242,242,242,242,0
2019-03-04,250,250,250,250,5000
2019-03-05,250,250,250,250,0
2019-03-06,212,212,212,212,200
2019-03-07,212,212,212,212,0
2019-03-08,230,230,230,230,17900
2019-03-11,230,230,230,230,0
2019-03-12,230,230,230,230,0
2019-03-13,214,214,214,214,2600
2019-03-14,238,260,214,214,9900
2019-03-15,238,238,238,238,0
2019-03-18,238,238,238,238,0
2019-03-19,238,238,238,238,0
2019-03-20,238,238,238,238,0
2019-03-21,238,238,238,238,0
2019-03-22,250,250,250,250,100
2019-03-25,248,248,248,248,3000
2019-03-26,232,232,232,232,100
2019-03-27,232,232,232,232,100
2019-03-28,228,228,228,228,300
2019-03-29,228,228,228,228,0
2019-04-01,228,228,228,228,500
2019-04-02,228,228,228,228,0
2019-04-03,228,228,228,228,0
2019-04-04,228,228,228,228,0
2019-04-05,230,244,230,244,2500
2019-04-08,230,230,230,230,0
2019-04-09,230,230,230,230,0
2019-04-10,230,230,230,230,0
2019-04-11,230,230,230,230,0
2019-04-12,230,230,230,230,0
2019-04-15,230,230,230,230,0
