timestamp,open,high,low,close,volume
2019-01-01,1705,1705,1705,1705,0
2019-01-02,1681,1713,1673,1713,5920600
2019-01-03,1649,1681,1645,1657,16436300
2019-01-04,1737,1741,1633,1649,25670400
2019-01-07,1744,1764,1729,1748,18429000
2019-01-08,1733,1752,1709,1752,10791700
2019-01-09,1717,1752,1717,1744,13994100
2019-01-10,1701,1733,1689,1725,17745200
2019-01-11,1717,1721,1697,1701,13298400
2019-01-14,1741,1741,1713,1733,14094100
2019-01-15,1737,1744,1721,1744,16836700
2019-01-16,1737,1752,1733,1744,13923600
2019-01-17,1764,1784,1748,1748,38360000
2019-01-18,1772,1788,1764,1764,22593300
2019-01-21,1772,1788,1768,1784,12099600
2019-01-22,1752,1768,1705,1768,10041300
2019-01-23,1741,1752,1717,1717,10107200
2019-01-24,1741,1752,1725,1741,9429000
2019-01-25,1733,1752,1729,1744,5444000
2019-01-28,1725,1760,1725,1737,14585000
2019-01-29,1737,1772,1729,1729,14647800
2019-01-30,1705,1741,1705,1737,22200200
2019-01-31,1709,1733,1705,1705,21052100
2019-02-01,1713,1729,1709,1709,10496900
2019-02-04,1681,1725,1673,1713,17761000
2019-02-05,1681,1681,1681,1681,0
2019-02-06,1701,1717,1685,1689,10841300
2019-02-07,1709,1721,1701,1721,6551200
2019-02-08,1705,1713,1693,1709,9321800
2019-02-11,1689,1701,1685,1689,5431800
2019-02-12,1661,1709,1630,1705,10790000
2019-02-13,1633,1697,1618,1681,17535900
2019-02-14,1606,1661,1594,1645,11820200
2019-02-15,1578,1618,1558,1606,13945700
2019-02-18,1578,1602,1570,1594,12340700
2019-02-19,1665,1681,1594,1598,25487000
2019-02-20,1649,1681,1630,1669,22225400
2019-02-21,1665,1677,1649,1665,25676300
2019-02-22,1637,1673,1630,1665,13983400
2019-02-25,1637,1657,1637,1653,7772900
2019-02-26,1645,1649,1618,1649,10342700
2019-02-27,1626,1649,1626,1641,12771900
2019-02-28,1578,1637,1574,1626,18995700
2019-03-01,1602,1606,1574,1574,10162500
2019-03-04,1610,1630,1606,1614,12983500
2019-03-05,1574,1614,1574,1606,14203400
2019-03-06,1602,1602,1570,1578,10901200
2019-03-07,1602,1602,1602,1602,0
2019-03-08,1586,1614,1582,1590,11833300
2019-03-11,1594,1606,1574,1598,8611500
2019-03-12,1582,1598,1578,1598,7039600
2019-03-13,1594,1602,1590,1602,6046800
2019-03-14,1594,1602,1586,1594,7374500
2019-03-15,1606,1610,1590,1594,17600200
2019-03-18,1606,1618,1594,1594,8162500
