timestamp,open,high,low,close,volume
2023-03-06,141,143,124,134,579126600
2023-03-07,138,147,138,143,229521400
2023-03-08,136,142,130,138,113175300
2023-03-09,137,138,132,136,48810300
2023-03-10,135,143,134,136,99020400
2023-03-13,130,138,130,135,58246900
2023-03-14,128,133,126,131,47257500
2023-03-15,130,132,126,128,35252400
2023-03-16,127,132,127,130,38813300
2023-03-17,135,137,126,127,74263200
2023-03-20,138,141,134,134,107680400
2023-03-21,141,143,137,138,54800300
2023-03-24,147,148,139,139,83966400
2023-03-27,163,164,145,148,180884200
2023-03-28,177,183,160,163,274428800
2023-03-29,186,190,174,177,261029000
2023-03-30,186,200,173,186,302012100
2023-03-31,183,190,177,187,110277800
2023-04-03,188,188,180,183,82525100
2023-04-04,194,194,186,188,90525300
2023-04-05,210,210,193,196,160106100
2023-04-06,208,222,196,208,179991800
2023-04-10,194,212,194,206,126692400
2023-04-11,192,192,181,181,96294800
2023-04-12,206,206,190,193,152516600
2023-04-13,192,212,192,208,55682600
2023-04-14,179,192,179,179,6675800
2023-04-17,167,167,167,167,1302000
2023-04-18,156,178,156,158,188992200
2023-04-26,168,168,148,148,148995400
2023-04-27,157,175,157,168,96131600
2023-04-28,163,166,146,155,124166000
2023-05-02,173,173,152,162,234420200
2023-05-03,184,184,169,173,183632400
2023-05-04,195,195,183,184,166823100
2023-05-05,185,200,182,194,136912100
2023-05-08,210,210,184,184,295369200
2023-05-09,196,214,196,208,123301300
2023-05-10,183,210,183,195,221696700
2023-05-11,171,183,171,182,96389000
2023-05-12,185,187,162,170,249363200
2023-05-15,172,198,172,184,208882100
2023-05-16,160,172,160,172,39532600
2023-05-17,149,159,149,159,6734800
2023-05-19,139,148,139,148,14028100
2023-05-22,150,159,132,137,291338800
2023-05-23,140,155,140,151,109675900
2023-05-24,132,132,132,132,2774900
2023-05-25,123,132,123,123,12230600
2023-05-26,119,123,115,115,29447700
2023-05-29,111,126,111,121,21380400
2023-05-30,104,114,104,104,18574200
2023-05-31,97,105,97,97,12544100
2023-06-05,83,97,83,91,21091000
2023-06-06,83,89,77,83,8505700
2023-06-07,77,91,74,78,19339400
2023-06-08,71,79,67,77,28441100
2023-06-09,72,74,67,67,13891400
2023-06-12,78,79,72,73,23771900
2023-06-13,103,105,78,79,113019100
2023-06-14,94,109,88,105,41991600
2023-06-15,109,113,94,94,99463500
2023-06-16,106,110,100,109,19421600
2023-06-19,99,110,95,107,17778400
2023-06-20,99,108,99,100,35172500
2023-06-21,98,102,97,100,10672400
2023-06-22,95,100,95,99,9897200
2023-06-23,91,98,89,96,12481600
2023-06-26,103,105,89,91,48573200
2023-06-27,100,106,100,103,18756400
2023-07-03,99,103,98,99,9161200
2023-07-04,94,100,88,100,13953500
2023-07-05,95,97,93,94,5612500
2023-07-06,95,98,95,95,5268300
2023-07-07,94,97,94,96,5320900
2023-07-10,97,101,94,94,8512300
2023-07-11,98,105,98,99,22251100
2023-07-12,105,106,98,98,21827200
2023-07-13,106,108,105,106,9935900
2023-07-14,105,107,104,106,5966700
2023-07-17,106,107,104,105,9530000
2023-07-18,109,109,106,106,12488600
2023-07-20,114,115,110,110,18948500
2023-07-21,115,116,112,115,10586400
2023-07-24,116,117,116,116,3858600
2023-07-25,114,117,113,117,7495800
2023-07-26,115,117,114,114,7142800
2023-07-27,113,115,113,115,2848900
2023-07-28,120,121,113,113,7361100
2023-07-31,149,152,120,121,83285300
2023-08-01,150,153,137,150,39714300
2023-08-02,149,152,146,152,9022500
2023-08-03,143,150,141,150,14108200
2023-08-04,147,153,141,143,12191200
2023-08-07,144,150,142,149,7960900
2023-08-08,147,149,143,144,5306700
2023-08-09,159,159,146,148,48375800
2023-08-10,156,160,142,160,46925700
2023-08-11,144,156,144,156,9057200
2023-08-14,151,152,142,143,12056800
2023-08-15,156,157,149,150,16972100
2023-08-16,148,156,142,155,13325500
2023-08-18,145,148,144,148,4567200
2023-08-21,152,157,144,145,28772800
