timestamp,open,high,low,close,volume
2023-10-09,125,247,125,193,483657000
2023-10-10,100,125,95,105,178337600
2023-10-11,113,115,77,77,143025700
2023-10-12,107,118,105,114,55461100
2023-10-13,101,114,101,106,33224900
2023-10-16,108,110,98,102,34154700
2023-10-17,105,111,104,108,15211900
2023-10-18,106,108,103,105,21276800
2023-10-19,108,108,104,107,12342100
2023-10-20,113,121,108,108,78063300
2023-10-23,112,115,110,113,14066700
2023-10-24,116,119,112,113,18960400
2023-10-25,110,119,110,117,19910900
2023-10-26,107,111,99,110,15861800
2023-10-27,107,111,106,108,5373100
2023-10-30,106,108,101,108,18662500
2023-10-31,109,115,104,106,18127500
2023-11-01,111,114,109,109,7972600
2023-11-02,111,114,111,111,4322800
2023-11-03,112,114,108,112,4911300
2023-11-06,113,118,110,112,17059800
2023-11-07,126,141,114,114,224290500
2023-11-08,133,139,126,126,77362000
2023-11-09,141,149,133,134,116808700
2023-11-10,139,149,137,142,34510000
2023-11-13,146,147,138,141,30699600
2023-11-14,153,153,146,147,38118900
2023-11-15,153,156,150,155,22999500
2023-11-16,142,155,135,153,31930200
2023-11-17,151,151,137,142,26344800
2023-11-20,143,153,142,153,16091800
2023-11-21,145,148,142,143,12949100
2023-11-22,144,146,142,146,4571000
2023-11-23,141,145,140,145,6267400
2023-11-24,134,141,132,141,11581100
2023-11-27,149,151,131,134,80312800
2023-11-28,142,151,141,151,20932700
2023-11-29,141,147,141,142,14718800
2023-11-30,131,141,131,140,16702300
2023-12-01,141,145,122,122,68754700
2023-12-04,163,163,141,141,105371000
2023-12-05,185,192,161,164,253830800
2023-12-06,174,189,171,186,59844300
2023-12-07,181,186,172,173,81720400
2023-12-08,174,187,173,182,58648800
2023-12-11,179,185,166,166,54610800
2023-12-12,177,183,174,179,21530200
2023-12-13,177,182,177,178,11531500
2023-12-14,187,187,177,178,40510700
2023-12-15,164,188,164,188,46538000
2023-12-18,179,179,151,151,42584900
2023-12-19,168,182,167,179,30955600
2023-12-20,163,169,162,168,13197700
2023-12-21,162,168,161,163,27883500
2023-12-22,148,162,144,162,26748300
2023-12-27,140,148,137,148,18512000
2023-12-28,146,150,139,139,25533700
2023-12-29,148,151,141,147,20030000
2024-01-02,154,155,147,149,18689200
2024-01-03,151,154,147,153,10757100
2024-01-04,177,177,150,150,61610600
2024-01-05,188,193,172,177,53821400
2024-01-08,210,220,186,188,119648000
2024-01-09,198,214,194,210,50846100
2024-01-10,200,210,196,200,50125100
2024-01-11,181,204,179,200,57651900
2024-01-12,190,190,179,180,43084700
2024-01-15,190,190,190,190,0
2024-01-16,180,190,178,185,29366800
2024-01-17,196,204,179,180,137425600
2024-01-18,198,208,192,200,65588000
2024-01-19,210,222,196,200,89120000
2024-01-22,180,212,167,212,67055200
2024-01-23,181,184,170,172,26235400
2024-01-24,182,188,176,181,49219800
2024-01-25,182,187,180,184,31496200
2024-01-26,178,183,176,182,15835400
2024-01-29,181,182,177,178,10504000
2024-01-30,181,182,173,181,24555900
2024-01-31,180,181,177,181,5722400
2024-02-01,181,181,175,179,7452200
2024-02-02,237,243,181,182,234543400
2024-02-05,280,288,222,237,320408200
2024-02-06,327,338,278,282,665703700
2024-02-07,391,397,327,327,616187400
2024-02-12,391,391,391,391,0
2024-02-13,294,403,294,389,93827400
2024-02-15,222,335,222,255,182246300
2024-02-16,196,226,166,190,212485000
2024-02-19,210,231,191,196,131599900
2024-02-20,239,257,210,210,295228000
2024-02-21,280,288,230,243,272667100
2024-02-22,325,336,280,286,407002800
2024-02-23,373,385,325,331,449875100
2024-02-26,440,451,373,379,538060200
2024-02-27,440,440,440,440,0
2024-02-28,440,440,440,440,0
2024-02-29,440,440,440,440,0
2024-03-01,440,440,440,440,0
2024-03-04,440,440,440,440,0
2024-03-05,440,440,440,440,0
2024-03-06,397,397,397,397,13763800
2024-03-07,358,358,358,358,288500
2024-03-08,323,323,323,323,453200
2024-03-13,292,292,292,292,31965100
2024-03-14,263,263,263,263,30212100
2024-03-15,237,282,237,237,216013100
2024-03-18,214,220,214,218,114994900
2024-03-19,194,202,193,193,129161700
2024-03-20,194,202,188,188,37541800
2024-03-21,194,196,177,192,32281700
2024-03-22,200,210,195,196,20796000
2024-03-25,200,200,200,200,0
2024-03-26,200,200,200,200,0
2024-03-27,148,148,148,148,1005700
2024-03-28,133,133,133,133,1409500
2024-04-01,121,121,121,121,13255300
2024-04-02,132,132,121,121,5842600
2024-04-03,145,145,132,132,4812000
2024-04-04,159,159,159,159,804700
2024-04-05,174,174,174,174,823700
2024-04-16,158,198,148,174,36747500
2024-04-17,212,212,151,158,115632900
2024-04-18,198,233,184,226,84623700
2024-04-19,180,202,170,198,24501600
2024-04-22,179,190,176,185,7523500
2024-04-23,180,193,174,181,41104200
2024-04-24,179,186,177,186,13487400
2024-04-25,179,183,177,183,9186500
2024-04-26,161,181,156,179,9895500
2024-04-29,152,162,147,161,6716000
2024-04-30,157,167,152,152,15666400
2024-05-02,146,159,145,159,6571400
2024-05-03,135,147,128,146,9332200
2024-05-06,130,139,129,138,3117300
2024-05-07,133,138,130,130,73610100
2024-05-08,135,138,133,133,32359400
2024-05-13,125,136,120,136,10984800
2024-05-14,126,128,122,125,53065100
2024-05-15,124,129,124,127,48435200
2024-05-16,128,130,123,125,80873600
2024-05-17,133,139,128,128,74884700
2024-05-20,131,136,127,134,22070200
2024-05-21,136,137,132,133,132582000
2024-05-22,135,140,135,136,58520100
2024-05-27,142,144,132,135,115747300
2024-05-28,139,147,137,143,21949900
2024-05-29,144,145,139,140,79393200
2024-05-30,113,149,101,144,85770400
2024-05-31,103,114,102,112,10326600
2024-06-03,91,104,90,103,24460700
2024-06-04,92,98,91,91,17929100
2024-06-05,94,96,88,92,11735500
2024-06-06,92,96,92,95,3662600
2024-06-07,99,105,92,92,87849800
2024-06-10,94,100,93,99,6492100
2024-06-11,97,99,94,96,9072500
2024-06-12,116,120,97,97,108362800
2024-06-13,106,117,102,117,37568300
2024-06-14,108,109,106,107,114840100
2024-06-19,99,112,95,109,31443600
2024-06-20,120,130,99,99,418591700
2024-06-21,79,127,78,122,403955100
2024-06-24,79,81,70,78,108865200
2024-06-25,79,80,77,78,20504800
2024-06-26,78,79,77,79,21026900
2024-06-27,78,80,76,80,17363700
2024-06-28,80,87,76,87,26038400
2024-07-01,78,81,60,60,20509200
2024-07-02,78,81,77,79,87864500
2024-07-03,78,79,76,79,21222500
2024-07-04,76,80,76,78,29587100
2024-07-05,76,78,76,77,14642400
2024-07-08,74,77,73,77,17831400
2024-07-09,74,75,72,75,13628800
2024-07-10,75,78,65,65,17215900
2024-07-11,75,77,74,76,10752300
2024-07-12,74,76,73,75,12556700
2024-07-15,73,75,72,74,9091000
2024-07-16,74,74,72,73,3626600
2024-07-17,72,74,72,74,8387800
2024-07-18,73,75,72,73,19379700
2024-07-19,75,76,73,74,9668200
2024-07-22,76,76,74,76,9233800
2024-07-23,76,76,74,76,10366800
2024-07-24,75,76,74,76,8554400
2024-07-25,74,75,73,74,5724100
2024-07-26,73,75,72,74,9928800
2024-07-29,72,74,71,73,9316400
2024-07-30,74,74,72,73,8012100
2024-07-31,74,75,73,74,4045500
2024-08-01,74,74,73,74,3510200
2024-08-02,73,74,73,74,3716500
2024-08-05,71,74,71,73,17728800
2024-08-06,70,72,70,71,4617500
2024-08-07,74,79,70,71,73284900
2024-08-08,74,75,72,75,12609800
2024-08-09,73,74,72,73,5615000
2024-08-12,73,77,72,74,16476200
2024-08-13,74,74,72,73,4713900
2024-08-14,73,74,73,74,4260000
2024-08-15,74,74,72,74,3841500
2024-08-16,74,74,73,74,4699600
2024-08-19,74,74,73,74,3507600
2024-08-20,74,74,73,74,4267600
2024-08-21,73,74,72,74,5393900
2024-08-22,76,78,73,73,39392300
2024-08-23,76,78,75,76,9903900
2024-08-26,75,77,75,77,4771000
2024-08-27,76,77,74,76,5740100
2024-08-28,76,76,75,76,3383900
2024-08-29,76,77,75,76,5377000
2024-08-30,75,77,75,76,4036300
2024-09-02,76,76,75,75,2613500
2024-09-03,75,76,74,76,3973100
2024-09-04,75,75,74,75,3282100
2024-09-05,76,80,72,75,28932900
2024-09-06,81,84,75,76,71208500
2024-09-09,85,90,81,81,83579800
2024-09-10,83,88,82,86,25673400
2024-09-11,80,84,80,84,12755900
2024-09-12,81,82,78,81,10921900
2024-09-13,81,83,80,82,5265600
2024-09-17,81,82,80,81,8926200
2024-09-18,84,87,81,81,34307200
2024-09-19,82,86,82,85,17261000
2024-09-20,83,86,81,83,22915400
2024-09-23,85,85,83,83,6998000
2024-09-24,83,86,83,84,11217200
2024-09-25,84,85,83,83,6337400
2024-09-26,84,85,84,84,6288800
2024-09-27,84,86,84,86,5869900
2024-09-30,83,86,81,84,9550500
2024-10-01,82,84,81,82,3870800
2024-10-02,82,84,81,82,7065000
2024-10-03,84,86,80,82,24076100
2024-10-04,83,85,82,84,5123700
2024-10-07,81,84,81,83,7233200
2024-10-08,81,82,81,81,3816100
2024-10-09,82,83,80,81,3204700
2024-10-10,80,83,79,83,19354400
2024-10-11,81,81,79,80,5802100
2024-10-14,79,81,78,81,11817600
2024-10-15,81,83,79,80,19509500
2024-10-16,82,82,80,81,4511500
2024-10-17,81,82,80,82,7075500
2024-10-18,80,81,80,81,6572300
2024-10-21,82,82,80,80,4058000
2024-10-22,81,82,79,81,5847200
2024-10-23,81,84,79,81,23404300
2024-10-24,85,86,81,82,40197300
2024-10-25,106,110,84,85,243667400
2024-10-28,100,118,95,107,100222500
2024-10-29,99,107,95,100,78149400
2024-10-30,96,101,89,99,43705200
2024-10-31,92,96,89,96,30648400
2024-11-01,87,93,84,84,31623400
2024-11-04,85,88,80,87,44105100
2024-11-05,84,93,82,85,49846700
2024-11-06,78,84,76,84,27411200
2024-11-07,78,81,75,78,9354700
2024-11-08,81,82,78,79,6974800
2024-11-11,84,84,80,81,11181600
2024-11-12,82,87,81,84,25346600
2024-11-13,86,88,80,83,27278700
2024-11-14,82,87,82,86,12598800
2024-11-15,84,87,81,83,11015200
2024-11-18,83,86,82,84,4318800
2024-11-19,83,85,82,83,3494500
2024-11-20,82,84,82,83,2100500
2024-11-21,82,83,82,83,2989200
2024-11-22,82,84,82,83,5898600
2024-11-25,83,85,82,82,7017500
2024-11-26,81,84,81,83,7111400
2024-11-28,80,82,80,81,2474700
2024-11-29,79,81,79,80,5232800
2024-12-02,79,87,79,87,4295200
2024-12-03,81,81,79,80,5070800
2024-12-04,82,88,81,81,29057100
2024-12-05,81,83,81,83,4013600
2024-12-06,81,82,81,82,3081800
2024-12-09,81,82,80,81,4470500
2024-12-10,80,82,80,81,6042700
2024-12-11,84,84,79,81,12100600
2024-12-12,82,90,82,87,38266400
2024-12-13,81,83,80,82,4632500
2024-12-16,84,84,80,80,8231300
2024-12-17,81,86,81,85,11187200
2024-12-18,80,82,79,81,5051900
2024-12-19,77,80,75,80,5997100
2024-12-20,77,80,77,78,4456100
2024-12-23,78,79,76,78,2378900
2024-12-24,77,84,76,78,21853800
2024-12-27,76,78,75,77,5523900
2024-12-30,77,79,76,76,3367000
