timestamp,open,high,low,close,volume
2019-01-01,779,779,779,779,0
2019-01-02,779,783,774,783,118400
2019-01-03,796,796,752,770,516600
2019-01-04,801,805,796,796,430700
2019-01-07,801,823,796,801,408800
2019-01-08,801,832,770,810,460000
2019-01-09,810,823,796,805,218300
2019-01-10,810,814,801,810,207500
2019-01-11,805,810,796,810,97200
2019-01-14,796,814,792,810,401000
2019-01-15,801,801,796,796,133800
2019-01-16,805,814,801,805,108100
2019-01-17,823,836,805,805,597600
2019-01-18,841,858,823,823,2575200
2019-01-21,876,907,832,841,4013100
2019-01-22,894,903,885,889,2647900
2019-01-23,929,965,894,903,3834700
2019-01-24,889,938,881,934,917400
2019-01-25,885,916,881,889,505700
2019-01-28,965,965,881,889,1291100
2019-01-29,912,973,903,965,207200
2019-01-30,885,920,885,916,359900
2019-01-31,907,920,885,885,128200
2019-02-01,907,907,894,907,375800
2019-02-04,907,920,898,916,164400
2019-02-05,907,907,907,907,0
2019-02-06,920,920,907,916,356300
2019-02-07,929,942,920,929,2513600
2019-02-08,942,942,929,929,419900
2019-02-11,947,947,929,942,540300
2019-02-12,951,951,938,947,600000
2019-02-13,987,991,947,951,906700
2019-02-14,1009,1018,947,987,673900
2019-02-15,1031,1040,1009,1009,2158900
2019-02-18,1066,1097,1035,1035,1852000
2019-02-19,1066,1075,1058,1066,3017100
2019-02-20,1058,1075,1058,1066,1490700
2019-02-21,1035,1044,996,1044,525100
2019-02-22,1018,1075,1018,1035,320700
2019-02-25,1018,1035,973,1018,252000
2019-02-26,1035,1053,978,1013,407500
2019-02-27,1018,1035,1004,1035,446100
2019-02-28,1018,1022,1000,1018,668700
2019-03-01,996,1009,996,1009,307500
2019-03-04,996,1013,987,996,1370000
2019-03-05,973,1009,960,987,2261400
2019-03-06,1004,1013,938,978,1853800
2019-03-07,1004,1004,1004,1004,0
2019-03-08,1053,1075,1000,1004,1974100
2019-03-11,1040,1071,1018,1062,961800
2019-03-12,1035,1040,1018,1027,1298200
2019-03-13,1031,1053,1027,1053,923700
2019-03-14,1035,1035,1027,1027,666200
2019-03-15,1040,1053,1027,1035,321400
2019-03-18,1031,1035,1022,1031,761200
2019-03-19,1031,1044,1031,1031,192200
2019-03-20,1058,1058,1040,1040,1885400
2019-03-21,1071,1097,1071,1080,641500
2019-03-22,1071,1084,1058,1071,199200
2019-03-25,1058,1062,1044,1053,3576700
2019-03-26,1066,1071,1062,1062,3891100
2019-03-27,1084,1119,1053,1080,1634000
2019-03-28,1080,1097,1071,1084,144100
2019-03-29,1080,1097,1071,1075,130800
2019-04-01,1080,1097,1062,1080,506800
2019-04-02,1080,1080,1071,1080,191800
2019-04-03,1080,1080,1080,1080,0
2019-04-04,1075,1089,1062,1062,167600
2019-04-05,1080,1084,1071,1071,349900
2019-04-08,1062,1089,1018,1089,493000
2019-04-09,1080,1080,1071,1071,45300
2019-04-10,1080,1084,1071,1075,129300
2019-04-11,1071,1084,1071,1075,134500
2019-04-12,1071,1075,1062,1075,39800
2019-04-15,1075,1080,1071,1075,3378500
2019-04-16,1075,1075,1062,1071,298800
2019-04-17,1075,1075,1075,1075,0
2019-04-18,1066,1080,1062,1080,519200
2019-04-19,1066,1066,1066,1066,0
2019-04-22,1062,1075,1062,1075,306000
2019-04-23,1062,1066,1058,1066,1605200
2019-04-24,1071,1075,1058,1062,559100
2019-04-25,1093,1115,1075,1075,2590400
2019-04-26,1066,1106,1018,1089,112300
2019-04-29,1075,1089,1066,1066,11600
2019-04-30,1089,1089,1071,1075,3388700
2019-05-01,1089,1089,1089,1089,0
2019-05-02,1075,1089,1066,1089,980600
2019-05-03,1071,1075,1066,1075,18200
2019-05-06,1097,1115,1092,1097,1284300
2019-05-07,1092,1101,1088,1101,229500
2019-05-08,1088,1092,1079,1092,56600
2019-05-09,1092,1097,1079,1088,1040100
2019-05-10,1110,1110,1088,1097,1111300
2019-05-13,1129,1178,1110,1110,1521900
2019-05-14,1088,1133,1061,1129,160000
2019-05-15,1079,1088,1074,1083,18800
2019-05-16,1079,1097,1070,1083,549500
2019-05-17,1079,1088,1042,1061,565900
2019-05-20,1038,1070,1038,1070,35400
2019-05-21,1038,1074,1038,1074,2900
2019-05-22,1042,1074,1038,1038,2400
2019-05-23,1074,1074,1042,1042,14200
2019-05-24,1070,1070,1070,1070,200
2019-05-27,1061,1070,1024,1065,10900
2019-05-28,1038,1051,1038,1051,103600
2019-05-29,1002,1020,1002,1015,797700
2019-05-30,1002,1002,1002,1002,0
2019-05-31,1033,1051,1002,1002,45500
2019-06-03,1033,1033,1033,1033,0
2019-06-04,1033,1033,1033,1033,0
2019-06-05,1033,1033,1033,1033,0
2019-06-06,1033,1033,1033,1033,0
2019-06-07,1033,1033,1033,1033,0
2019-06-10,1015,1033,1002,1033,331600
2019-06-11,1006,1015,1002,1015,51800
2019-06-12,979,1006,974,1006,167600
2019-06-13,1015,1061,979,979,48000
2019-06-14,997,1015,997,1015,64200
2019-06-17,988,1011,979,997,25900
2019-06-18,988,988,979,988,43600
2019-06-20,970,988,965,988,110500
2019-06-21,993,997,961,970,50500
2019-06-24,974,988,970,988,37100
2019-06-25,983,1002,979,988,12100
2019-06-26,983,988,979,983,14000
2019-06-27,993,1020,988,1020,13100
2019-06-28,988,1006,988,1002,41700
2019-07-01,983,1006,979,988,110800
2019-07-02,993,997,979,983,42900
2019-07-03,993,997,983,997,24400
2019-07-04,988,988,988,988,10700
2019-07-05,988,997,988,997,27700
2019-07-08,979,997,979,993,72200
2019-07-09,947,979,947,979,136700
2019-07-10,965,993,943,947,131700
2019-07-11,974,988,970,988,1382900
2019-07-12,961,970,947,970,169200
2019-07-15,983,983,961,961,75400
2019-07-16,956,979,943,961,688500
2019-07-17,961,965,943,956,112000
2019-07-18,938,965,934,961,70400
2019-07-19,934,952,929,938,378800
2019-07-22,934,952,929,934,367300
2019-07-23,911,943,911,915,142400
2019-07-24,902,929,902,911,632900
2019-07-25,915,915,897,911,693200
2019-07-26,906,943,906,920,103700
2019-07-29,911,925,906,915,470400
2019-07-30,911,925,906,920,302900
2019-07-31,920,956,902,925,595500
2019-08-01,961,974,934,934,371200
2019-08-02,943,965,929,965,662000
2019-08-05,915,934,906,934,394500
2019-08-06,911,920,897,915,344100
2019-08-07,902,934,902,915,460300
2019-08-08,915,925,902,902,387500
2019-08-09,920,952,911,925,350000
2019-08-12,920,947,906,920,565600
