timestamp,open,high,low,close,volume
2019-01-01,262,262,262,262,0
2019-01-02,265,271,260,267,768100
2019-01-03,270,270,263,265,141300
2019-01-04,276,281,270,270,360700
2019-01-07,284,297,279,279,838200
2019-01-08,300,310,286,286,1677300
2019-01-09,305,312,302,307,1242100
2019-01-10,292,307,291,307,1503100
2019-01-11,289,292,283,292,965800
2019-01-14,278,288,278,288,1475100
2019-01-15,283,288,278,281,480700
2019-01-16,286,289,283,284,468700
2019-01-17,288,289,286,288,908500
2019-01-18,288,289,284,288,931300
2019-01-21,276,288,276,288,567000
2019-01-22,281,286,276,286,298100
2019-01-23,297,302,281,281,6557200
2019-01-24,329,346,297,299,19654300
2019-01-25,313,339,312,333,4312500
2019-01-28,304,318,300,318,2137300
2019-01-29,300,309,294,304,972100
2019-01-30,329,331,300,300,3831900
2019-01-31,315,333,315,329,2191000
2019-02-01,310,318,309,318,553300
2019-02-04,323,339,310,315,5151700
2019-02-05,323,323,323,323,0
2019-02-06,320,326,317,323,1281600
2019-02-07,323,325,318,320,709700
2019-02-08,317,328,315,323,981100
2019-02-11,304,315,304,315,1005400
2019-02-12,296,312,296,307,1131000
2019-02-13,296,309,291,297,788600
2019-02-14,291,305,291,297,1168200
2019-02-15,284,291,283,291,721700
2019-02-18,283,294,283,284,1461800
2019-02-19,279,291,276,291,1001900
2019-02-20,284,288,281,283,670200
2019-02-21,288,294,286,288,814300
2019-02-22,289,294,289,289,328000
2019-02-25,284,292,283,291,352700
2019-02-26,284,291,284,284,223500
2019-02-27,284,289,281,289,752500
2019-02-28,281,289,279,284,261600
2019-03-01,273,278,271,278,1111000
2019-03-04,268,275,268,273,698300
2019-03-05,267,273,265,271,336400
2019-03-06,267,271,262,268,549400
2019-03-07,267,267,267,267,0
2019-03-08,265,271,263,267,379300
2019-03-11,255,268,250,265,665300
2019-03-12,250,260,247,260,413300
2019-03-13,250,275,244,247,2091400
2019-03-14,255,270,254,254,687700
2019-03-15,250,262,250,258,877100
2019-03-18,249,257,247,252,381500
2019-03-19,242,254,234,247,3591200
2019-03-20,244,249,239,242,278900
2019-03-21,242,247,241,244,325700
2019-03-22,239,244,236,244,679900
2019-03-25,228,237,225,237,2359000
2019-03-26,226,231,225,229,360700
2019-03-27,223,226,220,225,135600
2019-03-28,223,226,218,225,504200
2019-03-29,215,223,212,221,273900
2019-04-01,207,213,205,213,480100
2019-04-02,197,208,194,207,785800
2019-04-03,197,197,197,197,0
2019-04-04,236,239,194,195,9788800
2019-04-05,212,236,208,233,6030400
2019-04-08,200,212,199,205,1745500
2019-04-09,242,242,194,194,12507600
2019-04-10,239,279,233,252,13555300
2019-04-11,242,247,226,239,3099400
2019-04-12,237,281,229,241,33492500
2019-04-15,221,231,221,231,1913000
2019-04-16,215,225,212,223,1576100
2019-04-17,215,215,215,215,0
2019-04-18,212,221,207,218,1041500
2019-04-19,212,212,212,212,0
2019-04-22,244,247,212,213,14702200
2019-04-23,234,249,228,249,5666400
2019-04-24,226,237,223,236,1999200
2019-04-25,226,229,223,226,586300
2019-04-26,226,241,225,231,4635400
2019-04-29,226,233,221,226,1162100
2019-04-30,223,233,218,231,1376700
2019-05-01,223,223,223,223,0
2019-05-02,226,234,223,228,3158900
2019-05-03,244,255,233,233,23003900
2019-05-06,226,246,216,244,6740500
2019-05-07,231,239,223,233,3547400
2019-05-08,229,234,223,226,1638100
2019-05-09,221,234,220,228,1886400
2019-05-10,220,226,218,225,1749700
2019-05-13,212,227,212,227,1670900
2019-05-14,219,219,207,212,1332900
2019-05-15,215,225,209,222,1003200
2019-05-16,214,217,209,215,439900
2019-05-17,229,233,199,214,6624300
2019-05-20,229,245,229,240,7183900
2019-05-21,217,235,214,229,3023100
2019-05-22,212,224,207,224,1940000
2019-05-23,217,220,210,214,1446400
2019-05-24,215,230,214,219,4759700
2019-05-27,219,220,209,215,1349600
2019-05-28,210,222,210,222,1750700
2019-05-29,212,215,209,210,452500
2019-05-30,212,212,212,212,0
2019-05-31,215,227,212,217,2669700
2019-06-03,215,215,215,215,0
2019-06-04,215,215,215,215,0
2019-06-05,215,215,215,215,0
2019-06-06,215,215,215,215,0
2019-06-07,215,215,215,215,0
