timestamp,open,high,low,close,volume
2019-01-01,1002,1002,1002,1002,0
2019-01-02,984,998,974,988,451800
2019-01-03,998,1002,991,991,1693600
2019-01-04,1009,1009,998,998,2058000
2019-01-07,1030,1041,1009,1009,2263300
2019-01-08,1065,1093,1030,1030,11069800
2019-01-09,1062,1076,1048,1065,8281700
2019-01-10,1125,1132,1062,1062,8665800
2019-01-11,1072,1139,1072,1125,3922100
2019-01-14,1069,1093,1051,1072,8891600
2019-01-15,1104,1132,1065,1069,8846400
2019-01-16,1086,1122,1086,1104,3695700
2019-01-17,1097,1115,1079,1093,3966000
2019-01-18,1076,1111,1072,1097,3304000
2019-01-21,1086,1108,1076,1083,3971200
2019-01-22,1108,1111,1104,1104,3490900
2019-01-23,1129,1157,1111,1111,9987600
2019-01-24,1143,1185,1132,1132,5956900
2019-01-25,1157,1206,1143,1164,4604000
2019-01-28,1160,1185,1139,1160,3102100
2019-01-29,1143,1164,1143,1160,4259400
2019-01-30,1129,1146,1118,1146,2822700
2019-01-31,1108,1129,1100,1129,5567500
2019-02-01,1199,1270,1108,1108,7685800
2019-02-04,1167,1213,1164,1203,4975700
2019-02-05,1167,1167,1167,1167,0
2019-02-06,1153,1270,1153,1175,9873500
2019-02-07,1153,1189,1143,1160,3413700
2019-02-08,1182,1196,1139,1153,16632100
2019-02-11,1213,1227,1182,1182,15720500
2019-02-12,1252,1309,1224,1224,21158900
2019-02-13,1256,1284,1213,1263,19168000
2019-02-14,1277,1284,1217,1256,14596700
2019-02-15,1273,1287,1227,1277,13614800
2019-02-18,1273,1280,1238,1277,3408800
2019-02-19,1245,1277,1242,1266,4841000
2019-02-20,1227,1263,1210,1245,13058700
2019-02-21,1217,1238,1217,1227,5909400
2019-02-22,1185,1227,1178,1220,6850500
2019-02-25,1249,1256,1185,1192,9418600
2019-02-26,1210,1270,1203,1249,5198100
2019-02-27,1238,1245,1213,1217,1284600
2019-02-28,1235,1245,1157,1238,7752100
2019-03-01,1213,1238,1199,1217,5120200
2019-03-04,1227,1227,1199,1217,4682700
2019-03-05,1231,1270,1199,1227,10843300
2019-03-06,1245,1249,1231,1231,7655300
2019-03-07,1245,1245,1245,1245,0
2019-03-08,1220,1252,1217,1252,32315200
2019-03-11,1213,1235,1210,1220,3262100
2019-03-12,1231,1252,1210,1210,5460800
2019-03-13,1305,1316,1231,1238,17432800
2019-03-14,1298,1309,1277,1294,4325900
2019-03-15,1270,1294,1263,1291,1664900
2019-03-18,1280,1291,1263,1273,1721500
2019-03-19,1309,1323,1270,1277,5196000
2019-03-20,1259,1309,1227,1305,7797500
2019-03-21,1242,1273,1235,1256,2792200
2019-03-22,1217,1252,1199,1238,5401300
2019-03-25,1210,1220,1203,1213,3117300
2019-03-26,1231,1238,1213,1213,2269600
2019-03-27,1242,1256,1235,1249,2978400
2019-03-28,1263,1263,1238,1256,987000
2019-03-29,1235,1259,1217,1259,3049000
2019-04-01,1270,1273,1249,1256,9876200
2019-04-02,1270,1277,1256,1277,8355400
2019-04-03,1270,1270,1270,1270,0
2019-04-04,1270,1284,1266,1277,4983400
2019-04-05,1245,1270,1227,1270,2545200
2019-04-08,1245,1249,1238,1242,2008800
2019-04-09,1266,1270,1245,1245,2048800
2019-04-10,1270,1273,1263,1270,1763100
2019-04-11,1270,1277,1259,1273,3828700
2019-04-12,1270,1294,1252,1252,3484200
2019-04-15,1270,1291,1252,1280,6280400
2019-04-16,1252,1266,1220,1266,9795400
2019-04-17,1252,1252,1252,1252,0
2019-04-18,1287,1302,1249,1270,10605900
2019-04-19,1287,1287,1287,1287,0
2019-04-22,1245,1294,1231,1291,3275300
2019-04-23,1245,1256,1238,1245,8106000
2019-04-24,1256,1263,1238,1249,2181100
2019-04-25,1242,1270,1231,1263,8789800
2019-04-26,1220,1263,1213,1242,3061900
2019-04-29,1227,1235,1220,1220,5579200
2019-04-30,1259,1259,1224,1235,6829800
2019-05-01,1259,1259,1259,1259,0
2019-05-02,1256,1273,1235,1256,1912700
2019-05-03,1249,1287,1249,1259,4130200
2019-05-06,1242,1249,1227,1249,4943200
2019-05-07,1242,1249,1238,1245,8074700
2019-05-08,1270,1287,1224,1245,3190300
2019-05-09,1256,1277,1245,1270,2361500
2019-05-10,1249,1256,1249,1249,1186600
2019-05-13,1263,1273,1249,1249,7410200
2019-05-14,1263,1263,1245,1263,2010200
2019-05-15,1263,1273,1256,1270,11381300
2019-05-16,1256,1259,1242,1256,8931900
2019-05-17,1199,1256,1199,1256,2118600
2019-05-20,1206,1227,1069,1196,3021200
2019-05-21,1199,1238,1178,1238,3737100
2019-05-22,1185,1199,1171,1196,711600
2019-05-23,1150,1196,1136,1185,9471600
2019-05-24,1083,1164,1065,1150,15432000
2019-05-27,1143,1182,1083,1083,17051100
2019-05-28,1136,1167,1111,1146,13405600
2019-05-29,1136,1143,1122,1136,1390400
2019-05-30,1136,1136,1136,1136,0
2019-05-31,1143,1164,1132,1136,13411600
2019-06-03,1143,1143,1143,1143,0
2019-06-04,1143,1143,1143,1143,0
2019-06-05,1143,1143,1143,1143,0
2019-06-06,1143,1143,1143,1143,0
2019-06-07,1143,1143,1143,1143,0
2019-06-10,1213,1245,1143,1146,10806300
2019-06-11,1231,1238,1196,1213,2852000
2019-06-12,1202,1271,1191,1267,6604900
2019-06-13,1129,1206,1115,1202,9296300
2019-06-14,1078,1140,1057,1129,9829400
2019-06-17,1039,1104,1039,1082,8908800
2019-06-18,1053,1068,1031,1039,18015600
2019-06-19,1104,1104,1053,1053,18763400
2019-06-20,1100,1118,1093,1104,5866800
2019-06-21,1078,1108,1053,1100,5047000
2019-06-24,1039,1078,1035,1078,15217000
2019-06-25,999,1049,991,1039,17899600
2019-06-26,988,1020,980,1002,5372900
2019-06-27,1028,1042,988,999,8381200
2019-06-28,1024,1053,1017,1017,4149100
2019-07-01,1020,1046,1017,1031,6032700
2019-07-02,1006,1024,1002,1020,5009000
2019-07-03,1009,1020,1006,1009,5070500
2019-07-04,962,1017,959,1013,9312400
2019-07-05,999,1002,966,970,8832200
2019-07-08,1013,1031,999,1002,16180700
2019-07-09,1020,1028,1009,1020,11294000
2019-07-10,1002,1028,988,1024,8023700
2019-07-11,944,1006,926,1002,35958200
2019-07-12,973,984,940,944,18584300
2019-07-15,948,991,948,991,8337300
2019-07-16,955,973,944,948,12705000
2019-07-17,970,980,951,959,9914900
2019-07-18,944,973,940,970,8229700
2019-07-19,944,948,933,948,6304700
2019-07-22,933,951,933,944,1644600
2019-07-23,940,948,926,940,4549700
2019-07-24,991,1009,944,948,21336300
2019-07-25,995,1013,980,1002,12510600
2019-07-26,991,1002,977,995,3572600
2019-07-29,973,999,973,991,2768900
2019-07-30,955,980,944,977,3097400
2019-07-31,977,995,951,955,16247900
2019-08-01,944,984,940,977,14994000
2019-08-02,966,973,937,944,4113300
2019-08-05,951,966,940,966,4975000
2019-08-06,937,970,871,944,10552300
2019-08-07,926,948,919,944,5546800
