timestamp,open,high,low,close,volume
2019-12-06,170,170,147,170,11380700
2019-12-09,228,228,200,212,8240200
2019-12-10,284,284,248,248,6680500
2019-12-11,214,330,214,324,40809800
2019-12-12,266,266,161,214,108192800
2019-12-13,298,314,246,282,56275000
2019-12-16,294,320,260,298,22753500
2019-12-17,298,300,276,280,6710600
2019-12-18,284,312,274,312,4010500
2019-12-19,250,284,242,284,3684200
2019-12-20,238,256,238,238,716700
2019-12-23,226,260,218,236,1439400
2019-12-26,282,282,230,230,6672900
2019-12-27,352,352,290,290,19160200
2019-12-30,400,438,286,356,26051100
2020-01-02,456,490,384,398,48620500
2020-01-03,540,550,458,460,33373700
2020-01-06,456,550,456,540,28963300
2020-01-07,466,476,420,454,10957500
2020-01-08,480,492,466,468,7818100
2020-01-09,480,480,454,480,3588200
2020-01-10,484,575,476,484,24421300
2020-01-13,434,488,434,484,10434700
2020-01-14,434,484,350,434,14981600
2020-01-15,432,460,432,436,4361600
2020-01-16,426,436,400,432,4727600
2020-01-17,430,452,426,426,2384400
2020-01-20,444,470,410,410,10328200
2020-01-21,428,456,424,424,2230300
2020-01-22,414,438,412,430,672000
2020-01-23,418,456,414,416,9694200
2020-01-24,416,422,400,418,4551400
2020-01-27,338,424,322,420,5046100
2020-01-28,328,412,312,340,13769100
2020-01-29,294,348,286,332,13589300
2020-01-30,366,366,276,294,30998100
2020-01-31,280,398,278,370,55187900
2020-02-03,280,300,254,282,14258800
2020-02-04,244,290,238,284,19991400
2020-02-05,206,274,198,224,79626300
2020-02-06,163,216,160,208,111466100
2020-02-07,165,175,138,160,100546700
2020-02-10,169,188,154,168,101655200
2020-02-11,173,180,161,170,69978500
2020-02-12,155,173,155,171,41704700
2020-02-13,153,162,140,155,67380000
2020-02-14,139,160,138,160,26940900
2020-02-17,138,144,129,129,8327200
2020-02-18,120,146,116,143,120781700
2020-02-19,112,122,110,110,15412600
2020-02-20,112,128,102,102,41083500
2020-02-21,106,117,105,112,39007100
2020-02-24,103,108,95,100,17613300
2020-02-25,103,106,100,100,5483600
2020-02-26,102,106,100,103,12297100
2020-02-27,96,116,94,102,32957800
2020-02-28,64,93,63,86,12813500
2020-03-02,83,86,54,54,87312700
2020-03-03,73,84,71,74,24926600
2020-03-04,73,79,68,74,35529800
2020-03-05,74,98,70,73,219791200
2020-03-06,71,81,70,74,101430700
2020-03-09,61,72,61,61,32705300
2020-03-10,75,82,63,64,108982300
2020-03-11,71,90,68,75,199179300
2020-03-12,64,77,64,73,140420200
2020-03-13,60,64,60,60,3927800
2020-03-16,56,57,56,57,2995900
2020-03-17,58,66,53,54,76101500
2020-03-18,65,70,55,55,84661900
2020-03-19,61,70,61,65,99518800
2020-03-20,57,62,57,61,40027400
2020-03-23,54,70,54,57,193360500
2020-03-24,55,62,52,55,178236300
2020-03-26,56,67,53,56,218105700
2020-03-27,56,60,55,57,85265100
2020-03-30,54,59,53,57,153936600
2020-03-31,55,55,53,54,24281100
2020-04-01,57,57,54,54,50551200
2020-04-02,61,61,56,57,70603700
2020-04-03,82,82,59,62,297780800
2020-04-06,77,96,77,77,213557800
2020-04-07,72,82,72,78,378006700
2020-04-08,67,75,67,68,162263100
2020-04-09,67,70,64,67,157269200
2020-04-13,70,73,66,67,283608700
2020-04-14,73,75,70,70,391647000
2020-04-15,82,89,73,73,1137561900
2020-04-16,82,90,79,82,980409500
2020-04-17,77,85,77,83,465621100
2020-04-20,73,77,72,76,326824100
2020-04-21,73,74,68,72,131588500
2020-04-22,70,76,68,75,481511300
2020-04-23,70,73,66,70,406234500
2020-04-24,73,74,69,71,208900400
2020-04-27,76,81,73,74,439104300
2020-04-28,73,79,71,76,673343900
2020-04-29,68,75,68,73,424958300
2020-04-30,68,70,64,65,324525100
2020-05-04,64,70,64,68,328056400
2020-05-05,60,66,60,65,397053900
2020-05-06,56,60,56,59,187784800
2020-05-08,53,54,53,54,69204900
2020-05-11,50,53,50,53,118593300
2020-05-12,50,51,50,50,32558900
2020-05-13,51,51,50,50,43564500
2020-05-14,50,51,50,50,22037200
2020-05-15,50,50,50,50,4207300
2020-05-18,51,51,50,50,34917900
2020-05-19,55,55,50,51,122925400
2020-05-20,58,60,54,55,243885700
2020-05-26,54,59,54,58,49021500
2020-05-27,52,54,51,54,32829800
2020-05-28,53,56,51,52,26166600
2020-05-29,54,54,51,51,14375900
2020-06-02,53,54,52,54,19054900
2020-06-03,53,54,52,53,13379100
2020-06-04,53,54,52,53,15483200
2020-06-05,53,54,52,54,6231000
2020-06-08,52,55,52,55,19621900
2020-06-09,55,55,51,52,42549700
2020-06-10,55,57,54,56,65934700
2020-06-11,56,56,54,55,26475700
2020-06-12,56,58,53,56,32991200
2020-06-15,53,56,53,56,31954800
2020-06-16,53,55,52,53,18898200
2020-06-17,52,54,52,54,27411400
2020-06-18,53,54,52,52,19975900
2020-06-19,53,54,51,53,78005900
2020-06-22,54,57,52,53,232286400
2020-06-23,54,55,51,54,529727500
2020-06-24,54,57,53,54,65968900
2020-06-25,53,55,52,54,472122100
2020-06-26,52,54,52,53,126934500
2020-06-29,53,53,51,52,44419500
2020-06-30,52,53,51,53,22189000
2020-07-01,51,52,50,52,21720200
2020-07-02,52,53,50,51,27686100
2020-07-03,53,54,51,52,52340500
2020-07-06,57,57,53,53,84001700
2020-07-07,54,58,54,58,74840500
2020-07-08,52,54,51,53,144717300
2020-07-09,52,53,51,52,46650200
2020-07-10,51,53,51,52,85630900
2020-07-13,50,52,50,51,127969700
2020-07-14,51,51,50,51,74427300
2020-07-15,50,52,50,51,96701000
2020-07-16,51,51,50,50,36780300
2020-07-17,50,51,50,51,100106500
2020-07-20,50,51,50,51,11959500
2020-07-21,51,51,50,50,16960400
2020-07-22,50,51,50,51,33005000
2020-07-23,50,52,50,50,273523200
2020-07-24,51,51,50,50,65595700
2020-07-27,50,51,50,51,10922500
