timestamp,open,high,low,close,volume
2020-03-31,62,62,62,62,90000
2020-04-01,84,84,84,84,350000
2020-04-02,105,105,105,105,828200
2020-04-03,131,131,131,131,97000
2020-04-06,154,164,139,162,10314400
2020-04-07,156,161,149,156,2293200
2020-04-08,145,156,145,156,1397600
2020-04-09,140,145,135,145,1984800
2020-04-13,140,144,138,144,524400
2020-04-14,142,142,138,139,798000
2020-04-15,143,143,140,143,1581600
2020-04-16,141,143,138,141,1472600
2020-04-17,143,144,140,143,1237400
2020-04-20,141,147,141,143,1686800
2020-04-21,143,144,140,140,1377800
2020-04-22,146,160,141,141,3188600
2020-04-23,146,148,143,146,461000
2020-04-24,140,144,139,144,502000
2020-04-27,147,147,140,140,1065400
2020-04-28,147,147,145,147,101800
2020-04-29,147,148,147,147,86800
2020-04-30,154,156,144,148,2780800
2020-05-04,154,154,150,154,372200
2020-05-05,153,155,152,154,131400
2020-05-06,155,155,153,153,45000
2020-05-08,154,154,154,154,12200
2020-05-11,164,164,154,154,1789400
2020-05-12,163,164,158,163,1579600
2020-05-13,164,164,158,158,227600
2020-05-14,164,164,159,162,37200
2020-05-15,154,164,154,162,2074400
2020-05-18,157,157,154,154,56400
2020-05-19,159,159,156,156,150400
2020-05-20,159,159,153,159,84200
2020-05-26,161,162,158,159,882800
2020-05-27,157,160,157,160,931200
2020-05-28,159,160,157,158,813000
2020-05-29,159,160,158,159,791200
2020-06-02,159,160,158,158,971200
2020-06-03,158,160,157,158,590800
2020-06-04,155,159,153,158,946200
2020-06-05,154,155,154,155,438000
2020-06-08,154,155,154,155,403000
2020-06-09,154,154,153,154,184800
2020-06-10,154,154,153,154,174600
2020-06-11,152,154,152,154,232400
2020-06-12,150,154,149,154,472200
2020-06-15,148,150,147,150,178800
2020-06-16,150,150,147,148,32600
2020-06-17,147,150,147,150,199800
2020-06-18,147,148,147,148,45000
2020-06-19,147,147,147,147,14400
2020-06-22,147,149,147,148,53400
2020-06-23,140,147,140,147,218400
2020-06-24,140,140,140,140,24200
2020-06-25,138,140,138,140,47800
2020-06-26,131,137,131,137,301600
2020-06-29,134,134,129,131,579400
2020-06-30,134,137,134,134,583400
2020-07-01,143,143,134,134,681000
2020-07-02,160,166,137,143,9012600
2020-07-03,149,160,149,160,293400
2020-07-06,149,150,145,149,177200
2020-07-07,147,151,145,151,65000
2020-07-08,153,154,139,139,47200
2020-07-09,151,151,151,151,2400
2020-07-10,151,151,147,151,3000
2020-07-13,149,151,147,151,9800
2020-07-14,154,157,148,157,32800
2020-07-15,143,162,143,162,183800
2020-07-16,151,151,143,151,19000
