timestamp,open,high,low,close,volume
2019-01-01,664,664,664,664,0
2019-01-02,625,659,625,659,9900
2019-01-03,708,708,610,625,114900
2019-01-04,708,708,708,708,0
2019-01-07,708,708,708,708,100
2019-01-08,733,733,708,708,800
2019-01-09,703,728,698,728,700
2019-01-10,615,664,536,629,96100
2019-01-11,634,639,590,605,130600
2019-01-14,629,634,629,634,13300
2019-01-15,580,620,580,580,3200
2019-01-16,580,580,580,580,0
2019-01-17,580,580,580,580,0
2019-01-18,669,669,669,669,100
2019-01-21,669,669,669,669,0
2019-01-22,664,664,600,600,11300
2019-01-23,659,659,556,590,40300
2019-01-24,620,639,531,531,6000
2019-01-25,620,620,620,620,0
2019-01-28,615,620,615,620,6100
2019-01-29,590,590,590,590,1500
2019-01-30,590,639,590,590,700
2019-01-31,639,639,610,610,300
2019-02-01,639,639,639,639,26500
2019-02-04,654,654,654,654,200
2019-02-05,654,654,654,654,0
2019-02-06,654,654,654,654,0
2019-02-07,654,654,654,654,0
2019-02-08,654,654,654,654,0
2019-02-11,752,752,752,752,100
2019-02-12,743,752,570,747,20300
2019-02-13,698,703,590,654,16900
2019-02-14,679,698,649,698,11300
2019-02-15,703,703,551,551,400
2019-02-18,708,708,659,703,14200
2019-02-19,708,708,708,708,0
2019-02-20,708,708,708,708,0
2019-02-21,708,708,708,708,0
2019-02-22,708,708,708,708,0
2019-02-25,679,718,590,679,20300
2019-02-26,713,713,679,679,200
2019-02-27,703,713,659,713,3400
2019-02-28,703,703,703,703,0
2019-03-01,728,728,728,728,100
2019-03-04,728,728,728,728,0
2019-03-05,728,728,728,728,0
2019-03-06,728,728,728,728,0
2019-03-07,728,728,728,728,0
2019-03-08,728,728,728,728,200
2019-03-11,590,600,590,600,400
2019-03-12,590,590,590,590,0
2019-03-13,590,590,590,590,0
2019-03-14,590,590,590,590,0
2019-03-15,590,590,590,590,0
2019-03-18,590,590,590,590,0
2019-03-19,679,679,590,610,6500
2019-03-20,620,713,590,713,47000
2019-03-21,629,688,629,688,10300
2019-03-22,629,629,629,629,0
2019-03-25,688,688,688,688,100
2019-03-26,688,688,688,688,0
2019-03-27,688,688,688,688,0
2019-03-28,688,688,688,688,0
2019-03-29,610,610,610,610,100
2019-04-01,610,610,610,610,0
2019-04-02,610,610,610,610,0
2019-04-03,610,610,610,610,0
2019-04-04,610,610,610,610,0
2019-04-05,610,610,610,610,0
2019-04-08,610,610,610,610,0
2019-04-09,610,610,610,610,0
2019-04-10,610,610,610,610,0
2019-04-11,610,610,610,610,0
2019-04-12,610,610,610,610,0
2019-04-15,610,610,610,610,0
2019-04-16,546,546,546,546,100
2019-04-17,546,546,546,546,0
2019-04-18,679,679,679,679,13800
2019-04-19,679,679,679,679,0
2019-04-22,728,728,728,728,11100
2019-04-23,728,728,728,728,0
2019-04-24,733,733,688,688,300
2019-04-25,733,733,733,733,0
2019-04-26,733,733,688,688,300
2019-04-29,733,733,733,733,0
2019-04-30,733,733,733,733,0
2019-05-01,733,733,733,733,0
2019-05-02,733,733,733,733,0
2019-05-03,733,733,733,733,0
2019-05-06,688,688,688,688,100
2019-05-07,738,738,738,738,100
2019-05-08,738,738,738,738,0
2019-05-09,728,728,698,698,300
2019-05-10,728,728,728,728,0
2019-05-13,728,728,728,728,0
2019-05-14,723,723,698,698,200
2019-05-15,718,718,688,698,300
2019-05-16,698,698,698,698,100
2019-05-17,821,821,821,821,300
2019-05-20,821,821,821,821,0
2019-05-21,821,821,806,806,150000
2019-05-22,654,777,654,777,200
2019-05-23,634,659,492,659,64700
2019-05-24,664,787,649,787,5500
2019-05-27,674,816,629,816,800
2019-05-28,718,718,674,674,200
2019-05-29,718,718,718,718,0
2019-05-30,718,718,718,718,0
2019-05-31,713,767,713,767,200
2019-06-03,713,713,713,713,0
2019-06-04,713,713,713,713,0
2019-06-05,713,713,713,713,0
2019-06-06,713,713,713,713,0
2019-06-07,713,713,713,713,0
2019-06-10,713,885,713,885,3000
2019-06-11,659,688,590,688,2000
2019-06-12,708,713,708,713,600
2019-06-13,698,757,698,757,200
2019-06-14,713,713,713,713,100
2019-06-17,708,708,698,698,200
2019-06-18,708,708,708,708,0
2019-06-19,708,708,708,708,0
2019-06-20,708,708,595,708,900
2019-06-21,708,708,708,708,0
2019-06-24,688,698,688,698,1000
2019-06-25,688,688,688,688,0
2019-06-26,679,679,679,679,200
2019-06-27,679,679,679,679,0
2019-06-28,733,733,551,679,10400
2019-07-01,698,698,698,698,100
2019-07-02,698,698,698,698,0
2019-07-03,610,610,610,610,100
2019-07-04,625,629,561,629,8000
2019-07-05,674,674,590,620,5700
2019-07-08,684,684,669,669,2900
2019-07-09,684,684,684,684,1000
2019-07-10,684,684,610,639,1100
2019-07-11,684,684,684,684,0
2019-07-12,684,684,684,684,0
2019-07-15,684,684,684,684,0
2019-07-16,664,664,590,595,15200
2019-07-17,644,644,644,644,200
2019-07-18,733,733,521,521,800
2019-07-19,679,688,679,688,2800
2019-07-22,669,669,669,669,100
2019-07-23,688,688,688,688,100
2019-07-24,688,688,688,688,0
2019-07-25,688,688,688,688,0
2019-07-26,688,688,688,688,0
2019-07-29,679,679,639,639,200
2019-07-30,679,679,679,679,0
2019-07-31,679,679,679,679,0
2019-08-01,679,679,679,679,0
2019-08-02,669,674,669,674,1000
2019-08-05,669,679,669,679,300
2019-08-06,684,684,684,684,200
2019-08-07,684,684,639,639,52900
2019-08-08,733,733,556,556,900
2019-08-09,718,733,688,688,318400
2019-08-12,718,718,718,718,45000
2019-08-13,718,723,718,723,600
2019-08-14,723,723,723,723,100
2019-08-15,644,688,570,688,900
2019-08-16,728,728,723,723,50300
2019-08-19,728,728,728,728,0
2019-08-20,728,728,728,728,40000
2019-08-21,728,728,728,728,1100
2019-08-22,777,777,728,728,200
2019-08-23,777,777,777,777,52800
2019-08-26,875,885,777,777,2400
2019-08-27,831,836,664,664,2600
