timestamp,open,high,low,close,volume
2019-01-01,1916,1916,1916,1916,0
2019-01-02,1892,1916,1892,1916,11700
2019-01-03,1940,1940,1940,1940,8700
2019-01-04,1900,1965,1900,1940,333200
2019-01-07,1900,1908,1900,1900,180000
2019-01-08,1965,1973,1900,1900,500500
2019-01-09,1932,1965,1932,1965,414500
2019-01-10,1965,1965,1900,1932,552700
2019-01-11,1956,1965,1956,1965,2600
2019-01-14,1956,1956,1956,1956,0
2019-01-15,1900,1948,1900,1900,3100
2019-01-16,1965,1965,1900,1900,503000
2019-01-17,1932,1965,1916,1940,501500
2019-01-18,1900,1965,1900,1900,60600
2019-01-21,1900,1956,1876,1900,614900
2019-01-22,1924,1924,1916,1924,500000
2019-01-23,1940,1940,1876,1924,504000
2019-01-24,1940,1940,1940,1940,0
2019-01-25,1892,1892,1892,1892,200
2019-01-28,1876,1956,1876,1916,509700
2019-01-29,1876,1892,1876,1884,505900
2019-01-30,1892,1892,1851,1884,514000
2019-01-31,1868,1892,1843,1843,203800
2019-02-01,1859,1859,1827,1843,287900
2019-02-04,1819,1819,1819,1819,2500
2019-02-05,1819,1819,1819,1819,0
2019-02-06,1827,1859,1827,1859,28200
2019-02-07,1827,1851,1795,1827,22800
2019-02-08,1892,1892,1787,1827,245400
2019-02-11,1892,1892,1876,1876,500100
2019-02-12,1892,1892,1892,1892,0
2019-02-13,1892,1892,1868,1884,174100
2019-02-14,1892,1892,1884,1884,12300
2019-02-15,1892,1892,1851,1851,100600
2019-02-18,1859,1900,1859,1900,2000
2019-02-19,1859,1859,1859,1859,0
2019-02-20,1851,1851,1795,1851,15100
2019-02-21,1892,1892,1819,1827,162000
2019-02-22,1892,1892,1819,1892,111600
2019-02-25,1827,1827,1827,1827,100
2019-02-26,1827,1859,1827,1859,7300
2019-02-27,1892,1892,1835,1835,207300
2019-02-28,1892,1892,1892,1892,0
2019-03-01,1859,1859,1859,1859,10600
2019-03-04,1843,1859,1843,1859,500
2019-03-05,1981,1989,1884,1884,421900
2019-03-06,1981,1989,1900,1900,193500
2019-03-07,1981,1981,1981,1981,0
2019-03-08,1981,1981,1981,1981,74800
2019-03-11,1981,1981,1981,1981,96500
2019-03-12,1965,1973,1884,1973,39300
2019-03-13,1876,1892,1859,1892,24400
2019-03-14,1981,1981,1924,1924,406400
2019-03-15,2021,2062,2021,2021,227600
2019-03-18,2021,2021,1900,2021,17000
2019-03-19,2029,2029,2021,2021,300
2019-03-20,2029,2029,2029,2029,0
2019-03-21,2053,2053,2029,2029,500000
2019-03-22,2013,2078,1924,2037,502200
2019-03-25,1924,1989,1924,1932,1800
2019-03-26,2062,2070,1940,1940,140900
2019-03-27,2062,2062,2062,2062,116400
2019-03-28,2062,2062,2062,2062,0
2019-03-29,2062,2062,2062,2062,0
2019-04-01,1965,1965,1965,1965,1200
2019-04-02,1932,1940,1924,1940,24400
2019-04-03,1932,1932,1932,1932,0
2019-04-04,1884,1908,1859,1908,33100
2019-04-05,1940,1940,1924,1932,517500
2019-04-08,1876,1932,1876,1876,600
2019-04-09,1859,1859,1859,1859,1000
2019-04-10,1932,1940,1859,1868,322000
2019-04-11,1876,1876,1876,1876,1800
2019-04-12,1876,1876,1876,1876,3400
2019-04-15,1859,1859,1859,1859,8500
2019-04-16,1827,1827,1819,1819,3900
2019-04-17,1827,1827,1827,1827,0
2019-04-18,1940,1940,1819,1900,50900
2019-04-19,1940,1940,1940,1940,0
2019-04-22,1876,1876,1876,1876,500
2019-04-23,1876,1940,1876,1932,506400
2019-04-24,1851,1851,1851,1851,2900
2019-04-25,1827,1827,1827,1827,2800
2019-04-26,2005,2013,1900,1900,500900
2019-04-29,1900,2021,1900,2021,25400
2019-04-30,1981,1981,1908,1916,498100
2019-05-01,1981,1981,1981,1981,0
2019-05-02,1973,1973,1948,1948,501200
2019-05-03,1940,1981,1908,1948,826900
2019-05-06,1908,1940,1908,1908,10700
2019-05-07,1940,1940,1924,1924,101700
2019-05-08,1940,1940,1940,1940,100
2019-05-09,1940,1940,1859,1916,286000
2019-05-10,1900,1900,1900,1900,51900
2019-05-13,1876,1900,1868,1900,1300
2019-05-14,1859,1900,1859,1892,501300
2019-05-15,1940,1981,1859,1900,701100
2019-05-16,1908,1908,1900,1900,11700
2019-05-17,1940,1989,1940,1940,136600
2019-05-20,1884,1908,1868,1900,43600
2019-05-21,1884,1884,1876,1884,26500
2019-05-22,1884,1884,1884,1884,0
2019-05-23,1876,1884,1859,1884,3500
2019-05-24,1876,1884,1876,1884,400
2019-05-27,1892,1932,1892,1932,1200
2019-05-28,1779,1892,1779,1892,52900
2019-05-29,1779,1859,1771,1779,35100
2019-05-30,1779,1779,1779,1779,0
2019-05-31,1843,1843,1787,1787,400
2019-06-03,1843,1843,1843,1843,0
2019-06-04,1843,1843,1843,1843,0
2019-06-05,1843,1843,1843,1843,0
2019-06-06,1843,1843,1843,1843,0
2019-06-07,1843,1843,1843,1843,0
2019-06-10,1762,1779,1762,1779,50900
2019-06-11,1892,1892,1827,1835,250100
2019-06-12,1924,1924,1900,1900,39300
2019-06-13,1851,1940,1851,1940,2500
2019-06-14,1819,1827,1819,1827,14700
2019-06-17,1827,1827,1819,1827,7800
2019-06-18,1827,1827,1827,1827,5000
2019-06-20,1843,1908,1835,1908,6900
2019-06-21,1827,1908,1827,1843,291500
2019-06-24,1827,1827,1827,1827,0
2019-06-25,1835,1916,1827,1900,264100
2019-06-26,1835,1835,1835,1835,0
2019-06-27,1835,1835,1835,1835,500
2019-06-28,1835,1835,1835,1835,0
2019-07-01,1835,1843,1827,1835,11800
2019-07-02,1827,1835,1811,1835,23500
2019-07-03,1827,1827,1827,1827,6400
2019-07-04,1827,1827,1827,1827,1400
2019-07-05,1827,1900,1827,1900,400
2019-07-08,1876,1876,1819,1819,15900
2019-07-09,1811,1811,1811,1811,8000
2019-07-10,1811,1811,1811,1811,300
2019-07-11,1835,1843,1811,1843,11100
2019-07-12,1835,1835,1835,1835,100
2019-07-15,1779,1811,1779,1811,11800
2019-07-16,1835,1835,1779,1811,110400
2019-07-17,1827,1827,1803,1803,1100
2019-07-18,1779,1803,1771,1803,35200
2019-07-19,1771,1795,1771,1795,7400
2019-07-22,1787,1787,1787,1787,300
2019-07-23,1779,1779,1779,1779,100
2019-07-24,1779,1779,1779,1779,0
2019-07-25,1795,1795,1795,1795,100
2019-07-26,1795,1795,1795,1795,0
2019-07-29,1795,1795,1795,1795,1000
2019-07-30,1803,1803,1795,1795,400
2019-07-31,1843,1843,1795,1795,135900
2019-08-01,1843,1843,1843,1843,0
2019-08-02,1843,1843,1843,1843,0
2019-08-05,1827,1827,1819,1819,600
2019-08-06,1827,1827,1827,1827,0
2019-08-07,1827,1827,1827,1827,0
2019-08-08,1892,1900,1787,1803,150000
2019-08-09,1884,1892,1859,1859,36500
2019-08-12,1884,1884,1884,1884,0
2019-08-13,1876,1884,1859,1859,16200
2019-08-14,1876,1876,1859,1859,18900
2019-08-15,1884,1884,1884,1884,3200
2019-08-16,1884,1884,1884,1884,200
2019-08-19,1884,1884,1884,1884,0
2019-08-20,1884,1884,1884,1884,400
2019-08-21,1859,1859,1859,1859,1100
2019-08-22,1859,1859,1859,1859,0
2019-08-23,1892,1900,1819,1819,58000
2019-08-26,1916,1924,1916,1924,2500
2019-08-27,1827,1924,1819,1916,7100
2019-08-28,1779,1827,1779,1803,45700
2019-08-29,1795,1803,1787,1787,1400
2019-08-30,1787,1795,1787,1795,2500
2019-09-02,1779,1787,1779,1787,12700
2019-09-03,1779,1811,1779,1779,10300
2019-09-04,1900,1900,1779,1811,54200
2019-09-05,1900,1900,1900,1900,200
2019-09-06,1859,1859,1859,1859,200
2019-09-09,1859,1859,1859,1859,0
2019-09-10,1819,1819,1795,1795,1200
2019-09-11,1795,1795,1795,1795,1600
2019-09-12,1803,1811,1795,1795,300
2019-09-13,1795,1819,1795,1819,1800
2019-09-16,1795,1795,1795,1795,0
2019-09-17,1795,1795,1795,1795,0
2019-09-18,1787,1795,1787,1795,22500
2019-09-19,1779,1787,1779,1787,9600
2019-09-20,1779,1779,1779,1779,400
2019-09-23,1779,1795,1779,1795,73800
2019-09-24,1738,1771,1738,1771,6200
2019-09-25,1762,1762,1762,1762,100
2019-09-26,1762,1762,1762,1762,0
2019-09-27,1762,1762,1762,1762,100
2019-09-30,1754,1762,1754,1762,200
2019-10-01,1746,1754,1746,1754,4000
2019-10-02,1730,1738,1730,1738,1300
2019-10-03,1795,1795,1730,1730,20500
2019-10-04,1738,1771,1738,1762,9900
2019-10-07,1779,1779,1738,1738,500
2019-10-08,1738,1738,1698,1722,49600
2019-10-09,1722,1730,1722,1730,500
2019-10-10,1706,1714,1706,1714,200
2019-10-11,1771,1771,1771,1771,500
2019-10-14,1673,1771,1617,1771,60900
2019-10-15,1722,1722,1673,1673,52500
2019-10-16,1722,1722,1714,1714,69900
2019-10-17,1819,1819,1730,1730,7900
2019-10-18,1771,1771,1771,1771,200
2019-10-21,1819,1819,1714,1714,103700
2019-10-22,1771,1779,1722,1746,71700
2019-10-23,1811,1811,1738,1787,52200
2019-10-24,1811,1843,1730,1819,52100
2019-10-25,1851,1851,1819,1819,33900
2019-10-28,1843,1843,1843,1843,100
2019-10-29,1827,1827,1771,1827,100000
2019-10-30,1827,1859,1746,1835,103400
2019-10-31,1859,1859,1779,1827,150000
2019-11-01,1884,1884,1851,1851,147200
2019-11-04,1900,1900,1884,1884,47200
2019-11-05,1868,1900,1868,1900,20400
2019-11-06,1900,1900,1859,1859,150100
2019-11-07,1940,1940,1884,1900,115900
2019-11-08,1940,1940,1932,1932,87000
2019-11-11,1981,1981,1827,1827,44100
2019-11-12,1981,1981,1908,1932,79500
2019-11-13,2021,2021,1859,1981,31900
2019-11-14,2037,2037,2021,2021,76300
2019-11-15,2029,2037,1956,2037,11400
2019-11-18,2021,2021,2021,2021,400
2019-11-19,1876,1908,1876,1908,3000
2019-11-20,1948,1965,1940,1940,26700
2019-11-21,1997,2021,1948,2021,13600
2019-11-22,2021,2029,2021,2021,50000
2019-11-25,2021,2021,2021,2021,0
2019-11-26,1908,1908,1908,1908,1600
2019-11-27,1876,1884,1876,1884,900
2019-11-28,1803,1876,1803,1876,2800
2019-11-29,1803,1803,1803,1803,0
2019-12-02,1965,2021,1965,1981,50300
2019-12-03,1908,2005,1900,1981,163900
2019-12-04,1997,1997,1956,1973,100900
2019-12-05,1932,1997,1900,1940,102700
2019-12-06,2005,2005,1900,1908,56800
2019-12-09,2021,2021,1940,1940,102300
2019-12-10,1997,1997,1908,1989,106600
2019-12-11,1924,1989,1924,1989,109800
2019-12-12,1924,1924,1924,1924,200
2019-12-13,1900,2021,1876,2013,90600
2019-12-16,1948,1948,1835,1900,65700
2019-12-17,1989,1997,1900,1948,77400
2019-12-18,2029,2029,1908,1965,94700
2019-12-19,1997,2029,1908,2029,210000
2019-12-20,1948,1948,1948,1948,12500
2019-12-23,1908,1948,1908,1948,500
2019-12-26,2005,2021,1908,1908,107800
2019-12-27,1997,2013,1997,1997,8300
2019-12-30,1924,1965,1924,1965,109000
2020-01-02,1940,1940,1924,1924,20800
2020-01-03,2021,2021,1989,1989,200100
2020-01-06,1940,1940,1924,1924,3800
2020-01-07,1989,1989,1940,1940,14500
2020-01-08,1940,1948,1940,1940,5200
2020-01-09,1940,1940,1940,1940,200
2020-01-10,1940,1940,1940,1940,4900
2020-01-13,1940,1940,1940,1940,22600
2020-01-14,1940,1940,1940,1940,0
2020-01-15,1940,1940,1940,1940,0
2020-01-16,1940,1940,1940,1940,2000
2020-01-17,1884,1884,1884,1884,200
2020-01-20,1900,1900,1900,1900,700
2020-01-21,1900,1900,1900,1900,300
