timestamp,open,high,low,close,volume
2021-03-29,202,202,202,202,70500
2021-03-30,252,252,252,252,3500
2021-03-31,314,314,314,314,8700
2021-04-01,340,392,316,392,14227200
2021-04-05,320,350,318,350,16505200
2021-04-06,330,346,320,320,11061700
2021-04-07,332,338,322,332,13036100
2021-04-08,336,344,332,332,12006900
2021-04-09,334,348,324,336,9611600
2021-04-12,344,354,334,334,13435700
2021-04-13,368,372,346,346,15975300
2021-04-14,440,442,368,368,23027100
2021-04-15,456,462,434,440,11857100
2021-04-16,444,480,440,456,11016300
2021-04-19,466,466,432,444,13038400
2021-04-20,460,464,450,464,11802000
2021-04-21,470,480,452,460,15533000
2021-04-22,480,480,470,470,9940200
2021-04-23,480,480,472,472,9124100
2021-04-26,510,540,480,480,21703400
2021-04-27,610,610,510,510,19494700
2021-04-28,730,750,610,610,15194800
2021-04-29,735,775,680,720,27385900
2021-04-30,835,855,735,740,5948800
2021-05-03,825,1000,805,835,22368000
2021-05-04,840,885,820,825,13078200
2021-05-05,845,865,830,840,12083600
2021-05-06,800,870,790,845,14251000
2021-05-07,790,830,780,800,14147200
2021-05-10,825,825,770,790,15161000
2021-05-11,815,825,790,820,12506900
2021-05-17,810,825,795,815,13123000
2021-05-18,810,850,795,825,11738600
2021-05-19,790,810,785,810,15457200
2021-05-20,765,825,760,805,12715000
2021-05-21,735,790,735,765,13145100
2021-05-24,740,760,730,735,13545900
2021-05-25,750,760,715,750,13817900
2021-05-27,800,810,750,750,13432600
2021-05-28,800,805,765,795,12805100
2021-05-31,925,925,800,800,15307000
2021-06-02,965,980,905,925,12452700
2021-06-03,985,1000,945,965,12261400
2021-06-04,975,1020,960,1020,11547000
2021-06-07,990,1025,960,1025,10996800
2021-06-08,940,1000,940,1000,10816400
2021-06-09,1015,1015,900,935,11566800
2021-06-10,1125,1125,1010,1020,12541300
2021-06-11,1100,1150,1055,1125,13332500
2021-06-14,1100,1125,1030,1100,13219100
2021-06-15,1105,1115,1070,1095,9915400
2021-06-16,1115,1145,1080,1095,12674900
2021-06-17,1100,1105,1040,1105,13780800
2021-06-18,1085,1105,1075,1105,9564300
2021-06-21,1115,1120,1050,1085,12447900
2021-06-22,1275,1275,1110,1115,14298300
2021-06-23,1270,1320,1265,1300,9217000
2021-06-24,1260,1305,1230,1270,9624600
2021-06-25,1435,1455,1260,1260,14953900
2021-06-28,1550,1560,1375,1400,14786500
2021-06-29,1450,1590,1450,1500,10154400
2021-06-30,1350,1410,1350,1410,1077800
2021-07-01,1265,1340,1260,1340,7249200
2021-07-02,1185,1300,1180,1300,6039500
2021-07-05,1105,1150,1105,1150,9860700
2021-07-06,1040,1065,1030,1030,11451700
2021-07-07,1070,1165,1020,1050,9166900
2021-07-08,1040,1125,1015,1070,9646900
2021-07-09,980,1070,970,1045,10543400
2021-07-12,1010,1030,940,1000,10043800
2021-07-13,1000,1045,1000,1000,11149100
2021-07-14,1005,1040,1000,1000,10975700
2021-07-15,1085,1085,1000,1000,10295400
2021-07-16,1100,1110,1080,1095,10085800
2021-07-19,1055,1100,1045,1100,9465500
2021-07-21,1065,1100,1050,1055,11095400
2021-07-22,1070,1095,1065,1065,9261700
