timestamp,open,high,low,close,volume
2020-07-07,110,110,110,110,6300
2020-07-08,114,121,114,121,59449400
2020-07-09,111,120,105,120,13704500
2020-07-10,100,119,100,119,12979900
2020-07-13,90,100,90,90,3754000
2020-07-14,84,92,81,89,23129000
2020-07-15,81,85,76,76,3305300
2020-07-16,89,89,73,73,7690500
2020-07-17,86,96,83,93,11949900
2020-07-20,82,88,78,78,1889800
2020-07-21,85,88,83,83,3215600
2020-07-22,84,86,83,85,1036000
2020-07-23,84,85,81,84,1079300
2020-07-24,80,84,79,82,2485800
2020-07-27,78,81,77,80,2113800
2020-07-28,78,82,71,71,2340400
2020-07-29,75,78,75,78,1013400
2020-07-30,73,75,73,75,1449200
2020-08-03,68,73,67,73,1935500
2020-08-04,73,74,64,64,2289100
2020-08-05,74,76,71,72,552600
2020-08-06,74,78,70,74,1405100
2020-08-07,74,75,72,74,600100
2020-08-10,73,74,71,74,342100
2020-08-11,75,78,69,72,3980100
2020-08-12,74,75,73,75,236200
2020-08-13,74,75,72,73,239800
2020-08-14,72,74,72,73,263600
2020-08-18,73,73,71,73,860900
2020-08-19,73,73,71,73,450800
2020-08-24,72,73,70,73,653700
2020-08-25,73,74,70,72,1727100
2020-08-26,73,73,71,73,250300
2020-08-27,73,75,71,75,987100
2020-08-28,74,75,71,73,3035800
2020-08-31,72,75,72,74,595900
2020-09-01,73,74,72,74,720100
2020-09-02,73,74,72,72,309700
2020-09-03,73,75,72,75,41500
2020-09-04,73,73,72,73,97100
2020-09-07,73,73,70,73,266100
2020-09-08,70,73,70,71,215800
2020-09-09,69,72,68,70,514900
2020-09-10,70,70,69,69,6828800
2020-09-11,70,71,69,71,648500
2020-09-14,70,71,70,71,253500
2020-09-15,70,71,70,71,121700
2020-09-16,70,71,70,70,266100
2020-09-17,71,71,70,71,304200
2020-09-18,70,71,68,71,631800
2020-09-21,70,71,70,70,268300
2020-09-22,67,70,66,68,101200
2020-09-23,69,71,63,63,216700
2020-09-24,67,69,66,69,393700
2020-09-25,73,73,67,67,3122100
2020-09-28,80,80,73,77,1925500
2020-09-29,88,88,81,82,6003000
2020-09-30,96,96,89,89,4405000
2020-10-01,96,99,95,97,2265800
