timestamp,open,high,low,close,volume
2019-01-01,408,408,408,408,0
2019-01-02,340,420,340,388,3314600
2019-01-03,324,370,318,340,3982200
2019-01-04,322,340,310,340,3212200
2019-01-07,322,324,318,322,2437200
2019-01-08,330,340,322,322,4229000
2019-01-09,340,340,328,330,3928000
2019-01-10,316,342,316,332,2997000
2019-01-11,316,320,302,316,2802100
2019-01-14,310,320,300,316,3426300
2019-01-15,308,314,300,306,6465600
2019-01-16,310,312,302,308,4978900
2019-01-17,320,328,310,310,4949500
2019-01-18,332,338,320,320,6718000
2019-01-21,350,378,328,332,9633800
2019-01-22,350,364,346,350,7505200
2019-01-23,346,352,344,348,6218400
2019-01-24,352,354,346,346,4371600
2019-01-25,340,354,340,350,5363900
2019-01-28,350,350,340,340,5388000
2019-01-29,350,360,348,360,4359000
2019-01-30,354,356,346,350,5185200
2019-01-31,354,362,350,350,7623500
2019-02-01,354,360,354,360,600
2019-02-04,340,370,340,360,18100
2019-02-05,340,340,340,340,0
2019-02-06,326,356,324,340,23200
2019-02-07,328,328,320,326,27000
2019-02-08,346,346,310,310,18800
2019-02-11,286,344,286,344,2200
2019-02-12,320,330,300,300,46100
2019-02-13,332,342,320,324,4700
2019-02-14,308,334,306,334,15000
2019-02-15,324,328,308,308,17600
2019-02-18,322,324,306,306,3900
2019-02-19,300,322,300,322,74200
2019-02-20,316,322,300,322,18900
2019-02-21,304,316,280,316,10400
2019-02-22,308,308,280,300,14900
2019-02-25,302,308,302,308,5400
2019-02-26,298,302,298,302,16000
2019-02-27,300,302,298,298,4300
2019-02-28,300,300,300,300,0
2019-03-01,300,306,298,300,4700
2019-03-04,300,300,266,286,3800
2019-03-05,306,306,270,290,22200
2019-03-06,294,306,290,306,7000
2019-03-07,294,294,294,294,0
2019-03-08,298,298,290,292,11600
2019-03-11,284,298,282,298,5000
2019-03-12,280,288,280,288,15900
2019-03-13,274,304,274,304,8000
2019-03-14,272,274,270,274,2500
2019-03-15,290,298,290,298,5400
2019-03-18,296,306,280,294,5300
2019-03-19,296,296,296,296,0
2019-03-20,282,288,278,278,3300
2019-03-21,286,286,280,282,1500
2019-03-22,286,286,286,286,400
2019-03-25,280,282,280,282,4900
2019-03-26,292,296,272,296,16900
2019-03-27,280,290,280,290,2300
2019-03-28,278,292,274,292,11400
2019-03-29,278,278,278,278,0
2019-04-01,274,282,274,282,3200
2019-04-02,280,280,280,280,5000
2019-04-03,280,280,280,280,0
2019-04-04,280,280,280,280,0
2019-04-05,278,280,278,280,5700
2019-04-08,248,274,248,274,38700
2019-04-09,264,278,264,278,400
2019-04-10,250,264,240,264,56700
2019-04-11,258,264,240,240,6000
2019-04-12,236,242,190,242,81100
2019-04-15,226,256,222,256,10400
2019-04-16,224,226,216,226,2600
2019-04-17,224,224,224,224,0
2019-04-18,220,220,214,220,6600
2019-04-19,220,220,220,220,0
2019-04-22,226,230,214,220,8700
2019-04-23,224,224,204,204,1100
2019-04-24,210,224,202,224,7400
2019-04-25,216,220,210,210,700
2019-04-26,190,216,190,216,3400
2019-04-29,189,193,185,190,19000
2019-04-30,191,191,176,185,1900
2019-05-01,191,191,191,191,0
2019-05-02,200,200,181,191,9700
2019-05-03,198,198,191,191,800
