timestamp,open,high,low,close,volume
2019-01-01,656,656,656,656,0
2019-01-02,656,656,656,656,0
2019-01-03,639,652,639,652,2000
2019-01-04,647,647,611,639,469000
2019-01-07,673,673,639,646,187000
2019-01-08,673,673,673,673,0
2019-01-09,628,628,628,628,18000
2019-01-10,632,632,630,630,12000
2019-01-11,633,633,628,630,1500
2019-01-14,633,633,633,633,0
2019-01-15,673,673,627,633,234500
2019-01-16,649,656,649,656,6500
2019-01-17,635,639,632,639,2000
2019-01-18,673,673,639,639,156500
2019-01-21,673,673,673,673,0
2019-01-22,682,682,639,639,142500
2019-01-23,682,682,682,682,0
2019-01-24,666,682,666,682,2000
2019-01-25,666,666,656,666,3000
2019-01-28,656,656,656,656,3500
2019-01-29,673,673,673,673,4500
2019-01-30,656,656,656,656,7500
2019-01-31,647,654,639,639,200500
2019-02-01,670,670,632,632,33500
2019-02-04,670,670,670,670,0
2019-02-05,670,670,670,670,0
2019-02-06,673,673,635,639,211500
2019-02-07,671,673,642,671,30500
2019-02-08,644,644,642,642,7000
2019-02-11,668,668,639,644,27000
2019-02-12,639,642,639,642,1500
2019-02-13,639,639,639,639,2000
2019-02-14,639,639,639,639,9000
2019-02-15,639,639,639,639,54500
2019-02-18,666,666,639,639,39000
2019-02-19,666,666,666,666,0
2019-02-20,640,642,639,640,15000
2019-02-21,642,642,640,640,11000
2019-02-22,673,673,633,640,421000
2019-02-25,656,656,642,654,5000
2019-02-26,644,644,642,642,3000
2019-02-27,646,646,646,646,14000
2019-02-28,656,656,640,642,168500
2019-03-01,673,673,635,639,505500
2019-03-04,673,673,647,671,55500
2019-03-05,673,673,673,673,0
2019-03-06,644,656,642,656,193500
2019-03-07,644,644,644,644,0
2019-03-08,646,647,646,647,7500
2019-03-11,646,646,646,646,1000
2019-03-12,646,646,646,646,0
2019-03-13,659,668,659,668,2500
2019-03-14,652,656,652,656,1500
2019-03-15,652,652,652,652,0
2019-03-18,675,675,644,654,19000
2019-03-19,675,675,675,675,0
2019-03-20,675,675,675,675,0
2019-03-21,675,675,675,675,0
2019-03-22,656,656,644,647,6000
2019-03-25,656,656,656,656,0
2019-03-26,675,689,675,687,53000
2019-03-27,656,675,647,675,94000
2019-03-28,656,656,656,656,0
2019-03-29,656,656,656,656,0
2019-04-01,659,659,644,659,26500
2019-04-02,659,665,647,659,5500
2019-04-03,659,659,659,659,0
2019-04-04,639,642,639,642,162000
2019-04-05,656,656,640,640,20500
2019-04-08,642,654,639,644,26500
2019-04-09,642,642,642,642,0
2019-04-10,647,647,616,647,95000
2019-04-11,659,665,646,665,14500
2019-04-12,651,666,649,666,46000
2019-04-15,656,665,656,665,147500
2019-04-16,663,666,656,663,1032000
2019-04-17,663,663,663,663,0
2019-04-18,652,663,587,661,559000
2019-04-19,652,652,652,652,0
2019-04-22,651,652,633,652,183000
2019-04-23,639,651,632,651,182500
2019-04-24,640,656,639,639,72000
2019-04-25,635,656,627,654,142500
2019-04-26,656,656,639,639,128000
2019-04-29,640,656,640,656,28500
2019-04-30,639,644,639,640,157500
2019-05-01,639,639,639,639,0
2019-05-02,656,656,635,639,135000
2019-05-03,637,652,637,652,127500
2019-05-06,639,639,633,635,58000
2019-05-07,654,654,635,639,111000
2019-05-08,652,652,639,647,26000
2019-05-09,656,656,639,639,188000
2019-05-10,656,656,642,656,11500
2019-05-13,659,659,639,656,279500
2019-05-14,654,656,644,656,122000
2019-05-15,647,654,644,654,223000
2019-05-16,649,654,644,654,578000
2019-05-17,646,647,646,647,240500
2019-05-20,673,673,646,646,1205000
2019-05-21,652,665,651,665,426000
2019-05-22,652,656,649,652,568500
2019-05-23,652,671,652,671,742000
2019-05-24,652,665,652,665,380000
2019-05-27,651,665,651,665,714000
2019-05-28,651,665,651,665,396000
2019-05-29,651,654,651,651,508500
2019-05-30,651,651,651,651,0
2019-05-31,640,665,633,665,4608500
2019-06-03,640,640,640,640,0
2019-06-04,640,640,640,640,0
2019-06-05,640,640,640,640,0
2019-06-06,640,640,640,640,0
2019-06-07,640,640,640,640,0
2019-06-10,656,662,649,658,3019000
2019-06-11,656,656,647,656,308500
2019-06-12,656,656,649,651,120000
2019-06-13,649,656,649,655,50000
2019-06-14,640,646,637,640,485500
2019-06-17,615,639,614,639,794500
2019-06-18,639,639,605,614,112500
2019-06-19,630,639,624,639,1042000
2019-06-20,628,637,626,630,133500
2019-06-21,626,637,624,626,186500
2019-06-24,642,644,626,626,137000
2019-06-25,646,646,635,642,56000
2019-06-26,646,647,637,637,73500
2019-06-27,624,646,624,646,658500
2019-06-28,624,640,624,633,775000
2019-07-01,635,674,626,635,516500
2019-07-02,637,646,635,635,22000
2019-07-03,637,646,637,646,14000
2019-07-04,635,637,624,637,23000
2019-07-05,631,640,631,640,53500
2019-07-08,628,655,628,644,182500
2019-07-09,624,639,624,628,102000
2019-07-10,628,635,624,624,4500
2019-07-11,628,635,626,628,62500
2019-07-12,630,631,628,631,97500
2019-07-15,631,640,626,639,157000
2019-07-16,626,631,626,631,33500
2019-07-17,626,631,624,626,45000
2019-07-18,624,628,624,626,42000
2019-07-19,640,646,624,631,264000
2019-07-22,630,647,628,640,240500
2019-07-23,631,640,631,640,5500
2019-07-24,631,631,630,631,9000
2019-07-25,630,639,630,631,15000
2019-07-26,628,640,628,640,4500
2019-07-29,626,628,626,628,85500
2019-07-30,635,640,624,640,1492500
2019-07-31,646,665,637,637,1421500
2019-08-01,664,667,649,649,216000
2019-08-02,660,667,649,664,751500
2019-08-05,656,658,642,658,258000
2019-08-06,647,649,628,628,157000
2019-08-07,669,683,655,655,773000
2019-08-08,662,671,662,669,161000
2019-08-09,649,662,644,662,42500
2019-08-12,660,662,651,651,50000
2019-08-13,646,658,642,656,27500
2019-08-14,649,662,646,646,62000
2019-08-15,647,649,646,649,368500
2019-08-16,644,647,644,647,55000
2019-08-19,644,646,642,644,74000
2019-08-20,644,646,631,640,190000
2019-08-21,639,647,637,639,157000
2019-08-22,640,644,637,637,84500
2019-08-23,642,642,640,640,37500
2019-08-26,640,658,639,658,124000
2019-08-27,640,640,626,639,186500
2019-08-28,642,646,640,642,43000
2019-08-29,642,642,642,642,87500
2019-08-30,642,642,639,642,165500
2019-09-02,644,655,644,644,71000
2019-09-03,647,647,642,642,20000
2019-09-04,644,649,642,647,415000
2019-09-05,651,651,647,647,286500
2019-09-06,655,671,655,658,106500
2019-09-09,655,656,651,655,226500
2019-09-10,653,653,646,651,84000
2019-09-11,653,653,651,653,34000
2019-09-12,658,662,655,655,99500
2019-09-13,656,658,655,658,85500
2019-09-16,640,658,640,658,32500
