timestamp,open,high,low,close,volume
2023-01-09,294,337,290,314,92450800
2023-01-10,284,298,282,294,19292300
2023-01-11,314,351,284,284,160962100
2023-01-12,296,321,292,314,48797700
2023-01-13,296,314,294,300,29332300
2023-01-16,290,300,284,296,16659200
2023-01-17,292,302,286,286,14171900
2023-01-18,292,298,290,294,11151200
2023-01-19,290,294,288,292,4968800
2023-01-20,288,294,286,290,5525100
2023-01-24,290,292,286,290,3217600
2023-01-25,288,294,288,292,3919100
2023-01-26,290,302,288,290,13158500
2023-01-27,290,294,288,292,2581100
2023-01-30,290,298,290,294,5425600
2023-01-31,290,294,290,290,3732400
2023-02-01,308,318,290,292,39604700
2023-02-02,294,312,288,310,17355000
2023-02-03,294,296,290,296,3885100
2023-02-06,288,294,288,294,3088700
2023-02-07,290,292,286,288,3064300
2023-02-08,290,292,286,290,2648800
2023-02-09,292,296,290,292,3640300
2023-02-10,300,300,290,294,4536200
2023-02-13,294,304,292,302,4240600
2023-02-14,306,312,294,294,15309600
2023-02-15,300,304,294,304,4103400
2023-02-16,300,304,298,302,2306100
2023-02-17,296,302,294,302,2060000
2023-02-20,296,300,294,296,1276300
2023-02-21,294,300,292,296,2934000
2023-02-22,292,294,290,294,2034600
2023-02-23,292,294,292,292,1992700
2023-02-24,294,296,292,294,1229300
2023-02-27,294,300,294,296,1003800
2023-02-28,298,298,294,296,1001200
2023-03-01,294,300,294,298,1174000
2023-03-02,294,298,294,294,693600
2023-03-03,294,296,292,294,968500
2023-03-06,296,296,292,294,1261600
2023-03-07,292,296,290,294,2701100
2023-03-08,292,294,290,292,806000
2023-03-09,294,294,290,292,1273700
2023-03-10,290,294,290,294,1776100
2023-03-13,290,292,290,290,861900
2023-03-14,292,294,286,290,2160600
2023-03-15,290,292,290,292,640500
2023-03-16,276,292,270,292,9978500
2023-03-17,270,280,261,278,6918500
2023-03-20,272,274,269,272,1203000
2023-03-21,282,292,270,274,2145200
2023-03-24,286,290,278,282,707600
2023-03-27,288,288,282,288,925500
2023-03-28,286,290,284,290,507800
2023-03-29,286,290,286,286,619100
2023-03-30,290,290,286,286,570800
2023-03-31,286,292,286,290,583400
2023-04-03,288,292,284,288,1986100
2023-04-04,290,292,288,288,874200
2023-04-05,296,306,290,290,4399600
2023-04-06,292,300,292,294,3129400
2023-04-10,290,296,290,294,636800
2023-04-11,288,294,286,288,1836600
2023-04-12,282,290,274,288,3499800
2023-04-13,286,294,278,282,1705400
2023-04-14,282,294,282,290,617700
2023-04-17,278,286,276,286,377500
2023-04-18,276,282,270,282,478200
2023-04-26,278,290,276,276,655700
2023-04-27,280,282,276,278,205400
2023-04-28,280,282,267,276,1097800
2023-05-02,276,280,274,278,590600
2023-05-03,280,282,274,276,682500
2023-05-04,282,282,278,282,459000
2023-05-05,282,286,280,282,783200
2023-05-08,282,284,280,282,267700
2023-05-09,286,288,280,282,461200
2023-05-10,286,286,282,286,131300
2023-05-11,284,286,282,286,574000
2023-05-12,284,286,282,284,192600
2023-05-15,282,288,282,286,841700
2023-05-16,284,288,282,284,339500
2023-05-17,286,286,284,284,373500
2023-05-19,286,294,284,286,584500
2023-05-22,284,288,284,284,315500
2023-05-23,284,286,282,284,280200
2023-05-24,284,284,282,284,368500
2023-05-25,284,286,282,284,304300
2023-05-26,288,290,282,288,440000
2023-05-29,288,292,288,290,803400
2023-05-30,288,288,286,288,101600
2023-05-31,286,288,284,286,278800
2023-06-05,290,292,284,286,286900
2023-06-06,284,290,282,290,339500
2023-06-07,284,286,284,284,64600
2023-06-08,284,284,278,282,327400
2023-06-09,284,284,280,282,88100
2023-06-12,282,284,282,284,96800
2023-06-13,282,286,282,286,70900
2023-06-14,284,286,280,282,603600
2023-06-15,284,284,282,284,151000
2023-06-16,284,286,282,284,344200
2023-06-19,282,288,280,284,500500
2023-06-20,282,286,282,282,145700
2023-06-21,282,286,282,284,88600
2023-06-22,282,286,282,282,226700
2023-06-23,278,282,276,282,462400
2023-06-26,267,280,255,278,1073000
2023-06-27,265,269,261,267,338000
2023-07-03,265,267,255,263,363500
2023-07-04,270,270,263,265,162200
2023-07-05,278,278,269,274,213500
2023-07-06,274,278,270,278,56400
2023-07-07,272,274,267,269,346600
2023-07-10,274,276,267,272,487900
2023-07-11,275,277,269,277,233900
2023-07-12,275,277,271,271,326800
2023-07-13,277,277,275,277,119500
2023-07-14,271,277,269,277,292700
2023-07-17,275,277,269,273,951000
2023-07-18,289,295,273,275,1661200
2023-07-20,285,291,283,289,364700
2023-07-21,283,289,283,285,304900
2023-07-24,299,301,283,287,3741100
2023-07-25,301,311,291,299,5120200
2023-07-26,297,305,297,303,483800
2023-07-27,305,307,287,297,2213400
2023-07-28,301,311,297,307,1602800
2023-07-31,307,311,301,301,2829700
2023-08-01,345,345,307,311,8221800
2023-08-02,335,369,313,351,10188200
2023-08-03,335,343,319,337,2312200
2023-08-04,349,351,327,337,2604300
2023-08-07,365,372,345,349,2154100
2023-08-08,355,367,349,367,1218500
2023-08-09,359,361,349,355,826800
2023-08-10,339,361,339,359,892900
2023-08-11,345,347,323,339,1898800
2023-08-14,347,349,337,345,974400
2023-08-15,331,351,327,351,1562900
2023-08-16,329,337,313,331,2040800
2023-08-18,357,410,327,335,20341700
2023-08-21,359,380,345,359,5905100
2023-08-22,369,376,355,361,2349600
2023-08-23,372,392,357,374,2728200
2023-08-24,369,378,369,374,1630500
2023-08-25,370,374,355,369,1393400
2023-08-28,363,372,359,370,1256500
2023-08-29,376,376,363,365,1746100
2023-08-30,406,406,378,382,4452900
2023-08-31,424,436,398,406,4083200
2023-09-01,424,440,410,428,3025500
2023-09-04,474,491,414,422,5920800
2023-09-05,510,515,474,476,6086200
2023-09-06,485,515,462,510,3907500
2023-09-07,477,491,470,487,2105200
2023-09-08,489,493,468,477,1987600
2023-09-11,487,505,479,493,1337500
2023-09-12,493,525,485,487,2295900
2023-09-13,489,495,483,495,1552800
2023-09-14,483,495,476,489,922000
2023-09-15,472,489,468,485,1229500
2023-09-18,434,472,420,470,2461600
2023-09-19,367,434,367,434,4067000
2023-09-20,386,410,363,369,2715700
2023-09-21,374,396,372,392,1111900
2023-09-22,365,378,365,376,1940100
2023-09-25,343,361,333,361,3561100
2023-09-26,367,369,337,343,1834500
2023-09-27,363,372,347,370,1504000
2023-09-29,363,372,359,363,735600
2023-10-02,372,386,361,365,1913000
2023-10-03,382,388,372,374,2078300
2023-10-04,384,396,370,382,2532700
2023-10-05,388,390,370,384,2051600
2023-10-06,386,394,380,386,1199600
2023-10-09,378,388,372,386,386500
2023-10-10,376,382,357,378,1218600
2023-10-11,376,376,359,367,3276000
2023-10-12,382,386,374,378,1004800
2023-10-13,376,386,374,382,260300
2023-10-16,374,384,363,376,496100
2023-10-17,396,400,372,372,2235000
2023-10-18,410,416,396,400,2136900
2023-10-19,410,416,400,406,757200
2023-10-20,406,412,402,408,602000
2023-10-23,402,406,390,406,1122900
2023-10-24,402,418,398,408,440900
2023-10-25,400,410,394,402,315300
2023-10-26,396,406,396,400,184800
2023-10-27,386,398,386,396,431600
2023-10-30,392,400,384,386,1343700
2023-10-31,394,398,388,394,372900
2023-11-01,386,394,349,394,662500
2023-11-02,410,412,382,382,1602200
2023-11-03,408,416,402,412,471400
2023-11-06,418,418,404,412,740100
2023-11-07,410,420,408,416,137500
2023-11-08,404,418,398,410,127800
2023-11-09,402,410,400,400,817200
2023-11-10,398,406,394,402,302600
2023-11-13,404,406,396,398,867700
2023-11-14,402,406,402,402,281000
2023-11-15,398,404,396,402,566400
2023-11-16,404,408,398,408,15700
2023-11-17,394,408,386,394,1147300
2023-11-20,394,398,357,394,1062800
2023-11-21,390,394,374,394,230300
2023-11-22,374,386,370,380,320800
2023-11-23,378,386,359,386,384700
2023-11-24,380,386,372,378,176500
2023-11-27,361,382,357,369,541900
2023-11-28,361,367,357,361,172900
2023-11-29,363,367,357,361,37700
2023-11-30,359,367,351,363,28400
2023-12-01,343,355,343,355,119000
2023-12-04,343,357,341,341,121200
2023-12-05,341,355,339,345,325000
2023-12-06,319,337,317,337,313300
2023-12-07,321,357,319,319,203100
2023-12-08,325,329,319,321,91400
2023-12-11,317,327,299,325,177400
2023-12-12,317,321,311,319,22700
2023-12-13,311,315,301,301,65800
2023-12-14,323,323,303,309,275800
2023-12-15,337,339,317,329,525000
2023-12-18,343,345,327,339,351700
2023-12-19,357,357,343,343,816300
2023-12-20,369,370,357,357,661900
2023-12-21,370,374,361,370,235300
2023-12-22,376,376,367,372,260200
2023-12-27,388,392,370,378,1322700
2023-12-28,396,402,382,388,616700
2023-12-29,396,400,357,398,228000
2024-01-02,386,396,374,396,87900
2024-01-03,390,396,378,378,25300
2024-01-04,386,386,339,384,215100
2024-01-05,367,386,349,384,197500
2024-01-08,367,376,361,374,31600
2024-01-09,349,376,349,367,158700
2024-01-10,361,367,345,367,85400
2024-01-11,355,361,351,351,51100
2024-01-12,365,369,349,357,203000
2024-01-15,365,365,365,365,0
2024-01-16,380,446,363,369,1125700
2024-01-17,384,386,374,378,50800
2024-01-18,382,384,367,384,91200
2024-01-19,369,384,367,382,228900
2024-01-22,382,384,369,374,235800
2024-01-23,380,388,372,382,232600
