timestamp,open,high,low,close,volume
2020-02-10,296,296,296,296,10600
2020-02-11,370,370,370,370,15200
2020-02-12,462,462,462,462,740000
2020-02-13,376,570,360,550,115089400
2020-02-14,414,414,370,380,29886900
2020-02-17,444,446,408,414,71798200
2020-02-18,474,474,434,444,68461000
2020-02-19,420,476,380,476,46766700
2020-02-20,426,430,416,420,24853000
2020-02-21,446,448,422,426,46322600
2020-02-24,476,476,442,444,33958700
2020-02-25,484,505,400,476,34851700
2020-02-26,414,530,410,484,47733500
2020-02-27,372,426,372,416,20621900
2020-02-28,366,372,364,372,23678600
2020-03-02,424,428,366,366,18380600
2020-03-03,318,444,318,428,58331600
2020-03-04,260,318,252,316,22997000
2020-03-05,248,280,240,262,27787300
2020-03-06,244,248,242,248,5874100
2020-03-09,232,240,232,240,4820200
2020-03-10,238,242,232,232,3969000
2020-03-11,236,238,234,238,1700500
2020-03-12,220,236,220,236,1750500
2020-03-13,206,208,206,206,142900
2020-03-16,194,206,192,206,442500
2020-03-17,193,194,193,194,218900
2020-03-18,186,194,186,193,102900
2020-03-19,189,190,175,190,221400
2020-03-20,189,236,176,190,1831200
2020-03-23,177,189,177,189,39200
2020-03-24,180,180,165,170,152400
2020-03-26,171,180,168,180,53700
2020-03-27,161,171,161,171,144800
2020-03-30,160,161,160,161,11100
2020-03-31,168,170,160,160,8100
2020-04-01,168,170,168,168,2000
2020-04-02,163,164,157,159,90600
2020-04-03,159,162,152,159,2500
2020-04-06,165,168,156,168,35400
2020-04-07,156,165,156,165,49200
2020-04-08,150,153,148,148,12500
2020-04-09,146,146,141,141,2300
2020-04-13,140,145,136,137,76200
2020-04-14,142,144,132,140,45300
2020-04-15,139,145,134,134,35700
2020-04-16,142,142,139,142,33700
2020-04-17,140,145,139,139,47000
2020-04-20,142,143,139,139,11600
2020-04-21,140,140,133,133,23200
2020-04-22,142,142,134,134,2500
2020-04-23,139,141,135,141,19800
2020-04-24,139,139,133,134,6900
2020-04-27,140,140,131,133,5400
2020-04-28,133,133,133,133,23500
2020-04-29,133,138,133,133,13900
2020-04-30,134,134,128,133,10000
2020-05-04,134,134,134,134,0
2020-05-05,147,156,130,143,16100
2020-05-06,186,188,137,148,807900
2020-05-08,174,186,173,186,56200
2020-05-11,174,176,165,176,44400
2020-05-12,174,174,164,164,20300
2020-05-13,168,168,162,164,129700
2020-05-14,157,160,157,160,95100
2020-05-15,147,157,147,157,71300
2020-05-18,137,152,137,139,346400
2020-05-19,142,145,128,145,286200
2020-05-20,146,147,146,147,3100
2020-05-26,150,150,140,146,21900
2020-05-27,160,162,146,162,63800
2020-05-28,163,167,150,167,5000
2020-05-29,163,165,163,165,300
2020-06-02,165,166,160,165,13400
2020-06-03,158,175,158,175,600
2020-06-04,168,168,168,168,100
2020-06-05,167,175,159,175,700
2020-06-08,166,168,159,168,2300
2020-06-09,166,168,166,168,10100
2020-06-10,168,168,159,168,1300
