timestamp,open,high,low,close,volume
2019-01-01,420,420,420,420,0
2019-01-02,432,435,412,422,17672000
2019-01-03,426,432,419,432,557000
2019-01-04,435,435,419,426,17272000
2019-01-07,430,438,428,435,23312000
2019-01-08,431,435,429,431,31290000
2019-01-09,433,434,430,433,34758000
2019-01-10,435,444,430,433,36898000
2019-01-11,437,440,433,436,34675000
2019-01-14,437,439,437,437,34875000
2019-01-15,437,439,437,437,77475000
2019-01-16,438,440,434,436,34523000
2019-01-17,439,442,438,438,34161000
2019-01-18,440,442,439,439,34447000
2019-01-21,442,445,440,440,34840000
2019-01-22,442,445,442,442,34584000
2019-01-23,443,443,440,442,25792000
2019-01-24,443,446,443,443,33885000
2019-01-25,443,448,443,443,27585000
2019-01-28,444,445,442,443,85114000
2019-01-29,444,446,444,444,25125000
2019-01-30,446,446,443,443,34261000
2019-01-31,448,450,445,446,33358000
2019-02-01,446,450,446,448,34297000
2019-02-04,447,449,446,447,27740000
2019-02-05,447,447,447,447,0
2019-02-06,449,451,447,447,35076000
2019-02-07,451,453,449,449,33606000
2019-02-08,455,456,450,451,33551000
2019-02-11,458,462,454,454,54736000
2019-02-12,456,462,455,458,55631000
2019-02-13,456,461,455,456,55860000
2019-02-14,457,459,455,456,55237000
2019-02-15,455,460,455,457,53269000
2019-02-18,456,457,453,456,55486000
2019-02-19,457,466,456,456,54905000
2019-02-20,461,461,456,456,55439000
2019-02-21,463,467,460,460,56625000
2019-02-22,463,468,463,463,56374000
2019-02-25,465,467,463,463,54217000
2019-02-26,465,468,465,465,54398000
2019-02-27,466,471,465,465,53159000
2019-02-28,467,472,464,466,10027000
2019-03-01,467,470,465,467,53409000
2019-03-04,466,470,466,467,53476000
2019-03-05,466,469,466,466,53660000
2019-03-06,467,474,466,466,55138000
2019-03-07,467,467,467,467,0
2019-03-08,465,470,465,467,54622000
2019-03-11,465,466,465,465,52989000
2019-03-12,464,466,462,462,53307000
2019-03-13,460,462,460,461,53748000
2019-03-14,453,454,453,454,54360000
2019-03-15,456,457,454,454,54269000
2019-03-18,451,451,450,450,53823000
2019-03-19,456,464,453,453,34721000
2019-03-20,458,459,458,458,27774000
2019-03-21,458,459,457,458,27944000
2019-03-22,459,459,458,458,32883000
2019-03-25,452,454,452,452,31637000
2019-03-26,454,454,452,452,28880000
2019-03-27,455,455,454,454,29800000
2019-03-28,455,456,452,452,19104000
2019-03-29,455,455,453,455,3374000
2019-04-01,457,459,457,458,26417000
2019-04-02,448,448,447,447,27483000
2019-04-03,448,448,448,448,0
2019-04-04,447,448,445,448,28011000
2019-04-05,448,448,446,447,27762000
2019-04-08,444,446,437,443,27228000
2019-04-09,446,446,444,444,54606000
2019-04-10,446,447,445,446,52823000
2019-04-11,445,445,444,444,56529000
2019-04-12,443,446,443,445,30443000
2019-04-15,441,445,441,444,17533000
2019-04-16,439,442,439,441,1847000
2019-04-17,439,439,439,439,0
2019-04-18,440,442,439,439,46424000
2019-04-19,440,440,440,440,0
2019-04-22,442,443,440,440,46816000
2019-04-23,444,446,442,442,49867000
2019-04-24,446,447,444,444,41126000
2019-04-25,448,448,447,447,37758000
2019-04-26,448,450,447,448,36181000
2019-04-29,451,454,448,448,46499000
2019-04-30,457,457,451,451,49158000
2019-05-01,457,457,457,457,0
2019-05-02,458,460,457,457,38864000
2019-05-03,460,464,458,458,55835000
2019-05-06,463,468,460,461,61238000
2019-05-07,465,467,464,464,53025000
2019-05-08,466,469,465,465,45134000
2019-05-09,467,470,466,467,54804000
2019-05-10,468,477,463,469,54223000
2019-05-13,468,470,467,467,49017000
2019-05-14,469,473,468,469,57451000
2019-05-15,472,474,469,469,53851000
2019-05-16,473,476,472,473,49945000
2019-05-17,474,477,473,474,55474000
2019-05-20,473,480,473,475,67713000
2019-05-21,480,484,474,474,131681000
2019-05-22,481,485,480,481,110585000
2019-05-23,483,489,481,482,117949000
2019-05-24,484,492,483,484,118019000
2019-05-27,485,490,484,485,106912000
2019-05-28,491,493,486,486,184329000
2019-05-29,492,505,491,492,67154000
2019-05-30,492,492,492,492,0
2019-05-31,493,497,492,492,58810000
2019-06-03,493,493,493,493,0
2019-06-04,493,493,493,493,0
2019-06-05,493,493,493,493,0
2019-06-06,493,493,493,493,0
2019-06-07,493,493,493,493,0
2019-06-10,488,496,488,493,44161000
2019-06-11,489,493,488,488,49782000
2019-06-12,490,493,489,490,43988000
2019-06-13,491,499,490,490,55890000
2019-06-14,492,498,492,492,52177000
2019-06-17,492,496,491,492,48720000
2019-06-18,496,496,492,493,37470000
2019-06-19,497,500,496,497,51864000
2019-06-20,498,505,497,497,51294000
2019-06-21,500,510,498,498,69916000
2019-06-24,502,515,500,500,705950000
2019-06-25,520,565,500,505,61475800
2019-06-26,565,580,525,525,74824800
2019-06-27,575,600,565,570,63759100
2019-06-28,580,595,550,580,91939500
2019-07-01,585,615,580,585,55412200
2019-07-02,595,615,585,590,53830800
2019-07-03,580,605,580,595,20522900
2019-07-04,565,585,560,580,44584500
2019-07-05,550,580,545,565,10882300
2019-07-08,525,560,520,550,5153800
2019-07-09,565,565,510,530,18783900
2019-07-10,510,570,505,570,23809300
2019-07-11,498,520,492,510,11804800
2019-07-12,492,505,466,498,19363200
2019-07-15,468,494,468,494,13760300
2019-07-16,482,490,468,470,5101400
2019-07-17,490,500,484,484,8534000
2019-07-18,496,500,488,492,18705500
2019-07-19,505,515,494,496,20300900
2019-07-22,505,515,500,510,2500600
2019-07-23,510,520,505,510,21025300
2019-07-24,505,520,500,515,6703100
2019-07-25,494,510,490,505,13266300
2019-07-26,496,515,488,494,18333600
2019-07-29,498,505,490,498,20156200
2019-07-30,510,515,490,500,41490000
2019-07-31,488,520,488,515,18178500
2019-08-01,505,515,490,490,20972700
2019-08-02,505,515,496,505,20126200
2019-08-05,498,515,494,510,12116600
2019-08-06,498,500,490,498,8958100
2019-08-07,486,510,486,500,22052200
2019-08-08,496,500,486,490,14163100
2019-08-09,496,505,484,498,7169900
2019-08-12,500,510,490,496,24693800
2019-08-13,488,510,480,505,8356400
2019-08-14,500,500,480,494,6689200
2019-08-15,482,505,480,500,21371900
2019-08-16,488,492,478,488,1412300
2019-08-19,486,492,478,490,4303700
2019-08-20,484,490,476,490,9073100
2019-08-21,478,488,474,486,6184700
2019-08-22,464,486,464,482,1994100
2019-08-23,470,480,446,470,2228600
2019-08-26,452,474,452,472,772500
2019-08-27,460,470,448,460,2098000
2019-08-28,466,474,444,464,1775600
2019-08-29,456,470,452,468,3096700
2019-08-30,450,462,440,460,5902200
2019-09-02,430,460,430,460,1163900
2019-09-03,420,440,408,432,1379900
2019-09-04,412,436,410,422,716500
2019-09-05,420,420,340,412,10566300
2019-09-06,440,448,398,422,8690100
2019-09-09,448,450,418,442,16065000
2019-09-10,440,462,438,448,15160800
2019-09-11,454,458,438,444,19119400
2019-09-12,460,474,454,456,22558800
2019-09-13,480,488,460,460,21798000
2019-09-16,486,550,474,482,22683600
2019-09-17,490,496,476,486,21325100
2019-09-18,484,496,472,492,19603900
2019-09-19,474,492,474,488,9449500
2019-09-20,464,482,456,480,6506400
2019-09-23,466,470,456,470,11138300
2019-09-24,458,470,452,470,9600600
2019-09-25,460,468,454,464,7553500
2019-09-26,468,468,454,466,6780100
2019-09-27,460,472,422,468,4569900
2019-09-30,458,468,444,466,1823400
2019-10-01,458,466,434,462,12623000
2019-10-02,432,462,432,462,3290800
2019-10-03,416,442,402,440,827600
2019-10-04,448,450,394,420,5727100
2019-10-07,452,464,422,448,32375900
2019-10-08,456,460,444,458,33062700
2019-10-09,458,482,444,458,11045400
2019-10-10,454,470,434,462,25774500
2019-10-11,454,458,440,458,40707300
2019-10-14,468,468,452,458,21744900
2019-10-15,478,488,460,488,36237100
2019-10-16,480,488,472,478,34820900
2019-10-17,482,488,478,482,13227300
2019-10-18,494,540,478,482,47244700
2019-10-21,500,520,482,505,18552300
2019-10-22,520,525,496,510,31252700
2019-10-23,494,525,494,520,10671300
2019-10-24,515,520,490,500,22980300
2019-10-25,510,525,494,515,14583900
2019-10-28,510,525,492,515,28721300
2019-10-29,515,525,492,515,9156000
2019-10-30,482,515,480,515,15931400
2019-10-31,484,500,470,486,18456900
2019-11-01,494,496,474,484,21765900
2019-11-04,494,498,478,496,14839500
2019-11-05,494,500,482,498,32875100
2019-11-06,520,525,498,500,24492200
2019-11-07,575,580,510,520,34537500
2019-11-08,525,580,480,575,15560000
2019-11-11,500,555,500,525,19655700
2019-11-12,515,525,480,500,28135800
2019-11-13,492,525,490,515,16278500
2019-11-14,480,500,466,498,5678200
2019-11-15,476,490,454,482,13272400
2019-11-18,470,492,466,482,7496700
2019-11-19,480,480,468,480,28385300
2019-11-20,470,490,468,486,8037400
2019-11-21,466,480,456,480,28004100
2019-11-22,468,490,462,472,16576300
2019-11-25,462,490,462,470,11883100
2019-11-26,474,474,446,470,3030600
2019-11-27,460,480,454,474,12797600
2019-11-28,450,466,442,466,7256900
2019-11-29,460,462,438,460,17176700
2019-12-02,462,478,452,466,22021400
2019-12-03,440,466,380,466,16896100
2019-12-04,450,452,376,448,3427500
2019-12-05,390,458,384,452,13737300
2019-12-06,370,414,370,390,935100
2019-12-09,362,388,362,380,13892500
2019-12-10,324,370,324,370,785600
2019-12-11,310,348,304,336,16066800
2019-12-12,260,330,260,322,1880800
2019-12-13,324,324,250,280,23687900
2019-12-16,338,378,312,328,3278800
2019-12-17,346,350,314,342,15807900
2019-12-18,368,370,336,350,16390200
2019-12-19,390,398,360,370,24058200
2019-12-20,360,390,352,390,7226800
2019-12-23,340,370,314,370,16471000
2019-12-26,410,410,340,348,9339600
2019-12-27,388,412,358,410,15198200
2019-12-30,390,390,360,390,1111600
2020-01-02,348,400,344,394,14831800
2020-01-03,358,360,334,352,6899000
2020-01-06,354,364,338,364,15078600
2020-01-07,336,358,336,358,4167500
2020-01-08,336,340,316,340,16324300
2020-01-09,322,340,314,340,2284100
2020-01-10,312,328,312,328,16300500
2020-01-13,346,346,300,316,6356900
2020-01-14,330,346,316,346,16596900
2020-01-15,336,340,314,340,8967000
2020-01-16,316,338,316,338,15979500
2020-01-17,318,322,310,322,11280000
2020-01-20,312,322,304,322,16766600
2020-01-21,316,318,308,316,25666800
2020-01-22,306,320,304,320,20830300
2020-01-23,302,314,300,314,24953100
2020-01-24,298,312,296,310,16964300
2020-01-27,300,304,296,302,17525300
2020-01-28,250,304,250,300,19105100
2020-01-29,260,264,216,264,2164500
2020-01-30,250,264,200,264,23372900
2020-01-31,204,252,204,252,2671000
2020-02-03,206,218,186,204,27009500
2020-02-04,208,212,200,206,529600
2020-02-05,210,212,200,208,24967900
2020-02-06,214,214,206,212,728200
