timestamp,open,high,low,close,volume
2019-01-01,665,665,665,665,0
2019-01-02,665,665,665,665,0
2019-01-03,645,800,600,665,20800
2019-01-04,700,720,645,645,6000
2019-01-07,650,800,610,790,16700
2019-01-08,650,650,650,650,0
2019-01-09,665,770,665,770,3400
2019-01-10,750,780,675,680,15500
2019-01-11,770,800,770,800,200
2019-01-14,770,770,770,770,0
2019-01-15,665,815,665,815,6000
2019-01-16,735,765,655,765,3300
2019-01-17,735,735,735,735,0
2019-01-18,620,770,620,770,3900
2019-01-21,670,720,640,640,3600
2019-01-22,625,670,625,670,500
2019-01-23,670,670,670,670,100
2019-01-24,710,720,625,720,400
2019-01-25,700,700,665,665,200
2019-01-28,530,700,530,700,1300
2019-01-29,530,530,530,530,0
2019-01-30,650,750,600,600,7800
2019-01-31,645,645,645,645,200
2019-02-01,650,720,600,720,1300
2019-02-04,660,695,650,650,8400
2019-02-05,660,660,660,660,0
2019-02-06,700,700,565,700,2400
2019-02-07,680,690,565,690,4800
2019-02-08,680,680,680,680,0
2019-02-11,685,690,645,690,700
2019-02-12,685,685,685,685,0
2019-02-13,685,685,685,685,0
2019-02-14,685,685,685,685,0
2019-02-15,650,800,650,695,8700
2019-02-18,625,785,620,730,3900
2019-02-19,680,690,625,625,6600
2019-02-20,680,680,680,680,0
2019-02-21,680,680,680,680,0
2019-02-22,690,700,690,700,400
2019-02-25,690,690,690,690,0
2019-02-26,690,690,690,690,0
2019-02-27,690,690,690,690,0
2019-02-28,690,740,690,740,300
2019-03-01,690,740,690,740,2100
2019-03-04,690,690,690,690,0
2019-03-05,690,690,690,690,0
2019-03-06,660,740,540,740,1100
2019-03-07,660,660,660,660,0
2019-03-08,675,700,675,700,2400
2019-03-11,675,675,675,675,0
2019-03-12,630,630,570,570,3000
2019-03-13,630,630,630,630,0
2019-03-14,630,630,630,630,0
2019-03-15,630,630,600,605,400
2019-03-18,600,625,535,625,1400
2019-03-19,580,690,580,600,8800
2019-03-20,680,700,600,600,2900
2019-03-21,630,700,630,630,3200
2019-03-22,650,650,650,650,200
2019-03-25,650,650,650,650,0
2019-03-26,610,655,610,655,300
2019-03-27,610,610,610,610,0
2019-03-28,610,610,610,610,0
2019-03-29,610,610,610,610,0
2019-04-01,610,610,610,610,0
2019-04-02,610,610,610,610,0
2019-04-03,610,610,610,610,0
2019-04-04,610,610,610,610,0
2019-04-05,610,610,610,610,0
2019-04-08,640,640,640,640,100
2019-04-09,660,660,660,660,100
2019-04-10,660,660,660,660,0
2019-04-11,660,660,660,660,0
2019-04-12,690,690,660,660,500
2019-04-15,690,690,690,690,0
2019-04-16,690,690,690,690,0
2019-04-17,690,690,690,690,0
2019-04-18,690,690,690,690,0
2019-04-19,690,690,690,690,0
2019-04-22,690,690,690,690,0
2019-04-23,690,690,690,690,0
2019-04-24,630,630,630,630,3100
2019-04-25,520,640,520,640,700
2019-04-26,620,630,550,560,2500
2019-04-29,615,615,550,610,5600
2019-04-30,610,610,555,555,500
2019-05-01,610,610,610,610,0
2019-05-02,610,610,610,610,0
2019-05-03,630,640,550,640,5400
2019-05-06,630,630,630,630,0
2019-05-07,630,630,630,630,0
2019-05-08,630,630,630,630,0
2019-05-09,630,630,630,630,0
2019-05-10,630,630,630,630,0
2019-05-13,630,630,630,630,0
2019-05-14,610,610,480,480,2200
2019-05-15,650,650,650,650,100
2019-05-16,700,700,700,700,100
2019-05-17,700,700,700,700,0
2019-05-20,640,750,640,750,500
2019-05-21,670,690,670,690,200
2019-05-22,670,670,670,670,0
2019-05-23,670,670,670,670,0
2019-05-24,660,660,630,630,75200
2019-05-27,660,660,660,660,0
2019-05-28,710,710,710,710,100
2019-05-29,710,710,710,710,0
2019-05-30,710,710,710,710,0
2019-05-31,560,760,535,760,5900
2019-06-03,560,560,560,560,0
2019-06-04,560,560,560,560,0
2019-06-05,560,560,560,560,0
2019-06-06,560,560,560,560,0
2019-06-07,560,560,560,560,0
2019-06-10,580,580,575,575,200
2019-06-11,600,600,590,590,300
2019-06-12,540,545,520,520,400
2019-06-13,550,550,545,550,300
2019-06-14,555,555,555,555,100
2019-06-17,530,530,430,430,200
2019-06-18,520,520,454,500,1000
2019-06-19,510,510,474,474,1600
2019-06-20,470,510,470,510,200
2019-06-21,460,460,454,454,400
2019-06-24,474,476,460,460,500
2019-06-25,474,474,474,474,0
2019-06-26,460,460,460,460,100
2019-06-27,460,460,460,460,0
2019-06-28,444,444,444,444,200
2019-07-01,450,450,450,450,100
2019-07-02,450,450,450,450,0
2019-07-03,550,550,422,452,6400
2019-07-04,470,680,452,680,8600
2019-07-05,535,550,480,490,3800
2019-07-08,600,640,452,535,900
2019-07-09,615,690,615,690,3200
2019-07-10,615,615,615,615,0
2019-07-11,615,615,615,615,0
2019-07-12,690,690,615,615,300
2019-07-15,540,625,540,625,13100
2019-07-16,600,650,600,650,3300
2019-07-17,600,600,600,600,0
2019-07-18,600,600,600,600,100
2019-07-19,630,630,630,630,100
2019-07-22,476,476,476,476,100
2019-07-23,476,476,476,476,0
2019-07-24,476,476,476,476,0
2019-07-25,476,476,476,476,0
2019-07-26,476,476,476,476,0
2019-07-29,476,476,476,476,0
2019-07-30,476,476,476,476,0
2019-07-31,476,476,476,476,0
2019-08-01,458,520,458,520,2100
2019-08-02,570,570,480,560,2000
2019-08-05,710,710,650,660,25800
2019-08-06,650,710,560,700,5800
2019-08-07,670,680,625,680,1200
2019-08-08,690,700,690,700,300
2019-08-09,660,690,540,540,6500
2019-08-12,615,615,610,610,600
2019-08-13,695,695,615,615,2100
2019-08-14,715,745,715,745,1600
2019-08-15,715,715,715,715,0
2019-08-16,715,715,715,715,0
2019-08-19,640,640,575,575,5200
2019-08-20,620,620,580,580,600
2019-08-21,695,720,620,620,3200
2019-08-22,695,695,695,695,0
2019-08-23,720,720,720,720,100
2019-08-26,720,720,720,720,0
2019-08-27,690,770,580,770,600
2019-08-28,685,685,685,685,100
2019-08-29,720,720,720,720,100
2019-08-30,830,895,830,895,1300
2019-09-02,790,830,625,830,3200
2019-09-03,635,635,635,635,4000
2019-09-04,635,640,635,640,1500
2019-09-05,635,635,635,635,1100
2019-09-06,635,635,510,625,7600
2019-09-09,635,635,635,635,0
2019-09-10,635,635,635,635,0
2019-09-11,635,635,635,635,0
