timestamp,open,high,low,close,volume
2019-01-01,582,582,582,582,0
2019-01-02,565,595,565,582,8156300
2019-01-03,557,574,553,565,4749500
2019-01-04,561,574,553,557,8526400
2019-01-07,569,574,553,565,13501300
2019-01-08,574,595,565,574,27762400
2019-01-09,574,582,565,578,14531200
2019-01-10,569,578,569,574,12321900
2019-01-11,574,586,565,569,25089600
2019-01-14,569,582,557,574,4599700
2019-01-15,582,603,565,569,22489000
2019-01-16,586,595,582,590,22380500
2019-01-17,582,595,578,590,35588400
2019-01-18,616,633,582,582,32149100
2019-01-21,628,641,607,616,53401300
2019-01-22,624,633,616,628,19599200
2019-01-23,624,637,607,624,83147900
2019-01-24,637,641,624,633,116309600
2019-01-25,645,654,628,637,83167900
2019-01-28,645,650,633,645,25213500
2019-01-29,645,654,641,645,81127100
2019-01-30,675,688,645,645,74258300
2019-01-31,713,730,675,675,113899500
2019-02-01,683,742,671,713,100914700
2019-02-04,679,692,675,692,22272900
2019-02-05,679,679,679,679,0
2019-02-06,692,700,675,679,32156200
2019-02-07,713,725,688,696,63449300
2019-02-08,713,721,696,713,39988000
2019-02-11,704,717,688,713,24240800
2019-02-12,679,704,641,704,43447000
2019-02-13,679,692,675,683,16992700
2019-02-14,721,725,675,683,92413800
2019-02-15,704,730,688,721,32488600
2019-02-18,709,713,692,700,23228000
2019-02-19,696,713,688,709,11818500
2019-02-20,696,700,679,700,13892000
2019-02-21,683,700,679,696,20717900
2019-02-22,683,696,679,683,9618500
2019-02-25,675,692,666,692,20641800
2019-02-26,666,679,666,675,8012300
2019-02-27,650,675,645,675,10715200
2019-02-28,666,671,628,650,10524300
2019-03-01,671,675,662,666,11604700
2019-03-04,675,692,671,692,23154700
2019-03-05,658,675,650,675,12859600
2019-03-06,658,666,650,658,8070300
2019-03-07,658,658,658,658,0
2019-03-08,658,666,654,662,13784400
2019-03-11,675,675,658,662,7388200
2019-03-12,679,696,675,696,12473200
2019-03-13,675,683,671,675,7748200
2019-03-14,700,713,675,675,24093800
2019-03-15,688,709,683,700,10351200
2019-03-18,679,700,675,700,6069500
2019-03-19,675,683,671,683,12447800
2019-03-20,675,679,654,679,8756900
2019-03-21,675,683,671,683,6508400
2019-03-22,675,675,666,675,11628000
2019-03-25,641,666,637,662,12832800
2019-03-26,662,662,641,641,11354600
2019-03-27,637,658,637,658,15528400
