timestamp,open,high,low,close,volume
2019-01-01,165,165,165,165,0
2019-01-02,147,165,147,165,5100
2019-01-03,149,157,149,157,5100
2019-01-04,163,185,150,157,3400
2019-01-07,151,166,149,166,44200
2019-01-08,153,158,151,151,5700
2019-01-09,153,153,153,153,2300
2019-01-10,157,157,153,153,2600
2019-01-11,158,159,153,157,15000
2019-01-14,161,167,146,158,3900
2019-01-15,147,147,147,147,1500
2019-01-16,161,161,161,161,100
2019-01-17,161,161,161,161,0
2019-01-18,161,161,161,161,0
2019-01-21,161,161,161,161,0
2019-01-22,159,161,159,161,11700
2019-01-23,154,154,153,154,41500
2019-01-24,162,166,162,166,400
2019-01-25,162,162,162,162,0
2019-01-28,162,162,162,162,140800
2019-01-29,159,159,159,159,12100
2019-01-30,161,173,161,173,200
2019-01-31,163,173,163,173,2500
2019-02-01,166,186,163,163,24100
2019-02-04,167,170,166,170,54500
2019-02-05,167,167,167,167,0
2019-02-06,165,166,159,163,60600
2019-02-07,173,173,159,159,21500
2019-02-08,171,171,166,166,76300
2019-02-11,170,171,167,171,10900
2019-02-12,167,167,167,167,10500
2019-02-13,167,167,166,166,202600
2019-02-14,159,159,159,159,200
2019-02-15,159,159,159,159,2700
2019-02-18,166,166,166,166,800
2019-02-19,166,166,166,166,0
2019-02-20,166,166,166,166,0
2019-02-21,166,166,166,166,0
2019-02-22,166,166,166,166,0
2019-02-25,166,166,166,166,0
2019-02-26,171,179,171,175,1200
2019-02-27,175,175,169,169,54900
2019-02-28,175,175,173,175,1700
2019-03-01,173,174,173,174,5400
2019-03-04,173,173,173,173,0
2019-03-05,173,173,173,173,0
2019-03-06,173,174,173,174,11300
2019-03-07,173,173,173,173,0
2019-03-08,173,173,173,173,0
2019-03-11,167,167,167,167,17500
2019-03-12,173,173,170,170,44400
2019-03-13,177,177,174,174,33000
2019-03-14,177,177,177,177,0
2019-03-15,179,179,179,179,20800
2019-03-18,179,179,179,179,0
2019-03-19,179,179,179,179,0
2019-03-20,178,178,178,178,1900
2019-03-21,178,178,178,178,0
2019-03-22,178,178,178,178,0
2019-03-25,178,178,178,178,1600
2019-03-26,178,178,178,178,0
2019-03-27,181,182,181,182,1100
2019-03-28,182,186,182,186,83000
2019-03-29,182,182,182,182,0
2019-04-01,179,181,179,181,249400
2019-04-02,179,179,179,179,143800
2019-04-03,179,179,179,179,0
2019-04-04,179,179,173,179,7000
2019-04-05,182,185,182,185,600
2019-04-08,182,182,182,182,24300
2019-04-09,182,182,182,182,800
2019-04-10,181,181,174,174,2200
2019-04-11,175,175,173,174,1400
2019-04-12,173,186,173,186,3700
2019-04-15,185,185,185,185,100
2019-04-16,185,185,185,185,0
2019-04-17,185,185,185,185,0
2019-04-18,167,179,167,179,3100
2019-04-19,167,167,167,167,0
2019-04-22,167,167,167,167,100
2019-04-23,166,170,166,167,5200
2019-04-24,166,166,161,166,80200
2019-04-25,166,166,166,166,0
2019-04-26,166,166,166,166,1000
2019-04-29,178,178,178,178,4500
2019-04-30,183,185,179,185,3400
2019-05-01,183,183,183,183,0
2019-05-02,182,182,181,181,3600
2019-05-03,182,182,182,182,0
2019-05-06,182,182,182,182,0
2019-05-07,170,170,169,169,1500
2019-05-08,163,170,161,161,500
2019-05-09,177,177,177,177,1900
2019-05-10,179,179,179,179,300
2019-05-13,179,179,179,179,800
2019-05-14,179,179,179,179,100
2019-05-15,179,179,179,179,0
2019-05-16,173,173,173,173,1000
2019-05-17,173,173,171,171,22600
2019-05-20,173,173,173,173,0
2019-05-21,205,205,199,199,21700
2019-05-22,211,215,206,214,2500
2019-05-23,211,211,211,211,0
2019-05-24,203,210,199,210,49400
2019-05-27,218,218,203,203,79300
2019-05-28,221,221,214,214,72300
2019-05-29,219,226,187,221,507500
2019-05-30,219,219,219,219,0
2019-05-31,221,225,211,225,139400
2019-06-03,221,221,221,221,0
2019-06-04,221,221,221,221,0
2019-06-05,221,221,221,221,0
2019-06-06,221,221,221,221,0
2019-06-07,221,221,221,221,0
2019-06-10,201,221,198,221,124600
2019-06-11,201,214,201,201,15600
2019-06-12,202,205,201,201,36600
2019-06-13,202,206,201,202,145400
2019-06-14,205,205,202,202,23900
2019-06-17,202,206,202,205,6000
2019-06-18,209,209,202,202,20200
2019-06-20,214,214,212,212,1600
2019-06-21,214,215,208,214,104600
2019-06-24,212,212,208,208,100600
2019-06-25,211,212,211,212,3500
2019-06-26,211,211,211,211,32300
2019-06-27,211,211,211,211,1300
2019-06-28,211,211,211,211,0
2019-07-01,205,208,205,208,1500
2019-07-02,214,215,204,205,6300
2019-07-03,212,212,208,208,1300
2019-07-04,212,212,212,212,500
2019-07-05,215,215,215,215,109700
2019-07-08,215,215,215,215,5100
2019-07-09,215,215,215,215,2800
2019-07-10,202,215,202,215,2300
2019-07-11,205,206,201,202,32000
2019-07-12,206,206,206,206,23300
2019-07-15,209,209,209,209,1000
2019-07-16,209,209,209,209,0
2019-07-17,202,202,202,202,7200
2019-07-18,212,214,201,201,18100
2019-07-19,208,212,206,212,3400
2019-07-22,208,208,208,208,1700
2019-07-23,201,201,201,201,100
2019-07-24,201,201,201,201,0
2019-07-25,212,214,204,204,109500
2019-07-26,212,212,212,212,0
2019-07-29,214,215,214,215,11700
2019-07-30,206,212,186,212,101600
2019-07-31,206,206,206,206,117400
2019-08-01,206,206,201,201,10100
2019-08-02,208,208,194,206,300
2019-08-05,208,208,208,208,0
2019-08-06,206,206,206,206,100
2019-08-07,195,214,195,195,56800
2019-08-08,195,195,194,194,6500
2019-08-09,195,195,195,195,300
2019-08-12,201,201,195,195,57000
2019-08-13,201,201,201,201,1700
2019-08-14,204,204,204,204,600
2019-08-15,204,204,204,204,7200
2019-08-16,185,211,185,209,1000
2019-08-19,188,188,185,185,8400
2019-08-20,194,194,194,194,1700
2019-08-21,194,194,194,194,2100
2019-08-22,194,194,194,194,0
2019-08-23,194,208,182,194,7200
2019-08-26,201,201,201,201,94500
2019-08-27,201,201,201,201,0
2019-08-28,201,201,201,201,9200
2019-08-29,201,201,201,201,50000
2019-08-30,202,202,202,202,50100
2019-09-02,202,202,202,202,0
2019-09-03,202,202,202,202,0
2019-09-04,201,202,201,202,40700
2019-09-05,201,201,201,201,0
2019-09-06,212,212,201,201,19900
2019-09-09,208,214,208,208,2200
2019-09-10,208,208,208,208,1200
2019-09-11,208,208,208,208,1700
2019-09-12,206,206,206,206,29000
2019-09-13,206,206,206,206,200
2019-09-16,215,215,206,206,3600
2019-09-17,211,215,201,215,1300
2019-09-18,208,208,208,208,200
2019-09-19,206,206,206,206,40000
2019-09-20,206,206,206,206,50200
2019-09-23,205,206,205,206,1600
2019-09-24,204,204,204,204,3000
2019-09-25,204,204,204,204,20300
2019-09-26,204,204,204,204,100
2019-09-27,204,204,204,204,33000
2019-09-30,204,204,204,204,100
2019-10-01,204,204,204,204,0
2019-10-02,201,214,201,214,1000
2019-10-03,201,201,201,201,0
2019-10-04,201,201,201,201,0
2019-10-07,201,201,201,201,1500
2019-10-08,201,201,201,201,0
2019-10-09,189,208,189,201,1600
2019-10-10,191,196,191,194,1900
2019-10-11,188,191,186,186,2100
2019-10-14,188,188,188,188,1900
2019-10-15,188,188,188,188,0
2019-10-16,188,188,188,188,1000
2019-10-17,186,189,186,188,3000
2019-10-18,186,186,186,186,0
2019-10-21,186,186,186,186,0
2019-10-22,186,186,186,186,0
2019-10-23,185,185,185,185,100
2019-10-24,186,188,185,185,1800
2019-10-25,186,186,186,186,2000
2019-10-28,192,192,186,186,1200
2019-10-29,208,211,194,194,3600
2019-10-30,208,208,208,208,0
2019-10-31,208,208,208,208,0
2019-11-01,206,206,206,206,100
2019-11-04,205,208,204,204,4500
2019-11-05,205,205,205,205,0
2019-11-06,192,195,183,195,21000
2019-11-07,192,192,192,192,100
2019-11-08,192,192,192,192,0
2019-11-11,192,192,192,192,0
2019-11-12,189,189,179,186,1100
2019-11-13,186,189,186,189,1300
2019-11-14,179,186,179,186,3900
2019-11-15,166,166,166,166,100
2019-11-18,166,166,166,166,0
2019-11-19,169,169,168,168,1200
2019-11-20,169,169,169,169,300
