timestamp,open,high,low,close,volume
2023-02-08,101,141,101,115,689999800
2023-02-09,96,105,94,94,86919900
2023-02-10,120,122,96,97,495230200
2023-02-13,112,126,112,122,126197800
2023-02-14,108,116,105,105,189617800
2023-02-15,105,111,102,102,40157300
2023-02-16,108,113,106,106,75866500
2023-02-17,101,112,101,109,108390900
2023-02-20,94,99,94,94,54415300
2023-02-21,88,95,88,95,38689300
2023-02-22,90,96,82,82,61377000
2023-02-23,87,91,86,91,22850400
2023-02-24,87,90,85,88,15276500
2023-02-27,90,93,87,88,26281000
2023-02-28,88,92,88,91,10669600
2023-03-01,100,102,89,89,165816500
2023-03-02,95,106,94,101,140082500
2023-03-03,96,99,92,95,31665100
2023-03-06,100,102,96,97,47633000
2023-03-07,99,103,98,100,34860500
2023-03-08,97,104,96,99,30379700
2023-03-09,112,116,98,98,235982800
2023-03-10,110,118,106,114,155823000
2023-03-13,104,111,103,110,41676000
2023-03-14,98,106,97,103,48782900
2023-03-15,102,104,96,99,43903200
2023-03-16,99,105,98,102,50896700
2023-03-17,101,106,98,100,76529300
2023-03-20,110,111,101,102,153802700
2023-03-21,112,123,109,110,280615600
2023-03-24,110,116,107,112,48484000
2023-03-27,118,122,110,111,290239200
2023-03-28,113,119,113,117,143562600
2023-03-29,111,115,110,113,50151000
2023-03-30,115,117,109,111,144236100
2023-03-31,112,119,112,116,113401200
2023-04-03,114,115,110,112,32880100
2023-04-04,114,126,113,115,230130400
2023-04-05,112,117,112,115,28537100
2023-04-06,110,114,110,112,24706900
2023-04-10,103,112,103,110,33742400
2023-04-11,98,106,96,101,74417300
2023-04-12,100,102,98,99,16887600
2023-04-13,97,101,97,100,12473600
2023-04-14,97,103,97,97,34314700
2023-04-17,91,98,91,97,31959500
2023-04-18,90,92,87,90,23213000
2023-04-26,89,98,89,98,10611100
2023-04-27,93,95,88,90,31766400
2023-04-28,92,94,90,94,10637500
2023-05-02,90,93,89,91,8372800
2023-05-03,89,91,87,91,6990300
2023-05-04,90,91,87,89,4460100
2023-05-05,85,90,84,90,23675100
2023-05-08,86,90,82,85,31640200
2023-05-09,86,88,84,86,17057600
2023-05-10,86,87,84,86,6862900
2023-05-11,84,87,84,87,6360800
2023-05-12,83,86,79,79,2801100
2023-05-15,84,89,83,84,13684900
2023-05-16,86,87,84,84,3726100
2023-05-17,84,87,83,87,3589800
2023-05-19,79,85,79,85,29714500
2023-05-22,74,79,74,79,12598100
2023-05-23,69,72,69,69,18126500
2023-05-24,65,69,65,69,28931500
2023-05-25,61,66,61,61,16773400
2023-05-26,61,69,59,61,45820900
2023-05-29,59,62,57,61,9660700
2023-05-30,60,62,58,62,7434100
2023-05-31,56,61,56,60,6619500
2023-06-05,58,62,52,56,8768900
2023-06-06,60,62,56,59,5365200
2023-06-07,61,61,57,57,2573900
2023-06-08,65,66,61,61,9324200
2023-06-09,70,76,62,66,20168600
2023-06-12,68,73,68,70,10393200
2023-06-13,65,69,60,69,6682500
2023-06-14,67,67,64,65,2459200
2023-06-15,71,71,65,68,6551600
2023-06-16,71,72,68,72,4524000
2023-06-19,69,72,67,67,3794700
2023-06-20,75,77,69,71,21489100
2023-06-21,73,77,73,76,6995000
2023-06-22,76,76,71,74,5081700
2023-06-23,76,79,76,77,10684700
2023-06-26,79,80,73,76,8029400
2023-06-27,73,80,70,80,10672100
2023-07-03,74,78,68,73,7418600
2023-07-04,78,83,73,78,9914300
2023-07-05,76,78,75,78,2725600
2023-07-06,78,79,75,77,5034000
2023-07-07,78,80,77,79,6472100
2023-07-10,76,79,73,79,5336000
2023-07-11,74,78,71,77,10700500
2023-07-12,71,75,71,75,8153200
2023-07-13,73,74,71,72,1912900
2023-07-14,73,74,72,73,1694300
2023-07-17,71,74,71,74,1812000
2023-07-18,72,73,71,73,1582000
2023-07-20,74,77,70,72,5989700
2023-07-21,72,75,71,75,2694700
2023-07-24,72,73,71,72,2604600
2023-07-25,72,73,71,72,1820000
2023-07-26,72,73,71,72,2677700
2023-07-27,71,73,71,71,2554400
2023-07-28,73,73,70,72,2886600
2023-07-31,69,73,69,73,5552000
2023-08-01,70,74,63,68,9252500
2023-08-02,73,74,70,71,2170900
2023-08-03,70,73,70,73,1106200
2023-08-04,69,71,69,70,442600
2023-08-07,69,70,68,69,661800
2023-08-08,68,70,66,69,935700
2023-08-09,65,68,58,68,1429700
2023-08-10,64,68,63,65,846800
2023-08-11,66,67,63,65,903900
2023-08-14,63,66,62,65,1392600
2023-08-15,62,65,60,64,1133500
2023-08-16,62,64,59,61,2371600
2023-08-18,63,64,60,60,787500
2023-08-21,66,69,63,64,1007400
2023-08-22,65,67,63,67,953600
2023-08-23,65,71,64,71,488900
2023-08-24,67,70,64,70,842400
2023-08-25,66,72,65,72,613600
2023-08-28,64,66,64,66,470100
2023-08-29,66,68,63,64,794200
2023-08-30,71,74,64,66,8818700
2023-08-31,76,85,70,72,42577700
2023-09-01,76,81,76,77,19054600
2023-09-04,71,76,70,76,7430600
2023-09-05,70,73,70,72,1663200
2023-09-06,70,72,70,70,1147100
2023-09-07,71,72,67,70,1329200
