timestamp,open,high,low,close,volume
2024-10-08,200,262,199,262,664290100
2024-10-09,194,202,184,202,159104400
2024-10-10,208,208,196,196,133087600
2024-10-11,200,210,198,210,47644500
2024-10-14,202,204,194,202,31424200
2024-10-15,198,202,196,202,21110900
2024-10-16,196,202,196,198,17958300
2024-10-17,195,198,193,197,25117600
2024-10-18,200,208,195,196,54802800
2024-10-21,200,204,199,199,10947600
2024-10-22,198,204,197,200,15436200
2024-10-23,197,199,194,197,10861900
2024-10-24,196,198,195,196,8308000
2024-10-25,195,196,193,195,10376700
2024-10-28,195,196,190,190,15975900
2024-10-29,195,197,185,185,13933500
2024-10-30,196,196,193,195,6353000
2024-10-31,196,202,195,196,16574200
2024-11-01,196,197,194,196,8565600
2024-11-04,190,197,190,196,28164600
2024-11-05,194,195,181,191,29991000
2024-11-06,196,197,192,194,9525000
2024-11-07,197,198,194,195,7582200
2024-11-08,196,198,195,197,6593700
2024-11-11,195,196,193,195,4329900
2024-11-12,195,196,193,196,2829700
2024-11-13,194,199,193,195,7084800
2024-11-14,194,195,193,194,2385500
2024-11-15,190,196,189,193,4328600
2024-11-18,184,190,184,190,3810800
2024-11-19,180,184,160,160,28133300
2024-11-20,163,182,162,170,23573000
2024-11-21,169,174,156,163,14016300
2024-11-22,174,190,160,160,35496000
2024-11-25,168,176,167,174,6060000
2024-11-26,164,169,158,158,6059100
2024-11-28,160,171,147,147,6648700
2024-11-29,145,165,142,150,7786100
2024-12-02,139,148,135,135,5831300
2024-12-03,141,148,135,135,4906700
2024-12-04,142,150,122,122,4823900
2024-12-05,146,157,133,133,9896100
2024-12-06,142,148,137,137,3082400
2024-12-09,137,143,135,142,3726400
2024-12-10,134,140,134,138,2335900
2024-12-11,134,137,132,134,3909600
2024-12-12,132,136,132,134,966600
2024-12-13,125,133,124,132,4937900
2024-12-16,130,144,117,125,24846700
2024-12-17,133,140,127,130,10821300
2024-12-18,132,137,129,133,5015100
2024-12-19,126,133,124,132,5573200
2024-12-20,129,133,123,128,10769600
2024-12-23,146,146,129,129,31951500
2024-12-24,137,150,137,146,15783200
2024-12-27,155,158,136,137,41001400
2024-12-30,162,165,151,157,43277500
2025-01-02,150,163,147,162,13226200
2025-01-03,147,151,144,150,8316200
2025-01-06,140,149,140,146,7448000
2025-01-07,135,142,135,142,4498200
2025-01-08,140,143,129,135,20859800
2025-01-09,134,142,133,140,8511800
2025-01-10,130,136,130,134,7865700
2025-01-13,130,131,126,131,4593600
2025-01-14,129,133,127,130,5595300
2025-01-15,128,129,126,129,2946200
2025-01-16,134,135,127,129,9617200
2025-01-17,132,136,129,135,5527100
2025-01-20,130,133,129,133,3594100
2025-01-21,132,136,130,131,9140100
2025-01-22,131,134,130,132,5573400
2025-01-23,129,132,127,132,5173400
2025-01-24,130,131,127,129,5183600
2025-01-30,129,131,129,130,2814800
