timestamp,open,high,low,close,volume
2024-02-27,153,162,122,158,947965200
2024-02-28,125,173,123,153,599989100
2024-02-29,112,136,110,126,115169900
2024-03-01,132,133,114,114,186843500
2024-03-04,123,137,118,132,104660600
2024-03-05,121,130,116,116,40742000
2024-03-06,125,127,122,123,27386700
2024-03-07,129,131,125,126,33743000
2024-03-08,126,133,126,130,22814400
2024-03-13,128,130,126,126,19447800
2024-03-14,131,134,125,128,23961600
2024-03-15,129,133,126,132,16115400
2024-03-18,131,134,127,129,22967200
2024-03-19,138,145,130,132,82488600
2024-03-20,141,149,137,138,68428300
2024-03-21,160,165,143,143,74493200
2024-03-22,150,168,146,161,66672000
2024-03-25,150,150,150,150,0
2024-03-26,150,150,150,150,0
2024-03-27,168,174,150,170,38776800
2024-03-28,160,171,159,169,25770800
2024-04-01,169,170,150,150,18966400
2024-04-02,171,175,164,169,16901700
2024-04-03,193,215,167,170,93237100
2024-04-04,191,202,183,193,21135600
2024-04-05,193,202,185,191,27223900
2024-04-16,202,209,185,192,33209000
2024-04-17,225,229,200,202,44615000
2024-04-18,221,237,221,227,25475300
2024-04-19,231,237,219,221,13505200
2024-04-22,243,249,229,231,24021300
2024-04-23,249,259,231,243,21460500
2024-04-24,225,251,219,251,21198700
2024-04-25,255,257,225,225,39309600
2024-04-26,257,261,243,255,18748300
2024-04-29,273,279,255,255,17509300
2024-04-30,283,285,267,273,55815800
2024-05-02,277,291,277,283,20797200
2024-05-03,291,291,267,279,37206600
2024-05-06,293,303,285,293,27471000
2024-05-07,305,307,291,293,52443600
2024-05-08,315,315,301,305,15795600
2024-05-13,325,325,313,315,11944000
2024-05-14,323,331,319,327,41924400
2024-05-15,333,333,319,321,51306800
2024-05-16,343,347,331,333,25144100
2024-05-17,347,349,335,343,38374100
2024-05-20,337,349,331,347,37284200
2024-05-21,351,351,335,337,27807300
2024-05-22,359,363,349,353,22544200
2024-05-27,365,365,357,359,33456100
2024-05-28,367,369,363,365,24953800
2024-05-29,369,371,363,367,11190700
2024-05-30,367,369,359,369,17767000
2024-05-31,369,371,357,357,14059300
2024-06-03,373,373,367,369,36918600
2024-06-04,383,383,371,375,45436900
2024-06-05,387,387,377,383,11521100
2024-06-06,403,403,385,387,21379500
2024-06-07,409,413,401,403,14527000
2024-06-10,417,417,401,409,37718900
2024-06-11,419,419,409,417,23524900
2024-06-12,413,419,409,419,10328400
2024-06-13,419,421,411,413,23351800
2024-06-14,420,422,416,416,6501600
2024-06-19,430,430,418,420,11921200
2024-06-20,432,448,428,448,9965200
2024-06-21,426,432,420,432,38987000
2024-06-24,432,434,424,426,23610200
2024-06-25,436,438,432,432,9247300
2024-06-26,436,438,430,430,5106300
2024-06-27,442,442,434,436,9568200
2024-06-28,446,460,440,460,12599800
2024-07-01,450,456,392,392,47881600
2024-07-02,454,468,446,468,20250900
2024-07-03,464,464,418,418,13390200
2024-07-04,478,478,462,464,8319900
2024-07-05,478,484,472,478,9939900
2024-07-08,478,482,456,476,40610300
2024-07-09,490,490,476,478,8178800
2024-07-10,500,510,488,490,10562600
2024-07-11,505,520,498,500,16792800
2024-07-12,515,515,500,505,7896700
2024-07-15,515,525,510,515,10766400
2024-07-16,500,520,500,515,12148800
2024-07-17,525,525,490,490,12499300
2024-07-18,535,540,525,525,10097000
2024-07-19,535,545,510,535,18011300
2024-07-22,545,550,530,535,19219400
2024-07-23,555,555,545,545,10371800
2024-07-24,565,565,550,555,10168000
2024-07-25,575,580,560,565,10242600
2024-07-26,570,585,570,585,7594100
2024-07-29,570,580,565,580,5361600
2024-07-30,580,580,570,575,9333400
