timestamp,open,high,low,close,volume
2019-01-01,295,295,295,295,0
2019-01-02,267,315,252,256,5526400
2019-01-03,256,267,246,267,4477400
2019-01-04,256,256,242,256,5950700
2019-01-07,258,273,242,252,8292100
2019-01-08,252,277,252,258,7807100
2019-01-09,254,267,254,256,7840100
2019-01-10,256,266,254,256,4660200
2019-01-11,264,269,254,254,6292800
2019-01-14,258,265,258,265,3140400
2019-01-15,256,262,256,258,3395700
2019-01-16,254,260,254,256,2878500
2019-01-17,248,260,244,254,3383200
2019-01-18,246,248,236,248,4835800
2019-01-21,295,307,240,246,12039100
2019-01-22,285,295,283,295,3583900
2019-01-23,281,295,281,285,5875300
2019-01-24,279,287,279,283,5265100
2019-01-25,273,283,273,277,4043700
2019-01-28,273,275,264,273,3008800
2019-01-29,273,277,271,273,4560100
2019-01-30,277,279,271,273,3372500
2019-01-31,271,281,271,277,4630000
2019-02-01,271,281,271,271,3490300
2019-02-04,281,281,269,269,4145100
2019-02-05,281,281,281,281,0
2019-02-06,275,281,269,281,4219700
2019-02-07,271,275,269,275,3626200
2019-02-08,275,293,267,271,6412100
2019-02-11,269,277,267,275,3560300
2019-02-12,271,271,267,269,4623700
2019-02-13,269,275,267,271,3674500
2019-02-14,269,275,267,269,3922600
2019-02-15,285,295,269,269,6258000
2019-02-18,315,344,285,287,4470100
2019-02-19,324,324,315,315,4085300
2019-02-20,344,354,305,325,6199300
2019-02-21,344,354,334,352,4341900
2019-02-22,344,344,336,342,5581300
2019-02-25,360,364,344,344,10038400
2019-02-26,352,364,352,360,4017600
2019-02-27,350,354,350,352,4081400
2019-02-28,348,352,348,350,3389300
2019-03-01,352,352,346,348,3163700
2019-03-04,348,352,348,352,2715700
2019-03-05,344,348,344,348,2099600
2019-03-06,344,346,342,344,2244600
2019-03-07,344,344,344,344,0
2019-03-08,342,344,342,344,2983400
2019-03-11,346,348,342,342,2254000
2019-03-12,342,348,340,348,6020400
2019-03-13,332,342,332,338,3221200
2019-03-14,321,323,317,321,2629500
2019-03-15,315,321,315,321,3299400
2019-03-18,326,336,315,315,7293600
2019-03-19,330,346,330,332,5984300
2019-03-20,328,340,328,330,2839900
2019-03-21,324,336,323,328,2560500
2019-03-22,324,328,321,323,2985300
2019-03-25,319,325,319,323,4126700
2019-03-26,321,328,321,321,2460700
2019-03-27,315,321,315,321,1688300
2019-03-28,317,321,317,319,1651500
2019-03-29,305,325,303,323,2991900
2019-04-01,299,317,297,315,2753900
2019-04-02,307,315,293,299,3385600
2019-04-03,307,307,307,307,0
2019-04-04,311,317,307,313,4357000
2019-04-05,299,311,299,311,809300
2019-04-08,291,299,289,299,1321300
2019-04-09,297,297,293,293,3148400
2019-04-10,289,303,289,297,2878900
2019-04-11,281,293,281,289,1754700
2019-04-12,287,287,279,281,1946100
2019-04-15,271,287,269,285,3931200
