timestamp,open,high,low,close,volume
2022-04-25,135,135,114,130,1050397000
2022-04-26,182,182,150,150,499856400
2022-04-27,242,244,184,192,1828680700
2022-04-28,226,258,226,246,325338400
2022-05-09,212,266,212,246,135430800
2022-05-10,198,198,198,198,132217300
2022-05-11,185,185,185,185,65510700
2022-05-12,173,182,173,173,896663500
2022-05-13,161,204,161,164,564479000
2022-05-17,170,193,150,150,725655900
2022-05-18,159,179,159,170,999082000
2022-05-19,148,163,148,153,772549700
2022-05-20,138,148,138,148,36969000
2022-05-23,131,131,129,129,197358000
2022-05-24,176,176,131,132,1976346100
2022-05-25,164,182,164,178,275979200
2022-05-27,153,174,153,174,49264800
2022-05-30,156,165,143,143,1434758900
2022-05-31,146,180,146,156,2868641900
2022-06-02,136,148,136,136,781180200
2022-06-03,127,152,127,133,1828045700
2022-06-06,119,134,119,127,2270993400
2022-06-07,111,113,111,113,282005000
2022-06-08,104,106,104,104,280652500
2022-06-09,97,97,97,97,104884400
2022-06-10,91,91,91,91,174031800
2022-06-13,112,119,91,91,1410203100
2022-06-14,105,119,105,113,1035716000
2022-06-15,98,112,98,104,1435276400
2022-06-16,102,107,94,98,642474500
2022-06-17,109,115,102,102,1196880100
2022-06-20,113,119,108,109,992215900
2022-06-21,106,119,106,113,1155800400
2022-06-22,99,104,99,99,1415781800
2022-06-23,93,98,93,93,984240000
2022-06-24,87,91,87,87,1620981200
2022-06-27,81,84,81,81,825094200
2022-06-28,76,77,76,76,386883700
2022-06-29,80,80,71,71,727165400
2022-06-30,75,82,75,80,608773000
2022-07-01,70,70,70,70,292006100
2022-07-04,66,76,66,66,1028959700
2022-07-05,62,64,62,62,522994700
2022-07-06,58,59,58,58,314074100
2022-07-07,54,59,54,54,1498615800
2022-07-08,52,54,52,52,218713500
2022-07-11,53,53,52,53,52958100
2022-07-12,52,53,52,53,33711800
2022-07-13,52,53,52,53,21945400
2022-07-14,52,53,52,53,20772500
2022-07-15,52,53,52,52,26095600
2022-07-18,52,53,52,52,18738300
2022-07-19,52,53,52,52,30530700
2022-07-20,52,53,52,53,37930700
2022-07-21,52,53,52,53,14073900
2022-07-22,53,53,52,52,30238900
2022-07-25,63,65,53,53,641414500
2022-07-26,74,74,62,64,826282800
2022-07-27,69,79,69,74,773020500
2022-07-28,66,73,65,67,502103500
2022-07-29,62,71,62,66,928250100
2022-08-01,58,64,58,63,1158944100
2022-08-02,57,59,54,55,1137114000
2022-08-03,54,58,54,57,1226296700
2022-08-04,51,55,51,54,767258900
2022-08-05,51,51,50,50,112558800
2022-08-08,50,51,50,51,79119300
2022-08-09,50,51,50,50,36389600
2022-08-10,50,51,50,50,16256100
2022-08-11,50,50,50,50,6732900
2022-08-12,50,50,50,50,7597700
2022-08-15,50,50,50,50,3272200
2022-08-16,50,50,50,50,2520400
2022-08-18,50,50,50,50,7559000
2022-08-19,50,50,50,50,6165800
2022-08-22,50,50,50,50,1327200
2022-08-23,50,50,50,50,5469500
2022-08-24,50,50,50,50,2701600
2022-08-25,50,50,50,50,910300
2022-08-26,50,50,50,50,4996800
2022-08-29,52,54,50,50,125197700
2022-08-30,50,54,50,52,43737200
2022-08-31,50,51,50,50,35278200
2022-09-01,50,51,50,50,28093200
2022-09-02,50,50,50,50,3022600
2022-09-05,50,50,50,50,2846700
2022-09-06,50,50,50,50,2797300
2022-09-07,50,51,50,50,25874400
2022-09-08,50,51,50,51,28476800
2022-09-09,50,51,50,50,13840700
2022-09-12,51,51,50,50,13208500
2022-09-13,50,51,50,51,12937000
2022-09-14,50,50,50,50,2263400
2022-09-15,50,50,50,50,966000
2022-09-16,50,50,50,50,2218500
2022-09-19,50,50,50,50,897100
2022-09-20,50,50,50,50,942700
2022-09-21,50,50,50,50,4899000
2022-09-22,50,50,50,50,538400
2022-09-23,50,50,50,50,241500
2022-09-26,50,50,50,50,783700
2022-09-27,50,50,50,50,168900
2022-09-28,50,50,50,50,1000800
2022-09-29,50,50,50,50,166000
2022-09-30,50,50,50,50,213800
2022-10-03,50,50,50,50,167100
2022-10-04,50,50,50,50,210200
2022-10-05,50,50,50,50,222700
2022-10-06,50,50,50,50,252600
2022-10-07,50,50,50,50,354200
2022-10-10,50,50,50,50,403800
2022-10-11,50,50,50,50,141000
2022-10-12,50,50,50,50,147400
2022-10-13,50,50,50,50,85400
2022-10-14,50,50,50,50,213000
2022-10-17,50,50,50,50,155100
2022-10-18,50,50,50,50,128600
2022-10-19,50,50,50,50,178400
2022-10-20,50,50,50,50,511500
2022-10-21,50,50,50,50,107000
2022-10-24,50,50,50,50,477900
2022-10-25,50,50,50,50,764400
2022-10-26,50,50,50,50,533400
2022-10-27,50,50,50,50,253200
2022-10-28,50,50,50,50,43000
2022-10-31,50,50,50,50,32100
2022-11-01,50,50,50,50,75900
2022-11-02,50,50,50,50,778700
2022-11-03,50,50,50,50,87100
2022-11-04,50,50,50,50,23600
2022-11-07,50,50,50,50,32200
2022-11-08,50,50,50,50,88800
2022-11-09,50,50,50,50,329100
2022-11-10,50,50,50,50,19500
2022-11-11,50,50,50,50,158100
2022-11-14,50,50,50,50,152300
2022-11-15,50,50,50,50,62900
2022-11-16,50,50,50,50,36200
2022-11-17,50,50,50,50,36100
2022-11-18,50,50,50,50,43600
2022-11-21,50,50,50,50,21600
2022-11-22,50,50,50,50,40100
2022-11-23,50,50,50,50,474400
2022-11-24,50,50,50,50,48100
2022-11-25,50,50,50,50,27700
2022-11-28,50,50,50,50,293300
2022-11-29,50,50,50,50,80800
2022-11-30,50,50,50,50,162000
2022-12-01,50,50,50,50,56600
2022-12-02,50,50,50,50,45300
2022-12-05,50,50,50,50,37200
2022-12-06,50,50,50,50,27500
2022-12-07,50,50,50,50,59300
2022-12-08,50,50,50,50,15400
2022-12-09,50,50,50,50,149600
2022-12-12,50,50,50,50,66800
2022-12-13,50,50,50,50,23100
2022-12-14,50,50,50,50,34400
2022-12-15,50,50,50,50,105500
2022-12-16,50,50,50,50,44300
2022-12-19,50,50,50,50,32400
2022-12-20,50,50,50,50,58000
2022-12-21,50,50,50,50,3200
2022-12-22,50,50,50,50,533500
2022-12-23,50,50,50,50,5500
2022-12-26,50,50,50,50,187800
2022-12-27,50,50,50,50,48600
2022-12-28,50,50,50,50,5000
2022-12-29,50,50,50,50,17800
2022-12-30,50,50,50,50,50000
2023-01-02,50,50,50,50,45000
2023-01-03,50,50,50,50,114400
2023-01-04,50,50,50,50,69500
2023-01-05,50,50,50,50,26700
2023-01-06,50,50,50,50,44600
2023-01-09,50,50,50,50,69300
2023-01-10,50,50,50,50,448000
2023-01-11,50,50,50,50,10100
2023-01-12,50,50,50,50,56600
2023-01-13,50,50,50,50,30000
2023-01-16,50,50,50,50,34800
2023-01-17,50,50,50,50,13900
2023-01-18,50,50,50,50,11900
2023-01-19,50,50,50,50,9700
2023-01-20,50,50,50,50,10600
2023-01-24,50,50,50,50,72300
2023-01-25,50,50,50,50,146600
2023-01-26,50,50,50,50,14500
2023-01-27,50,50,50,50,93700
2023-01-30,50,50,50,50,30300
2023-01-31,50,50,50,50,7800
2023-02-01,50,50,50,50,20700
2023-02-02,50,50,50,50,27200
2023-02-03,50,50,50,50,135100
2023-02-06,50,50,50,50,32700
2023-02-07,50,50,50,50,15900
2023-02-08,50,50,50,50,82100
2023-02-09,50,50,50,50,10800
2023-02-10,50,50,50,50,2900
2023-02-13,50,50,50,50,40600
2023-02-14,50,50,50,50,69200
2023-02-15,50,50,50,50,5700
2023-02-16,50,50,50,50,9600
2023-02-17,50,50,50,50,11800
2023-02-20,50,50,50,50,6600
2023-02-21,50,50,50,50,63800
2023-02-22,50,50,50,50,43800
2023-02-23,50,50,50,50,8500
2023-02-24,50,50,50,50,18500
2023-02-27,50,50,50,50,1275600
2023-02-28,50,50,50,50,12200
2023-03-01,50,50,50,50,82100
2023-03-02,50,50,50,50,2500
2023-03-03,50,50,50,50,27300
2023-03-06,50,50,50,50,344200
2023-03-07,50,50,50,50,1600
2023-03-08,50,50,50,50,14100
2023-03-09,50,50,50,50,14700
2023-03-10,50,50,50,50,25500
2023-03-13,50,50,50,50,18700
2023-03-14,50,50,50,50,7500
2023-03-15,50,50,50,50,2200
2023-03-16,50,50,50,50,8400
2023-03-17,50,50,50,50,2100
2023-03-20,50,50,50,50,17000
2023-03-21,50,50,50,50,1021400
2023-03-24,50,50,50,50,11300
2023-03-27,50,50,50,50,17400
2023-03-28,50,50,50,50,122100
2023-03-29,50,50,50,50,28800
2023-03-30,50,50,50,50,118700
2023-03-31,50,50,50,50,6200
2023-04-03,50,50,50,50,14700
2023-04-04,50,50,50,50,16200
2023-04-05,50,50,50,50,23400
2023-04-06,50,50,50,50,11900
2023-04-10,50,50,50,50,11800
2023-04-11,50,50,50,50,14300
2023-04-12,50,50,50,50,2500
2023-04-13,50,50,50,50,31000
2023-04-14,50,50,50,50,2900
2023-04-17,50,50,50,50,800
2023-04-18,50,50,50,50,7600
2023-04-26,50,50,50,50,14900
2023-04-27,50,50,50,50,18200
2023-04-28,50,50,50,50,3700
2023-05-02,50,50,50,50,21800
2023-05-03,50,50,50,50,101600
2023-05-04,50,50,50,50,22300
2023-05-05,50,50,50,50,1400
2023-05-08,50,50,50,50,14300
2023-05-09,50,50,50,50,24800
2023-05-10,50,50,50,50,47900
2023-05-11,50,50,50,50,50500
2023-05-12,50,50,50,50,19200
2023-05-15,50,50,50,50,89000
2023-05-16,50,50,50,50,12200
2023-05-17,50,50,50,50,500
2023-05-19,50,50,50,50,64300
2023-05-22,50,50,50,50,2200
2023-05-23,50,50,50,50,11000
2023-05-24,50,50,50,50,1500
2023-05-25,50,50,50,50,71200
2023-05-26,50,50,50,50,4200
2023-05-29,50,50,50,50,60400
2023-05-30,50,50,50,50,101900
2023-05-31,50,50,50,50,7600
2023-06-05,50,50,50,50,500
2023-06-06,50,50,50,50,3600
2023-06-07,50,50,50,50,2700
2023-06-08,50,50,50,50,635600
2023-06-09,50,50,50,50,20400
2023-06-12,50,50,50,50,18100
