timestamp,open,high,low,close,volume
2019-01-01,235,235,235,235,0
2019-01-02,239,241,235,235,324100
2019-01-03,236,244,235,239,634600
2019-01-04,239,241,236,238,338400
2019-01-07,236,241,235,239,342400
2019-01-08,239,239,236,236,244200
2019-01-09,238,244,233,241,1113700
2019-01-10,235,238,233,238,893600
2019-01-11,241,242,236,236,1677800
2019-01-14,242,247,238,241,1825600
2019-01-15,244,247,242,242,277600
2019-01-16,239,244,238,244,868300
2019-01-17,238,242,238,239,716300
2019-01-18,241,244,238,238,718800
2019-01-21,260,260,241,242,5116900
2019-01-22,257,271,254,260,1909800
2019-01-23,265,268,256,257,1628700
2019-01-24,269,271,262,269,363600
2019-01-25,272,277,268,269,3651300
2019-01-28,277,280,272,272,983400
2019-01-29,275,280,263,277,687600
2019-01-30,278,278,271,272,588700
2019-01-31,295,296,274,278,2747300
2019-02-01,296,299,286,295,270400
2019-02-04,295,299,290,296,278300
2019-02-05,295,295,295,295,0
2019-02-06,296,298,289,295,1295500
2019-02-07,296,299,293,296,589500
2019-02-08,295,298,290,296,395200
2019-02-11,298,299,284,295,1473100
2019-02-12,302,313,296,301,4529300
2019-02-13,304,308,298,302,1357700
2019-02-14,299,305,292,304,1184500
2019-02-15,281,304,277,301,2148300
2019-02-18,283,286,268,281,2682600
2019-02-19,283,290,275,280,3408300
2019-02-20,280,283,272,283,985900
2019-02-21,275,280,271,280,1716200
2019-02-22,280,284,271,275,1036900
2019-02-25,274,284,274,281,646700
2019-02-26,271,277,269,274,786200
2019-02-27,277,278,271,271,411900
2019-02-28,278,281,272,277,1110200
2019-03-01,280,287,274,274,1248400
2019-03-04,278,286,278,286,1070300
2019-03-05,271,278,271,278,616900
2019-03-06,271,275,269,271,843100
2019-03-07,271,271,271,271,0
2019-03-08,269,274,265,271,712600
2019-03-11,275,275,268,269,407100
2019-03-12,272,277,271,274,289800
2019-03-13,275,278,271,275,1274700
2019-03-14,272,277,268,275,1450000
2019-03-15,275,281,271,274,4401000
2019-03-18,287,289,277,278,7144700
2019-03-19,287,296,287,290,5147300
2019-03-20,283,289,280,287,3429400
2019-03-21,282,288,275,285,3659000
2019-03-22,282,285,282,285,517900
2019-03-25,282,283,277,283,1637600
2019-03-26,278,282,277,282,824000
2019-03-27,280,283,278,278,251900
2019-03-28,278,282,277,277,396500
2019-03-29,277,280,275,277,400600
2019-04-01,272,277,271,277,619900
2019-04-02,277,278,269,271,419200
2019-04-03,277,277,277,277,0
2019-04-04,278,282,275,275,362600
2019-04-05,277,282,275,282,329000
2019-04-08,280,288,280,283,805800
2019-04-09,286,286,282,283,403800
2019-04-10,286,293,285,286,3581500
2019-04-11,286,288,285,286,217900
2019-04-12,283,288,280,286,119000
2019-04-15,283,286,282,286,541500
2019-04-16,286,286,283,285,371200
2019-04-17,286,286,286,286,0
2019-04-18,285,293,283,286,441300
2019-04-19,285,285,285,285,0
2019-04-22,286,286,280,285,446900
2019-04-23,285,286,282,286,253300
2019-04-24,283,286,283,285,794900
2019-04-25,280,285,278,285,378800
2019-04-26,282,282,280,280,131900
2019-04-29,272,285,266,280,1699000
2019-04-30,269,274,264,274,4183700
2019-05-01,269,269,269,269,0
2019-05-02,267,269,263,263,625800
2019-05-03,267,271,266,267,1293700
2019-05-06,266,280,264,267,3857600
2019-05-07,266,274,263,266,302500
2019-05-08,263,269,261,269,360100
2019-05-09,259,267,259,267,315200
2019-05-10,261,261,256,259,101500
2019-05-13,258,261,258,261,14500
2019-05-14,252,258,245,258,499600
2019-05-15,247,253,245,252,297500
2019-05-16,244,256,239,247,246400
2019-05-17,229,247,229,247,307000
2019-05-20,242,244,228,229,276500
2019-05-21,252,252,244,244,373500
2019-05-22,248,252,245,252,21500
2019-05-23,253,256,252,256,89400
2019-05-24,255,256,252,256,19100
2019-05-27,252,255,250,255,184100
2019-05-28,248,252,248,252,29000
2019-05-29,247,248,245,248,41100
2019-05-30,247,247,247,247,0
2019-05-31,258,258,247,247,484600
2019-06-03,258,258,258,258,0
2019-06-04,258,258,258,258,0
2019-06-05,258,258,258,258,0
2019-06-06,258,258,258,258,0
2019-06-07,258,258,258,258,0
2019-06-10,258,267,253,258,338200
2019-06-11,256,259,253,259,55300
2019-06-12,253,256,252,256,214300
2019-06-13,252,253,248,253,67700
2019-06-14,253,253,248,252,423200
2019-06-17,253,255,250,253,244500
2019-06-18,253,255,252,253,165000
2019-06-19,255,256,253,253,0
2019-06-20,253,256,253,255,251000
2019-06-21,253,256,252,255,236500
2019-06-24,252,256,252,256,759800
2019-06-25,253,258,252,253,79500
2019-06-26,252,253,250,253,199600
2019-06-27,253,255,252,252,486300
2019-06-28,253,258,252,256,201800
2019-07-01,252,253,250,253,441800
2019-07-02,252,253,250,252,52800
2019-07-03,250,252,250,252,81300
2019-07-04,253,256,250,252,1353000
2019-07-05,250,253,248,250,257600
2019-07-08,250,252,247,252,167700
2019-07-09,250,250,247,250,55600
2019-07-10,247,250,245,250,183900
2019-07-11,248,248,247,248,9900
2019-07-12,247,248,247,247,32300
2019-07-15,247,250,247,250,19000
2019-07-16,247,250,247,248,57300
2019-07-17,248,250,247,250,60100
2019-07-18,250,252,247,248,92800
2019-07-19,248,253,248,250,199200
2019-07-22,250,252,250,250,36900
2019-07-23,250,250,248,250,40300
2019-07-24,250,253,247,248,132400
2019-07-25,248,252,248,252,78000
2019-07-26,248,248,247,248,42900
2019-07-29,248,248,247,248,42800
2019-07-30,247,266,242,248,2758700
2019-07-31,247,250,239,250,656100
2019-08-01,225,247,223,247,2055400
2019-08-02,229,229,225,225,199400
2019-08-05,229,231,221,229,216700
2019-08-06,220,228,217,228,171400
2019-08-07,223,228,220,220,128000
2019-08-08,225,228,223,223,713900
2019-08-09,228,234,220,225,55500
2019-08-12,221,229,220,228,184600
2019-08-13,221,226,220,220,99300
2019-08-14,226,229,221,226,147200
2019-08-15,225,226,221,226,17800
2019-08-16,221,228,220,226,217800
2019-08-19,221,225,218,225,73900
2019-08-20,220,223,218,223,121500
2019-08-21,220,221,214,220,479600
2019-08-22,215,223,207,214,77000
2019-08-23,214,220,214,217,28100
2019-08-26,206,217,206,214,327600
2019-08-27,204,210,202,207,116400
2019-08-28,207,214,204,204,235400
2019-08-29,204,209,201,207,255200
