timestamp,open,high,low,close,volume
2019-11-08,460,605,376,605,96073700
2019-11-11,444,462,430,462,38929100
2019-11-12,440,446,432,444,13213000
2019-11-13,446,452,434,440,13110800
2019-11-14,436,448,436,448,4447100
2019-11-15,434,440,424,440,6545400
2019-11-18,420,438,420,434,2705600
2019-11-19,420,428,400,418,5400400
2019-11-20,416,420,402,420,2551300
2019-11-21,414,416,400,416,2592800
2019-11-22,312,414,312,414,10413500
2019-11-25,336,362,310,310,38978100
2019-11-26,252,338,252,338,27748700
2019-11-27,189,258,189,252,24306300
2019-11-28,179,248,140,187,99993900
2019-11-29,139,204,132,179,53031900
2019-12-02,139,139,139,139,0
2019-12-03,187,187,150,160,45288600
2019-12-04,252,252,202,202,91706000
2019-12-05,234,286,226,266,66936200
2019-12-06,260,260,234,234,31557300
2019-12-09,252,268,246,262,11832200
2019-12-10,246,254,238,250,7324200
2019-12-11,240,250,240,246,6573800
2019-12-12,236,244,214,240,12029100
2019-12-13,230,238,230,236,9331900
2019-12-16,212,234,212,230,14221500
2019-12-17,212,228,210,212,15072200
2019-12-18,214,214,195,212,14111400
2019-12-19,240,260,204,204,31958800
2019-12-20,228,260,220,242,13847300
2019-12-23,226,238,220,230,6783900
2019-12-26,216,232,204,226,9373000
2019-12-27,216,222,210,218,6591000
2019-12-30,250,252,216,218,27258900
2020-01-02,230,256,230,250,10977200
2020-01-03,220,234,220,230,5796300
2020-01-06,224,224,208,220,2884600
2020-01-07,214,224,210,214,10111800
2020-01-08,210,220,210,214,9771500
2020-01-09,216,224,200,200,10022000
2020-01-10,212,220,202,218,10280400
2020-01-13,206,212,200,212,11162600
2020-01-14,200,206,197,206,13831600
2020-01-15,202,206,194,200,2146900
2020-01-16,194,202,190,199,4400600
2020-01-17,194,199,193,194,5309200
2020-01-20,180,198,180,195,5774400
2020-01-21,165,190,158,181,11361100
2020-01-22,161,173,161,165,7263500
2020-01-23,161,167,159,167,822000
2020-01-24,156,165,153,160,892600
2020-01-27,139,156,125,156,18425700
2020-01-28,141,179,137,140,25441200
2020-01-29,135,143,134,141,4242300
2020-01-30,135,141,130,130,3858100
2020-01-31,126,138,125,125,1740900
2020-02-03,116,129,115,126,2995100
2020-02-04,116,125,116,118,2493900
2020-02-05,112,119,106,106,2800500
2020-02-06,107,114,100,104,3200100
2020-02-07,104,107,100,103,4377100
2020-02-10,103,127,96,96,32239500
2020-02-11,139,139,107,107,156992500
2020-02-12,117,148,111,144,48317800
2020-02-13,112,128,111,118,25881500
2020-02-14,100,115,99,110,11713200
2020-02-17,108,113,100,103,17531300
2020-02-18,102,115,98,110,31986900
2020-02-19,103,107,95,95,28320700
2020-02-20,104,108,93,93,6124900
2020-02-21,104,110,101,104,8453700
2020-02-24,104,120,100,104,32367500
2020-02-25,102,111,100,104,10961700
